geo,time,sl_uem_intm_zs
afg,2014,10.62
afg,2017,16.15
afg,2020,12.57
ago,2004,17.84
ago,2009,9.15
ago,2011,15.81
ago,2014,13.85
alb,2007,18.23
alb,2008,15.61
alb,2009,15.6
alb,2010,15.76
alb,2011,14.6
alb,2012,14.83
alb,2013,18.8
alb,2014,21.78
alb,2015,20.5
alb,2016,17.65
alb,2017,15.29
alb,2018,10.31
alb,2019,8.93
are,1995,2.53
are,2005,3.9
are,2017,3.97
are,2018,3.39
arg,2002,21.16
arg,2003,17.94
arg,2004,15.53
arg,2005,12.82
arg,2006,11.85
arg,2008,8.34
arg,2009,9.28
arg,2010,9.04
arg,2011,8.28
arg,2012,8.53
arg,2013,8.25
arg,2014,8.32
arg,2017,9.13
arg,2018,10.69
arg,2019,11.23
arg,2020,12.57
arm,2007,29.83
arm,2008,23.56
arm,2009,19.05
arm,2010,19.33
arm,2011,18.16
arm,2012,17.18
arm,2013,16.09
arm,2014,18.01
arm,2015,18.84
arm,2016,18.23
arm,2017,17.68
arm,2018,18.63
arm,2019,18.88
arm,2020,18.8
aus,1995,18.72
aus,1997,8.49
aus,1998,7.24
aus,2000,6.42
aus,2001,6.19
aus,2002,5.69
aus,2003,5.44
aus,2004,5.09
aus,2005,4.32
aus,2006,5.11
aus,2007,3.79
aus,2008,3.81
aus,2009,5.78
aus,2010,5.16
aus,2011,4.86
aus,2012,5.21
aus,2013,5.88
aus,2014,5.97
aus,2015,6.15
aus,2016,5.91
aus,2017,5.47
aut,1994,2.98
aut,1998,4.72
aut,1999,4.35
aut,2000,4.16
aut,2001,3.61
aut,2002,4.74
aut,2003,4.23
aut,2004,5.02
aut,2005,4.86
aut,2006,4.5
aut,2007,4.09
aut,2008,3.56
aut,2009,4.63
aut,2010,4.36
aut,2011,3.98
aut,2012,4.41
aut,2013,4.73
aut,2014,5.03
aut,2015,5.44
aut,2016,5.77
aut,2017,5.05
aut,2018,4.24
aut,2019,3.94
aut,2020,4.98
aze,2007,6.97
aze,2008,6.25
aze,2009,5.04
aze,2010,4.55
aze,2011,4.33
aze,2012,4.45
aze,2014,4.33
aze,2015,4.35
aze,2016,4.59
aze,2017,4.54
aze,2018,4.51
aze,2020,6.48
bdi,2014,25.7
bel,1998,9.06
bel,1999,8.31
bel,2000,6.78
bel,2001,5.02
bel,2002,6.54
bel,2003,7.99
bel,2004,7.38
bel,2005,8.51
bel,2006,8.11
bel,2007,7.59
bel,2008,6.94
bel,2009,8.07
bel,2010,8.13
bel,2011,6.77
bel,2012,7.75
bel,2013,8.21
bel,2014,8.79
bel,2015,8.7
bel,2016,8.04
bel,2017,7.11
bel,2018,5.95
bel,2019,5.3
bel,2020,5.73
ben,2011,6.05
ben,2018,2
bfa,2014,7.87
bfa,2018,8.71
bgd,2006,6.79
bgd,2010,6.56
bgd,2013,6.98
bgd,2016,9.71
bgd,2017,8.48
bgr,2000,15.82
bgr,2001,19.36
bgr,2002,17.67
bgr,2003,12.5
bgr,2004,11.25
bgr,2005,9.22
bgr,2006,7.69
bgr,2007,5.76
bgr,2008,4.51
bgr,2009,6.16
bgr,2010,9.69
bgr,2011,10.46
bgr,2012,11.67
bgr,2013,12.33
bgr,2014,10.65
bgr,2015,8.33
bgr,2016,6.72
bgr,2017,5.26
bgr,2018,4.51
bgr,2019,3.39
bgr,2020,4.71
bhr,2011,1.58
bhr,2012,1.54
bih,2006,25.96
bih,2007,30.04
bih,2008,24.52
bih,2009,25.05
bih,2010,28.64
bih,2011,29.12
