geo,time,ne_dab_totl_cd
abw,1995,1341340782.12291
abw,1996,1408379888.26816
abw,1997,1588268156.42458
abw,1998,1731843575.41899
abw,1999,1803351955.30726
abw,2000,1803910614.52514
abw,2001,1882681564.24581
abw,2002,2027932960.89385
abw,2003,2178212290.50279
abw,2004,2306145251.39665
abw,2005,2549720670.39106
abw,2006,2721787709.49721
abw,2007,2893854748.60335
abw,2008,3033519553.07263
abw,2009,2811173184.35754
abw,2010,2786033519.55307
abw,2011,2956983240.22346
abw,2012,2970391061.45251
abw,2013,2967754748.60335
abw,2014,2967539947.72937
abw,2015,2966692905.74598
abw,2016,2941833124.52157
abw,2017,3052442222.39151
abw,2018,3228670968.07732
afg,1960,553333366.66667
afg,1961,568888893.33333
afg,1962,571111162.22222
afg,1963,808888968.88889
afg,1964,873333337.77778
afg,1965,1108888895.55556
afg,1966,1539999993.33333
afg,1967,1797777766.66667
afg,1968,1460000040
afg,1969,1477777777.77778
afg,1970,1786664528.88889
afg,1971,1926664351.11111
afg,1972,1648888946.66667
afg,1973,1764444431.11111
afg,1974,2173333344.44444
afg,1975,2404444524.44444
afg,1976,2597777840
afg,1977,3046666717.77778
afg,1978,3399999942.22222
ago,2000,6680651212.58901
ago,2001,8896558031.36291
ago,2002,13930007213.3829
ago,2003,16968124675.7982
ago,2004,20447706167.2416
ago,2005,27927250281.382
ago,2006,35456406210.922
ago,2007,47154033381.96049
ago,2008,67656470318.5515
ago,2009,73774386980.9223
ago,2010,67908937914.6234
ago,2011,87914328237.24541
ago,2012,102339630364.101
ago,2013,116637795403.56599
ago,2014,131057727628.217
ago,2015,120120206438.077
ago,2016,98212683667.1221
ago,2017,115100018883.049
ago,2018,89415771694.68588
ago,2019,76541944127.855
ago,2020,52685084948.1236
alb,1984,1962028012.78587
alb,1985,2008904458.42417
alb,1986,2182662500
alb,1987,2158700037.5
alb,1988,2186274937.5
alb,1989,2399874987.5
alb,1990,2276624962.5
alb,1991,1371183305.55556
alb,1992,1255885604.23816
alb,1993,1803668217.02388
alb,1994,2533692602.13922
alb,1995,3031512870.35788
alb,1996,3892517815.97701
alb,1997,2823851124.74438
alb,1998,3187631847.04948
alb,1999,3768699565.53222
alb,2000,4288615493.58369
alb,2001,4856508770.70862
alb,2002,5506127595.86855
alb,2003,7032648019.03016
alb,2004,8809287176.66012
alb,2005,10052723282.0969
alb,2006,11017598166.8321
alb,2007,13528844858.7217
alb,2008,16649292922.3097
alb,2009,15234319701.0679
alb,2010,14261661761.4375
alb,2011,15557500312.2033
alb,2012,14431479735.4882
alb,2013,15217419456.1897
alb,2014,15597826697.0042
alb,2015,13393719122.5587
alb,2016,13931477697.0014
alb,2017,15123541309.8237
alb,2018,17324467539.3465
alb,2019,17684181362.3569
are,2001,94577799237.57663
are,2002,103298460040.84399
are,2003,112476088141.593
are,2004,132283610047.651
are,2005,152409048196.052
are,2006,182613073328.79501
are,2007,237360108917.63101
are,2008,286380839292.03497
are,2009,238728273192.64801
are,2010,230070093914.22696
are,2011,250771163893.80496
are,2012,238825375194.01001
are,2013,250372470605.854
are,2014,279658922995.23499
are,2015,263158770129.34
are,2016,266861357522.12399
are,2017,292344785268.89001
are,2018,310887609938.73401
are,2019,308769076798.26001
arg,1962,24689505514.22269
arg,1963,18324428112.646
arg,1964,24933025405.5611
arg,1965,27756470373.4123
arg,1966,28154284712.024
arg,1967,23650607051.1834
arg,1968,26151143654.2449
arg,1969,31256287100.7584
arg,1970,31310791305.5797
arg,1971,33493199498.8178
arg,1972,34607999909.5367
arg,1973,51543998428.1008
arg,1974,71992333324.9628
arg,1975,52519839112.917
arg,1976,49504550426.5842
arg,1977,55481000093.0441
arg,1978,56402539802.6771
arg,1979,69126845924.85809
arg,1980,78056114102.05981
arg,1981,79031581274.8949
arg,1982,82141205914.2291
arg,1983,100531813348.339
arg,1984,76851001941.4196
arg,1985,83586668778.2435
arg,1986,108895553904.714
arg,1987,110775715165.09801
arg,1988,122017044501.54201
arg,1989,71671697817.4456
arg,1990,133255399128.802
arg,1991,186690084740.42999
arg,1992,232299611952.35199
arg,1993,242434054654.65497
arg,1994,265354819300
arg,1995,259091370000
arg,1996,273916757800
arg,1997,299344177400
arg,1998,306478458500
arg,1999,288423424000
arg,2000,286050194900
arg,2001,265188172200
arg,2002,83053262771.2124
arg,2003,113275319790.924
arg,2004,153127606204.603
arg,2005,186931152701.96497
arg,2006,219487753605.76901
arg,2007,274935723329.914
arg,2008,348111233135.20099
arg,2009,316111747718.66199
arg,2010,411356488094.63098
arg,2011,521191523004.30603
arg,2012,535340215254.06201
arg,2013,552574859170.71997
arg,2014,524192481552.14801
arg,2015,601142376256.01794
arg,2016,563328016065.64502
arg,2017,660678610172.255
arg,2018,534734450977.04199
arg,2019,438347457488.55298
arg,2020,362313569039.05603
arm,1990,2574438124.39349
