geo,time,ne_gdi_ftot_zs
ago,1985,0
ago,1986,0
ago,1987,0
ago,1988,0
ago,1989,0
ago,1990,0
ago,2000,28.14932
ago,2001,30.49322
ago,2002,30.32665
ago,2003,29.67478
ago,2004,30.60773
ago,2005,27.79225
ago,2006,21.94765
ago,2007,25.15585
ago,2008,29.21997
ago,2009,42.7925
ago,2010,28.2365
ago,2011,26.39241
ago,2012,26.68084
ago,2013,26.1585
ago,2014,27.47881
ago,2015,28.2096
ago,2016,26.21321
ago,2017,23.24231
ago,2018,20.7441
ago,2019,19.78565
ago,2020,16.75935
alb,1980,35.14548
alb,1981,32.14483
alb,1982,34.4923
alb,1983,36.69192
alb,1984,38.34724
alb,1985,33.45275
alb,1986,32.09443
alb,1987,33.56888
alb,1988,32.68151
alb,1989,32.47762
alb,1990,30.36095
alb,1991,7.60311
alb,1992,5.65668
alb,1993,13.67614
alb,1994,18.89658
alb,1995,21.27851
alb,1996,21.79445
alb,1997,20.11539
alb,1998,21.48869
alb,1999,23.54311
alb,2000,31.90659
alb,2001,36.72932
alb,2002,36.05552
alb,2003,35.8939
alb,2004,37.79569
alb,2005,37.91985
alb,2006,38.07025
alb,2007,36.38474
alb,2008,33.9493
alb,2009,32.70891
alb,2010,28.42847
alb,2011,29.36623
alb,2012,26.48868
alb,2013,26.07956
alb,2014,24.15867
alb,2015,24.41349
alb,2016,24.36793
alb,2017,24.57651
alb,2018,23.86261
alb,2019,22.28891
alb,2020,22.98266
are,2001,20.9781
are,2002,21.07142
are,2003,20.79148
are,2004,18.68412
are,2005,18.37913
are,2006,17.57821
are,2007,23.57303
are,2008,22.3739
are,2009,28.913
are,2010,24.76047
are,2011,21.43579
are,2012,20.81251
are,2013,18.21357
are,2014,19.57894
are,2015,23.37807
are,2016,24.4529
are,2017,18.97681
are,2018,17.32442
are,2019,18.40358
arg,1960,23.47877
arg,1961,27.7659
arg,1962,21.7305
arg,1963,18.27252
arg,1964,17.1789
arg,1965,19.22343
arg,1966,20.54255
arg,1967,21.21504
arg,1968,21.6905
arg,1969,23.99061
arg,1970,24.4401
arg,1971,24.11303
arg,1972,23.89154
arg,1973,20.89381
arg,1974,22.26033
arg,1975,29.44105
arg,1976,30.72944
arg,1977,30.94169
arg,1978,27.82189
arg,1979,23.91514
arg,1980,25.25779
arg,1981,22.69109
arg,1982,21.75495
arg,1983,20.88775
arg,1984,19.96409
arg,1985,17.58907
arg,1986,17.46176
arg,1987,19.55487
arg,1988,18.64004
arg,1989,15.5147
arg,1990,13.99698
arg,1991,14.63698
arg,1992,16.70241
arg,1993,19.05643
arg,1994,19.93898
arg,1995,17.93775
arg,1996,18.08218
arg,1997,19.37012
arg,1998,19.93496
arg,1999,18.01402
arg,2000,16.19265
arg,2001,14.17912
arg,2002,11.96065
arg,2003,15.13751
arg,2004,15.89379
arg,2005,17.35115
arg,2006,18.33119
arg,2007,19.51608
arg,2008,19.01016
arg,2009,15.58175
arg,2010,16.64147
arg,2011,17.24828
arg,2012,15.85753
arg,2013,16.28951
arg,2014,15.97995
arg,2015,15.56475
arg,2016,14.27236
arg,2017,15.1622
arg,2018,15.25105
arg,2019,14.03771
arg,2020,13.88835
arm,1990,44.34506
arm,1991,28.47283
arm,1992,17.06696
arm,1993,12.4554
arm,1994,20.23628
arm,1995,16.15396
arm,1996,17.88451
arm,1997,16.20419
arm,1998,16.21598
arm,1999,16.41957
arm,2000,21.714
arm,2001,20.83745
arm,2002,24.84295
arm,2003,27.08676
arm,2004,28.10783
arm,2005,35.09419
arm,2006,41.85068
arm,2007,43.50453
arm,2008,46.83332
arm,2009,42.88388
arm,2010,39.37511
arm,2011,30.73674
arm,2012,23.59884
arm,2013,21.21251
arm,2014,19.99506
arm,2015,20.61256
arm,2016,17.35772
arm,2017,17.64838
arm,2018,16.74091
arm,2019,15.8156
arm,2020,16.57182
atg,1993,22.42261
atg,1994,21.80388
atg,1995,24.31576
atg,1996,25.3058
atg,1997,25.95678
atg,1998,27.63049
atg,1999,28.90648
atg,2000,28.99785
atg,2001,20.49692
atg,2002,22.14814
atg,2003,23.18068
atg,2004,23.51738
atg,2005,26.9008
atg,2006,36.18401
atg,2007,37.35417
atg,2008,37.4136
atg,2009,37.69045
