geo,time,se_prm_nenr_fe
abw,1999,98.47424
abw,2000,97.82293
abw,2002,94.60751
abw,2003,92.74784
abw,2004,92.99585
abw,2005,96.56223
abw,2009,97.70515
afg,1974,8.47242
afg,1993,13.69764
ago,1982,43.48325
ago,1983,40.20312
ago,1998,41.96925
ago,2008,70.36089
ago,2009,69.2545
ago,2010,68.62343
ago,2011,67.27698
alb,1999,95.98725
alb,2000,95.3679
alb,2001,94.45652
alb,2003,92.23154
alb,2004,91.97377
alb,2008,87.34731
alb,2009,85.71818
alb,2010,86.81675
alb,2011,88.24009
alb,2012,90.952
alb,2013,93.70449
are,1978,79.78934
are,1980,76.6383
are,1981,73.43204
are,1982,77.97162
are,1983,72.52615
are,1984,72.22917
are,1985,72.0427
are,1986,73.15823
are,1987,83.3039
are,1988,86.14692
are,1989,90.82089
are,1990,95.10462
are,1991,95.87303
are,1992,91.93585
are,1993,90.13375
are,1994,88.54075
are,1995,88.80909
are,1996,86.10874
are,1997,82.49258
are,1998,79.67314
are,2007,87.06437
are,2012,87.45417
are,2013,86.84334
arg,1970,96.12037
arg,1974,96.32869
arg,1975,96.09376
arg,1991,96.00714
arm,2002,85.03821
arm,2003,83.04899
arm,2005,82.18023
arm,2006,84.90701
arm,2007,89.24942
arm,2011,95.76167
arm,2012,96.88121
arm,2013,95.29451
arm,2014,94.17595
arm,2015,93.29142
arm,2016,92.50096
arm,2017,91.91511
arm,2018,90.5458
atg,2012,93.49916
atg,2014,92.12914
atg,2015,94.0308
atg,2017,94.76904
aus,1971,96.66083
aus,1973,95.61789
aus,1974,95.03012
aus,1975,97.49052
aus,1976,98.35892
aus,1982,99.05941
aus,1983,97.89896
aus,1984,96.17074
aus,1985,96.45473
aus,1986,97.25597
aus,1987,97.91632
aus,1988,98.66307
aus,1989,98.77965
aus,1990,98.27587
aus,1991,97.68312
aus,1992,97.44872
aus,1993,97.00772
aus,1994,96.71711
aus,1995,95.27062
aus,1996,95.79718
aus,1997,95.55864
aus,1998,95.67511
aus,1999,95.67654
aus,2000,95.90952
aus,2003,96.398
aus,2004,96.66264
aus,2011,97.98201
aus,2012,98.2361
aus,2017,96.74048
aut,1989,94.73198
aut,2000,91.79287
aut,2001,90.85464
aut,2002,88.97418
aut,2003,88.28813
aut,2004,88.85032
aut,2005,88.85073
aut,2006,88.85265
aut,2007,88.66398
aut,2008,88.07856
aut,2009,87.99978
aut,2010,87.91347
aut,2011,87.84316
aut,2012,88.96676
aut,2013,88.93992
aut,2014,89.46177
aut,2015,89.40543
aut,2016,89.691
aze,1991,94.78084
aze,1992,95.44674
aze,1993,93.76938
aze,1994,81.44887
aze,1995,90.40977
aze,1996,97.36618
aze,1997,89.18087
aze,1998,87.86644
aze,1999,92.18137
aze,2000,88.01044
aze,2001,84.72398
aze,2002,83.80379
aze,2003,80.81174
aze,2004,82.61313
aze,2005,81.43261
aze,2006,80.27636
aze,2007,83.05101
aze,2008,83.56243
aze,2009,84.35519
aze,2010,83.84758
aze,2011,85.40787
aze,2012,87.94237
aze,2013,91.6671
aze,2017,94.68734
aze,2018,92.24746
bdi,1973,13.8499
bdi,1978,13.71061
bdi,1980,15.04514
bdi,1981,16.53072
bdi,1982,18.5612
bdi,1983,23.7192
bdi,1984,28.0895
bdi,1985,32.32319
bdi,1986,35.33768
bdi,1987,40.80462
bdi,1988,44.49855
bdi,1993,45.17336
bdi,2000,37.49217
bdi,2001,45.31442
bdi,2002,44.27864
bdi,2003,48.07812
bdi,2004,51.278
bdi,2005,54.81854
bdi,2006,73.01119
bdi,2007,80.84774
bdi,2008,91.84636
bdi,2009,91.15986
bdi,2010,96.42535
bdi,2017,96.35943
bdi,2018,94.09198
bel,1977,96.42127
bel,1979,97.91599
bel,1980,98.44774
bel,1981,97.5045
bel,1982,97.38166
bel,1983,94.71105
bel,1984,94.13783
bel,1985,93.78456
bel,1986,95.13323
bel,1987,96.7241
bel,1988,98.04386
bel,1991,97.92838
bel,1992,96.34972
bel,1993,97.97415
bel,1994,97.27382
bel,1995,97.21866
bel,1996,97.66343
bel,2000,99.02054
bel,2002,98.75985
bel,2003,97.74291
bel,2004,96.32343
bel,2005,95.94271
bel,2006,96.15016
bel,2007,97.18781
bel,2008,97.77193
bel,2009,97.64271
bel,2010,97.45188
bel,2011,97.57639
bel,2012,97.81485
bel,2013,97.82413
bel,2014,97.63696
bel,2015,98.01233
bel,2016,98.24648
bel,2017,98.87476
ben,1984,33.32624
ben,1985,33.95625
ben,1986,32.95244
ben,1988,32.79162
ben,1989,33.24379
ben,1990,27.08335
ben,1992,32.99804
ben,1993,36.29644
ben,1994,38.66781
ben,1995,41.25013
ben,1996,43.90907
ben,1997,47.59339
ben,2006,76.69552
ben,2008,83.58132
bfa,1971,7.43154
bfa,1972,7.88891
bfa,1977,9.34184
bfa,1978,9.67422
bfa,1979,10.08639
bfa,1980,10.8048
bfa,1981,11.48837
bfa,1982,12.50584
bfa,1983,13.65414
bfa,1984,14.51375
bfa,1985,16.02022
bfa,1986,17.67218
bfa,1987,18.79343
bfa,1988,19.29117
bfa,1989,19.74278
bfa,1991,21.36674
bfa,1992,21.8341
bfa,1993,22.70059
bfa,1994,23.67345
bfa,1995,24.94242
bfa,1998,28.29705
bfa,1999,29.01118
bfa,2000,29.99879
