global,time,sh_dth_mort
world,1990,12526159
world,1991,12282120
world,1992,12021888
world,1993,11758008
world,1994,11525950
world,1995,11203846
world,1996,10929025
world,1997,10650123
world,1998,10368006
world,1999,10077090
world,2000,9756457
world,2001,9440714
world,2002,9124349
world,2003,8817145
world,2004,8552804
world,2005,8231431
world,2006,7955503
world,2007,7682555
world,2008,7447910
world,2009,7156088
world,2010,6939600
world,2011,6666684
world,2012,6448327
world,2013,6240248
world,2014,6045512
world,2015,5862085
world,2016,5685842
world,2017,5506603
world,2018,5344393
world,2019,5190197
world,2020,5040610
