geo,time,se_sec_uner_lo_fe_zs
abw,2000,8.73261
abw,2001,14.37126
abw,2003,5.625
abw,2005,9.45946
abw,2007,4.53972
abw,2008,4.49871
abw,2009,5.39119
afg,1974,94.93696
ago,1982,30.12212
ago,2008,34.07271
ago,2009,34.46287
ago,2010,34.03362
alb,2000,7.61414
alb,2001,6.31196
alb,2013,5.59967
alb,2014,5.3071
alb,2015,2.34667
alb,2016,4.35164
alb,2017,4.35028
alb,2018,0.554
alb,2019,1.33309
alb,2020,1.30401
are,1980,33.53941
are,1981,25.52635
are,1982,22.60134
are,1983,31.37389
are,1987,28.43317
are,1995,12.25183
are,1997,11.90911
are,1998,14.30931
are,2016,2.82278
arg,1974,34.08428
arg,1975,32.15107
arg,1998,3.56873
arg,1999,1.31281
arg,2001,0.43812
arg,2002,1.74433
arg,2003,1.63018
arg,2006,0.81274
arg,2007,0.31618
arg,2016,0.12025
arg,2019,1.2537
arm,2007,6.00236
arm,2009,2.83451
arm,2010,2.52433
arm,2011,4.76688
arm,2016,5.66078
arm,2017,6.25252
arm,2018,7.33376
arm,2019,9.32383
arm,2020,8.62643
atg,2014,4.71228
atg,2015,28.87552
atg,2016,4.98589
atg,2017,8.75179
atg,2018,1.88862
atg,2019,3.27628
aus,1993,0.75777
aus,1994,1.19889
aus,1995,1.61949
aus,1996,0.86173
aus,2013,0.39035
aus,2014,0.28476
aus,2016,1.09066
aus,2017,2.02921
aus,2018,2.59865
aus,2019,2.19273
aut,1999,1.75345
aut,2000,0.18415
aut,2005,1.10754
aut,2006,2.27303
aut,2007,2.21554
aut,2008,1.95301
aut,2009,1.62629
aut,2010,1.84485
aut,2011,2.4289
aut,2012,3.41532
aut,2013,3.13498
aut,2014,2.93742
aut,2015,2.15617
aut,2016,0.65481
aut,2017,0.24768
aut,2018,0.05841
aut,2019,0.45182
aze,2006,11.20895
aze,2007,12.13003
aze,2008,11.48473
aze,2009,12.08939
aze,2010,12.60023
aze,2011,13.73464
aze,2012,13.48272
aze,2013,13.91118
aze,2014,13.64686
aze,2015,10.9369
aze,2016,7.1905
aze,2017,0.45858
aze,2018,0.89645
aze,2019,0.29802
aze,2020,0.46449
bdi,1980,91.59533
bdi,1982,89.81417
bdi,1983,89.321
bdi,1984,88.90991
bdi,1985,88.27699
bdi,1986,85.58647
bdi,1987,82.80119
bdi,1993,72.7481
bdi,2009,39.53622
bdi,2010,33.21798
bdi,2017,28.48926
bdi,2018,30.40115
bdi,2019,31.1609
bdi,2021,26.31855
bel,1996,0.97309
bel,1999,3.60421
bel,2000,1.69928
bel,2006,1.13398
bel,2007,4.75268
bel,2008,5.81071
bel,2009,4.08843
bel,2010,2.30312
bel,2011,1.66946
bel,2012,1.59504
bel,2013,0.89185
bel,2014,0.91328
bel,2015,2.61676
bel,2016,3.19975
bel,2017,1.65832
bel,2018,1.11551
bel,2019,0.16931
ben,2013,42.51952
ben,2015,55.52969
ben,2020,46.18309
bfa,1983,95.15603
bfa,1989,91.52716
bfa,1999,83.91213
bfa,2001,86.8255
bfa,2003,84.33616
bfa,2004,83.11258
bfa,2005,83.70376
bfa,2006,81.15852
bfa,2007,80.01892
bfa,2008,77.10511
bfa,2009,73.12959
bfa,2010,57.91683
bfa,2011,55.8899
bfa,2012,52.62695
bfa,2013,48.44106
bfa,2014,44.66854
bfa,2015,41.86192
bfa,2016,47.22578
bfa,2017,45.77371
