geo,time,ag_lnd_el5m_ru_zs
abw,1990,2.35246
abw,2000,2.35246
abw,2010,2.35246
ago,1990,0.12139
ago,2000,0.12139
ago,2010,0.12139
alb,1990,4.56227
alb,2000,4.56227
alb,2010,4.56227
are,1990,3.29964
are,2000,3.29964
are,2010,3.29964
arg,1990,0.83439
arg,2000,0.83439
arg,2010,0.83439
asm,1990,2.17347
asm,2000,2.17347
asm,2010,2.17347
atg,1990,7.45698
atg,2000,7.45698
atg,2010,7.45698
aus,1990,0.57794
aus,2000,0.57794
aus,2010,0.57794
bel,1990,2.77209
bel,2000,2.77209
bel,2010,2.77209
ben,1990,0.90295
ben,2000,0.90295
ben,2010,0.90295
bgd,1990,8.98983
bgd,2000,8.98983
bgd,2010,8.98983
bgr,1990,0.12967
bgr,2000,0.12967
bgr,2010,0.12967
bhr,1990,12.67421
bhr,2000,12.67421
bhr,2010,12.67421
bhs,1990,51.94092
bhs,2000,51.94092
bhs,2010,51.94092
bih,1990,0.07134
bih,2000,0.07134
bih,2010,0.07134
blr,1990,0
blr,2000,0
blr,2010,0
blz,1990,5.65637
blz,2000,5.65637
blz,2010,5.65637
bmu,1990,7.364
bmu,2000,7.364
bmu,2010,7.364
bra,1990,0.56701
bra,2000,0.56701
bra,2010,0.56701
brb,1990,0.24747
brb,2000,0.24747
brb,2010,0.24747
brn,1990,0.11953
brn,2000,0.11953
brn,2010,0.11953
can,1990,1.71693
can,2000,1.71693
can,2010,1.71693
che,1990,0
che,2000,0
che,2010,0
chl,1990,0.49868
chl,2000,0.49868
chl,2010,0.49868
chn,1990,0.90717
chn,2000,0.90717
chn,2010,0.90717
civ,1990,0.11976
civ,2000,0.11976
civ,2010,0.11976
cmr,1990,0.03314
cmr,2000,0.03314
cmr,2010,0.03314
cod,1990,0.0206
cod,2000,0.0206
cod,2010,0.0206
cog,1990,0.01085
cog,2000,0.01085
cog,2010,0.01085
col,1990,0.52673
col,2000,0.52673
col,2010,0.52673
com,1990,0.76976
com,2000,0.76976
com,2010,0.76976
cpv,1990,3.27077
cpv,2000,3.27077
cpv,2010,3.27077
cri,1990,0.56165
cri,2000,0.56165
cri,2010,0.56165
cub,1990,8.32935
cub,2000,8.32935
cub,2010,8.32935
cym,1990,3.19145
cym,2000,3.19145
cym,2010,3.19145
cyp,1990,0.78928
cyp,2000,0.78928
cyp,2010,0.78928
deu,1990,3.55207
deu,2000,3.55207
deu,2010,3.55207
dji,1990,0.64445
dji,2000,0.64445
dji,2010,0.64445
dma,1990,0.51458
dma,2000,0.51458
dma,2010,0.51458
dnk,1990,11.59046
dnk,2000,11.59046
dnk,2010,11.59046
dom,1990,1.62965
