geo,time,en_urb_lcty_ur_zs
afg,1960,37.75321
afg,1961,37.7207
afg,1962,37.6677
afg,1963,37.59815
afg,1964,37.50875
afg,1965,37.40176
afg,1966,37.2873
afg,1967,37.12335
afg,1968,36.88476
afg,1969,36.60302
afg,1970,36.27283
afg,1971,35.90547
afg,1972,36.11776
afg,1973,36.95341
afg,1974,37.88578
afg,1975,38.9533
afg,1976,40.15045
afg,1977,41.48253
afg,1978,43.0666
afg,1979,45.02254
afg,1980,45.77031
afg,1981,47.00171
afg,1982,48.67587
afg,1983,50.67501
afg,1984,52.75906
afg,1985,54.67439
afg,1986,56.39236
afg,1987,57.62943
afg,1988,58.18469
afg,1989,59.24772
afg,1990,58.94189
afg,1991,57.2348
afg,1992,54.67413
afg,1993,52.09493
afg,1994,50.20363
afg,1995,49.24849
afg,1996,49.22475
afg,1997,49.87873
afg,1998,50.89718
afg,1999,51.81922
afg,2000,52.33684
afg,2001,52.36845
afg,2002,52.09147
afg,2003,51.72798
afg,2004,50.94021
afg,2005,49.88038
afg,2006,49.18531
afg,2007,48.74107
afg,2008,48.41335
afg,2009,48.02444
afg,2010,47.4757
afg,2011,46.74724
afg,2012,45.9116
afg,2013,45.05024
afg,2014,44.26962
afg,2015,43.62365
afg,2016,43.11886
afg,2017,42.69936
afg,2018,42.33173
afg,2019,41.99158
afg,2020,41.66743
afg,2021,41.36396
ago,1960,38.54851
ago,1961,39.03222
ago,1962,40.0036
ago,1963,41.05563
ago,1964,42.26508
ago,1965,43.67087
ago,1966,45.32877
ago,1967,47.20025
ago,1968,49.12548
ago,1969,50.83497
ago,1970,52.12418
ago,1971,51.73736
ago,1972,49.99188
ago,1973,48.08132
ago,1974,46.22389
ago,1975,44.54646
ago,1976,43.05224
ago,1977,41.69441
ago,1978,40.4347
ago,1979,39.23001
ago,1980,38.0581
ago,1981,36.91879
ago,1982,35.8292
ago,1983,34.794
ago,1984,34.49855
ago,1985,34.23458
ago,1986,34.00689
ago,1987,33.81337
ago,1988,33.66075
ago,1989,33.54978
ago,1990,33.48921
ago,1991,33.47529
ago,1992,33.50661
ago,1993,33.57678
ago,1994,33.41927
ago,1995,33.54688
ago,1996,33.6964
ago,1997,33.86107
ago,1998,34.04311
ago,1999,34.23889
ago,2000,34.44738
ago,2001,34.66445
ago,2002,34.8948
ago,2003,35.12924
ago,2004,35.36061
ago,2005,35.57948
ago,2006,36.04704
ago,2007,36.50761
ago,2008,36.97392
ago,2009,37.45237
ago,2010,37.96062
ago,2011,38.49873
ago,2012,39.07116
ago,2013,39.67302
ago,2014,40.1717
ago,2015,39.69814
ago,2016,39.2681
ago,2017,38.87336
ago,2018,38.51527
ago,2019,38.19726
ago,2020,37.9267
ago,2021,37.70695
alb,1960,27.28055
alb,1961,26.81389
alb,1962,26.29426
alb,1963,25.81252
alb,1964,25.35772
alb,1965,24.94188
alb,1966,24.56249
alb,1967,24.19023
alb,1968,23.77375
alb,1969,23.37282
alb,1970,23.1239
alb,1971,22.90713
alb,1972,22.67678
alb,1973,22.47805
alb,1974,22.29633
alb,1975,22.11543
alb,1976,21.95767
alb,1977,21.79895
alb,1978,21.67249
alb,1979,21.56541
alb,1980,21.46544
alb,1981,21.37555
alb,1982,21.26382
alb,1983,21.15108
alb,1984,21.04447
alb,1985,20.94763
alb,1986,20.87822
alb,1987,20.79576
alb,1988,20.73827
alb,1989,20.55005
alb,1990,20.65365
alb,1991,21.26244
alb,1992,21.72932
alb,1993,22.20961
alb,1994,22.70419
alb,1995,23.2143
alb,1996,23.73968
alb,1997,24.28075
alb,1998,24.83857
alb,1999,25.41401
alb,2000,26.00732
alb,2001,26.5443
alb,2002,26.46773
alb,2003,26.42326
alb,2004,26.40292
alb,2005,26.41964
alb,2006,26.48045
alb,2007,26.58658
alb,2008,26.70905
alb,2009,26.82049
alb,2010,26.89647
alb,2011,26.92457
alb,2012,26.93706
alb,2013,26.97778
alb,2014,27.04496
alb,2015,27.15607
alb,2016,27.25147
alb,2017,27.34799
alb,2018,27.50639
alb,2019,27.73094
