geo,time,sh_sta_pois_p5_ma
afg,2000,0.7
afg,2001,0.7
afg,2002,0.8
afg,2003,0.9
afg,2004,0.9
afg,2005,0.8
afg,2006,0.7
afg,2007,0.7
afg,2008,0.7
afg,2009,0.6
afg,2010,0.6
afg,2011,0.5
afg,2012,0.5
afg,2013,0.5
afg,2014,0.4
afg,2015,0.3
afg,2016,0.3
afg,2017,0.4
afg,2018,0.3
afg,2019,0.3
ago,2000,5.1
ago,2001,5
ago,2002,5.1
ago,2003,5.1
ago,2004,5.1
ago,2005,4.8
ago,2006,4.9
ago,2007,4.6
ago,2008,4.4
ago,2009,4
ago,2010,4
ago,2011,3.7
ago,2012,3.6
ago,2013,3.5
ago,2014,3.1
ago,2015,3.2
ago,2016,2.9
ago,2017,2.8
ago,2018,2.7
ago,2019,2.6
alb,2000,1
alb,2001,0.9
alb,2002,0.8
alb,2003,0.7
alb,2004,0.6
alb,2005,0.7
alb,2006,0.6
alb,2007,0.7
alb,2008,0.6
alb,2009,0.6
alb,2010,0.6
alb,2011,0.5
alb,2012,0.4
alb,2013,0.4
alb,2014,0.4
alb,2015,0.4
alb,2016,0.4
alb,2017,0.4
alb,2018,0.4
alb,2019,0.4
are,2000,0.8
are,2001,0.8
are,2002,0.7
are,2003,0.7
are,2004,0.7
are,2005,0.7
are,2006,0.8
are,2007,0.7
are,2008,0.7
are,2009,0.7
are,2010,0.7
are,2011,0.7
are,2012,0.6
are,2013,0.6
are,2014,0.6
are,2015,0.5
are,2016,0.5
are,2017,0.4
are,2018,0.5
are,2019,0.5
arg,2000,0.8
arg,2001,0.6
arg,2002,0.7
arg,2003,0.6
arg,2004,0.8
arg,2005,1.3
arg,2006,0.6
arg,2007,1
arg,2008,0.6
arg,2009,0.8
arg,2010,0.7
arg,2011,0.8
arg,2012,0.9
arg,2013,0.9
arg,2014,0.7
arg,2015,0.7
arg,2016,0.6
arg,2017,0.6
arg,2018,0.7
arg,2019,0.5
arm,2000,1.6
arm,2001,1.6
