geo,time,bx_grt_exta_cd_wd
abw,1986,9940000
abw,1987,9800000
abw,1988,7340000
abw,1989,15310000
abw,1990,13890000
abw,1991,25100000
abw,1992,28920000
abw,1993,25310000
abw,1994,20900000
abw,1995,28900000
abw,1996,27760000
abw,1997,32080000
abw,1998,18140000
abw,1999,40000
abw,2000,19950000
abw,2001,5370000
abw,2002,16860000
abw,2003,87220000
abw,2004,190000
afg,1960,14350000
afg,1961,32730000
afg,1962,16080000
afg,1963,34470000
afg,1964,39890000
afg,1965,36900000
afg,1966,16030000
afg,1967,6710000
afg,1968,9980000
afg,1969,4940000
afg,1970,6210000
afg,1971,6320000
afg,1972,22890000
afg,1973,14040000
afg,1974,23150000
afg,1975,21740000
afg,1976,14630000
afg,1977,20060000
afg,1978,27630000
afg,1979,38910000
afg,1980,6120000
afg,1981,-1440000
afg,1982,2330000
afg,1983,7540000
afg,1984,2360000
afg,1985,4700000
afg,1986,5590000
afg,1987,27580000
afg,1988,36790000
afg,1989,95610000
afg,1990,81680000
afg,1991,428420000
afg,1992,105110000
afg,1993,125660000
afg,1994,173660000
afg,1995,166440000
afg,1996,126240000
afg,1997,200370000
afg,1998,137370000
afg,1999,116370000
afg,2000,120420000
afg,2001,394850000
afg,2002,1037270000
afg,2003,1126570000
afg,2004,1683040000
afg,2005,1660610000
afg,2006,2014760000
afg,2007,4327230000
afg,2008,4025750000
afg,2009,5103830000
afg,2010,5426350000
afg,2011,5873520000
afg,2012,5720170000
afg,2013,4332480000
afg,2014,4339970000
afg,2015,3850440000
afg,2016,3643530000
afg,2017,3400660000
afg,2018,3325770000
afg,2019,3914910000
ago,1960,0
ago,1961,1870000
ago,1963,10000
ago,1967,0
ago,1968,0
ago,1969,20000
ago,1970,20000
ago,1971,10000
ago,1972,30000
ago,1973,80000
ago,1974,280000
ago,1975,4560000
ago,1976,11920000
ago,1977,12990000
ago,1978,34900000
ago,1979,29210000
ago,1980,32020000
ago,1981,37560000
ago,1982,31780000
ago,1983,33050000
ago,1984,53640000
ago,1985,44330000
ago,1986,57460000
ago,1987,65370000
ago,1988,97200000
ago,1989,103470000
ago,1990,192090000
ago,1991,188780000
ago,1992,185730000
ago,1993,169810000
ago,1994,300660000
ago,1995,327800000
ago,1996,275510000
ago,1997,242020000
ago,1998,216040000
ago,1999,261120000
ago,2000,206040000
ago,2001,213430000
ago,2002,335560000
ago,2003,412470000
ago,2004,364870000
ago,2005,303260000
ago,2006,294650000
ago,2007,314280000
ago,2008,279980000
ago,2009,173630000
ago,2010,201610000
ago,2011,168930000
ago,2012,177070000
ago,2013,186800000
ago,2014,166820000
ago,2015,139770000
ago,2016,167730000
ago,2017,174260000
ago,2018,142060000
ago,2019,158040000
alb,1988,0
alb,1989,40000
alb,1990,1880000
alb,1991,328150000
alb,1992,353660000
alb,1993,189610000
alb,1994,68450000
alb,1995,77070000
alb,1996,113670000
alb,1997,77750000
alb,1998,127440000
alb,1999,280640000
alb,2000,161500000
alb,2001,137320000
alb,2002,106090000
alb,2003,112470000
alb,2004,111310000
alb,2005,150230000
alb,2006,150360000
alb,2007,147830000
alb,2008,193080000
alb,2009,172980000
alb,2010,161950000
alb,2011,166440000
alb,2012,148470000
alb,2013,144240000
alb,2014,168370000
alb,2015,113400000
alb,2016,137340000
alb,2017,130230000
alb,2018,182420000
alb,2019,149840000
are,1960,410000
are,1961,540000
are,1962,430000
are,1963,390000
are,1964,330000
are,1966,1300000
are,1967,1520000
are,1968,1120000
are,1969,850000
are,1970,5450000
are,1971,5770000
are,1972,4430000
are,1973,510000
are,1974,0
are,1975,1000000
are,1976,0
are,1977,32800000
are,1978,0
are,1979,20000
are,1980,0
are,1981,130000
are,1982,0
are,1983,0
are,1984,40000
are,1985,1030000
are,1986,30000
are,1987,1440000
are,1988,0
are,1989,0
are,1990,30000
are,1991,3770000
are,1992,120000
are,1993,0
are,1994,80000
are,1995,170000
are,1996,10000
are,1997,690000
are,1998,450000
are,1999,0
are,2000,170000
are,2001,280000
are,2002,360000
are,2003,450000
are,2004,950000
arg,1960,1060000
arg,1961,1020000
arg,1962,2020000
arg,1963,5480000
arg,1964,4990000
arg,1965,7360000
arg,1966,2780000
arg,1967,3060000
arg,1968,15510000
arg,1969,-910000
arg,1970,-2930000
arg,1971,40000
arg,1972,50000
arg,1973,150000
arg,1974,20000
arg,1975,0
arg,1976,130000
arg,1977,770000
arg,1978,1780000
arg,1979,-1450000
arg,1980,1950000
arg,1981,610000
arg,1982,1580000
arg,1983,2220000
arg,1984,5290000
arg,1985,5610000
arg,1986,3120000
arg,1987,4940000
arg,1988,20530000
arg,1989,53550000
arg,1990,20190000
arg,1991,40040000
arg,1992,29720000
arg,1993,32650000
arg,1994,16850000
arg,1995,36680000
arg,1996,27730000
arg,1997,37030000
arg,1998,33930000
arg,1999,31330000
arg,2000,38190000
arg,2001,33170000
arg,2002,60600000
arg,2003,41550000
arg,2004,32890000
arg,2005,25230000
arg,2006,42980000
arg,2007,61550000
arg,2008,65650000
arg,2009,56180000
arg,2010,36520000
arg,2011,68830000
arg,2012,40230000
arg,2013,33880000
arg,2014,31190000
arg,2015,32150000
arg,2016,35170000
arg,2017,30140000
arg,2018,32320000
arg,2019,48890000
arm,1991,2710000
arm,1992,18690000
arm,1993,96810000
arm,1994,171030000
arm,1995,90860000
arm,1996,56610000
arm,1997,34620000
arm,1998,53570000
arm,1999,47250000
arm,2000,61390000
arm,2001,43490000
arm,2002,72190000
arm,2003,55840000
arm,2004,65620000
arm,2005,66100000
arm,2006,58260000
arm,2007,128710000
arm,2008,133720000
arm,2009,136280000
arm,2010,159090000
arm,2011,240400000
arm,2012,133290000
arm,2013,128170000
arm,2014,116140000
arm,2015,150110000
arm,2016,172600000
arm,2017,93460000
arm,2018,114380000
arm,2019,109260000
atg,1974,2320000
atg,1975,900000
atg,1976,1040000
atg,1977,1260000
atg,1978,1580000
atg,1979,2470000
atg,1980,1940000
atg,1981,5860000
atg,1982,2070000
atg,1983,990000
atg,1984,1340000
atg,1985,500000
atg,1986,1070000
atg,1987,2350000
atg,1988,5740000
atg,1989,2970000
atg,1990,2880000
atg,1991,4690000
atg,1992,2330000
atg,1993,4800000
atg,1994,2080000
atg,1995,1110000
atg,1996,640000
atg,1997,270000
atg,1998,8100000
atg,1999,7300000
atg,2000,3260000
atg,2001,4060000
atg,2002,8980000
atg,2003,2500000
atg,2004,2230000
atg,2005,7670000
atg,2006,3520000
atg,2007,5340000
atg,2008,4100000
atg,2009,1540000
atg,2010,19420000
atg,2011,15150000
atg,2012,1120000
atg,2013,2090000
atg,2014,2670000
atg,2015,2250000
atg,2016,7020000
atg,2017,10490000
atg,2018,3910000
atg,2019,22960000
aze,1991,300000
aze,1992,6250000
aze,1993,12580000
aze,1994,144410000
aze,1995,61790000
aze,1996,42780000
aze,1997,35430000
aze,1998,36210000
aze,1999,55170000
aze,2000,51950000
aze,2001,49760000
aze,2002,67580000
aze,2003,54780000
aze,2004,59900000
aze,2005,81090000
aze,2006,59590000
aze,2007,108370000
aze,2008,106980000
aze,2009,92710000
aze,2010,86870000
aze,2011,107630000
aze,2012,91400000
aze,2013,106280000
aze,2014,103100000
aze,2015,62390000
aze,2016,54930000
aze,2017,55620000
aze,2018,49160000
aze,2019,47590000
bdi,1960,7500000
bdi,1961,6700000
bdi,1962,10060000
bdi,1963,5290000
bdi,1964,3650000
bdi,1965,2760000
bdi,1966,2680000
bdi,1967,2690000
bdi,1968,5710000
bdi,1969,4680000
bdi,1970,6750000
bdi,1971,9740000
bdi,1972,11680000
bdi,1973,11010000
bdi,1974,18580000
bdi,1975,23770000
bdi,1976,20430000
bdi,1977,14170000
bdi,1978,22760000
bdi,1979,32160000
bdi,1980,38860000
bdi,1981,59170000
bdi,1982,32750000
bdi,1983,45480000
bdi,1984,45770000
bdi,1985,42830000
bdi,1986,51460000
bdi,1987,31940000
bdi,1988,50250000
bdi,1989,74380000
