geo,time,dc_dac_usal_cd
abw,2000,50000.00075
afg,1960,15000000
afg,1961,30000000
afg,1962,13000000
afg,1963,32000000
afg,1964,37000000
afg,1965,33470001.2207
afg,1966,29969999.31335
afg,1967,26389999.38965
afg,1968,16920000.07629
afg,1969,15000000
afg,1970,12000000
afg,1971,22000000
afg,1972,25000000
afg,1973,33000000
afg,1974,12000000
afg,1975,17000000
afg,1976,21000000
afg,1977,12000000
afg,1978,11000000
afg,1979,12000000
afg,1980,2000000
afg,1981,-7000000
afg,1982,-2000000
afg,1983,-2000000
afg,1984,-3000000
afg,1986,-5000000
afg,1987,29000000
afg,1988,29000000
afg,1989,40000000
afg,1990,56000000
afg,1991,59000000
afg,1992,65000000
afg,1993,42000000
afg,1994,53000000
afg,1995,2000000
afg,1996,2000000
afg,1999,32080001.83105
afg,2000,2420000.07629
afg,2001,7699999.80927
afg,2002,367609985.35156
afg,2003,485790008.54492
afg,2004,778289978.02734
afg,2005,1318300048.82813
afg,2006,1403709960.9375
afg,2007,1514280029.29688
afg,2008,2111580078.125
afg,2009,2979929931.64063
afg,2010,2938840087.89063
afg,2011,3054949951.17188
afg,2012,2714090087.89063
afg,2013,1694069946.28906
afg,2014,1928079956.05469
afg,2015,1631469970.70313
afg,2016,1375760009.76563
afg,2017,1215109985.35156
afg,2018,914369995.11719
afg,2019,1428209960.9375
ago,1978,1000000
ago,1979,2000000
ago,1980,7000000
ago,1981,5000000
ago,1982,4000000
ago,1983,2000000
ago,1984,7000000
ago,1985,7000000
ago,1986,7000000
ago,1987,6000000
ago,1988,6000000
ago,1989,1000000
ago,1990,1000000
ago,1991,10000000
ago,1992,3000000
ago,1993,14000000
ago,1994,34000000
ago,1995,31000000
ago,1996,25000000
ago,1997,22000000
ago,1998,28760000.22888
ago,1999,48099998.47412
ago,2000,37310001.37329
ago,2001,33950000.76294
ago,2002,105610000.61035
ago,2003,152910003.66211
ago,2004,121290000.91553
ago,2005,67239997.86377
ago,2006,32849998.47412
ago,2007,39630001.06812
ago,2008,42680000.30518
ago,2009,41500000
ago,2010,53529998.7793
ago,2011,64940002.44141
ago,2012,77290000.91553
ago,2013,61139999.38965
ago,2014,58709999.08447
ago,2015,60909999.84741
ago,2016,52319999.69482
ago,2017,56500000
ago,2018,50560001.37329
ago,2019,44779998.7793
alb,1992,28000000
alb,1993,29000000
alb,1994,10000000
alb,1995,8000000
alb,1996,17000000
alb,1997,6000000
alb,1998,14170000.07629
alb,1999,23760000.22888
alb,2000,44720001.2207
alb,2001,42259998.32153
alb,2002,61790000.91553
alb,2003,39990001.67847
alb,2004,40310001.37329
alb,2005,36029998.7793
alb,2006,40580001.83105
