geo,time,sl_tlf_0714_sw_ma_zs
afg,2011,53.8318
ago,2001,75.3
alb,2000,57.9484
alb,2010,95.65251
arg,2012,95.26695
arm,2010,100
aze,2000,96.69967
aze,2005,93.7
bdi,2000,55.37806
bdi,2010,81.955
ben,2012,71.2
bfa,2010,44.3783
bgd,2003,37.12944
bgd,2006,60.6
bgd,2013,35.27098
bih,2000,97.36842
bih,2006,99.8
blr,2012,100
blz,2001,85.45013
bol,2009,94.62127
bol,2013,92.39378
bol,2015,92.46
bra,2011,96.21695
bra,2013,94.85682
bra,2014,94.89035
bra,2015,95.8
caf,2000,51.72932
caf,2010,82.8687
chl,2003,96.80575
chl,2012,98.8
civ,2000,60.6357
civ,2012,64.80845
cmr,2001,54.72944
cmr,2011,87.7
cod,2000,70.4
cod,2010,83.1126
cod,2014,92.61166
cog,2012,95.2
col,2012,79.1
col,2014,87.04161
col,2015,82.43
cri,2011,76.8465
cri,2016,84.8
dom,2009,94.5
dom,2012,85.7214
dom,2014,93.06649
dza,2013,95.94683
ecu,2011,73.74654
ecu,2015,89.51508
egy,2009,48
eth,2011,64.54964
gab,2012,95.74954
geo,2006,99
gha,2006,82.3
gha,2012,87.30729
gin,1994,1.7
gin,2012,54.9
gmb,2000,66.75098
gmb,2008,73.8
gmb,2015,42.84078
gnb,2000,40.2
gnb,2006,63.6
gnb,2014,77.33333
gtm,2012,77.34003
gtm,2014,73.55624
gtm,2015,62.15685
hnd,2013,42.8
hnd,2014,54.35751
hti,2012,92.30579
idn,2010,53.6
ind,2000,10.1
ind,2012,17.4
irq,2000,56.05028
irq,2011,73.1
jam,2011,100
jor,2007,66.8
jor,2016,76.56
kaz,1996,93.7
kaz,2006,98.8
ken,1999,56.5
ken,2000,86.6
ken,2009,66.84036
kgz,1998,90.7
kgz,2007,98.9
kgz,2014,99.7354
khm,2001,84.46294
khm,2012,76.4
lao,2010,12.06534
lbr,2010,77.67802
lka,1999,94.1
lka,2009,95.62092
lso,2000,76.44521
mar,1999,9.5
mda,2000,95.47389
mda,2009,100
mdg,2001,13.37077
mdg,2007,57
mex,2011,82.90735
mex,2013,84.50377
mkd,2011,99.20939
mli,2013,46.1
mng,2000,69.16803
mng,2012,91.38007
mng,2013,94.16102
moz,2008,82.69719
mrt,2007,48.9
mrt,2011,54.76871
mwi,2011,87.60731
mwi,2014,94.43129
mwi,2015,92.5
nam,1999,87.65763
ner,2012,49.6
nga,2010,68
nga,2011,79.54315
nic,2001,61.29611
nic,2010,78.3564
nic,2012,83.19761
npl,1999,76.77725
npl,2008,89.76287
npl,2014,92.86377
pak,2011,19.78565
pan,2012,77.6
pan,2014,84.59031
per,2011,68.33379
per,2014,74.33222
per,2015,77.39638
phl,2001,81.72606
phl,2011,82.5
prt,2001,96.42383
pry,2005,79.4
pry,2014,89.78957
rou,2000,75
rwa,2000,74.51524
rwa,2010,92.34992
rwa,2011,75.73703
rwa,2014,75
sdn,2000,47.92246
sdn,2008,25.66511
sdn,2014,77.58392
sen,2011,39.6
sen,2015,52.28788
sle,2000,48.7
sle,2013,71.9
slv,2003,75.53423
slv,2012,79.9
slv,2013,82.36592
som,2006,53.9
srb,2005,97.6
srb,2014,98.64922
ssd,2008,25.86658
swz,2000,86.00028
swz,2010,96.94859
syr,2006,64.2
tcd,2010,61.5
tcd,2015,56.08836
tgo,2010,90.26776
tgo,2014,88.46144
tha,2005,95.1
tjk,2005,93.9
tls,2007,65.5
tto,2000,78.84615
tto,2006,95.8
tun,2012,89.1
tur,1999,35.11283
tur,2006,66.5
tza,2001,57.30165
tza,2011,70.79942
tza,2014,69.33927
uga,2012,92.81998
ukr,2012,97.7
ury,2009,87.81822
uzb,2000,95.57774
uzb,2005,100
ven,2003,78.07018
ven,2006,75.71283
ven,2013,62.85575
vnm,2012,79.1
yem,1999,56.79609
yem,2010,73.87781
zaf,1999,95.3
zmb,2008,81.21047
zwe,1999,87.2
