geo,time,ny_trf_nctr_cn
abw,1986,4100000
abw,1987,800000
abw,1988,-1500000
abw,1989,8600000
abw,1990,-16000000
abw,1991,-29700000
abw,1992,-900000
abw,1993,-9000000
abw,1994,-18800000
abw,1995,50200000
abw,1996,-6500000
abw,1997,-19800000
abw,1998,-8600000
abw,1999,-94700000
abw,2000,-140600000
abw,2001,-115100000
abw,2002,-119400000
abw,2003,-157100000
abw,2004,-201100000
abw,2005,-237400000
abw,2006,-233200000
abw,2007,-221400000
abw,2008,-234200000
abw,2009,-149700000
abw,2010,-126500000
abw,2011,-207400000
abw,2012,-135800000
abw,2013,-106000000
abw,2014,-126200000
abw,2015,-123400000
abw,2016,-112200000
abw,2017,-120244200
abw,2018,-163358900
abw,2019,-141270400
afg,2009,174645540900
afg,2010,205927654800
afg,2011,191621269300
afg,2012,232852303100
afg,2013,330086615400
afg,2014,454884179400
afg,2015,498617388600
afg,2016,553535055500
afg,2017,599329704700
afg,2018,648372095400
afg,2019,647876813600
afg,2020,694895269400
ago,1992,10200
ago,1993,16600
ago,1994,24500
ago,1995,421600
ago,1996,491012700
ago,1997,21586300
ago,1998,59507400
ago,1999,155581900
ago,2000,276115000
ago,2001,1997339400
ago,2002,1392923100
ago,2003,7379806400
ago,2004,546723300
ago,2005,2331968800
ago,2006,-15267152100
ago,2007,-17022452500
ago,2008,-15761940700
ago,2009,-29375786400
ago,2010,-40226401600
ago,2011,-127962398600
ago,2012,-168229046900
ago,2013,-204947188000
ago,2014,-217339646100
ago,2015,-100110371500
ago,2016,-74340831000
ago,2017,-77773052800
ago,2018,-68114696200
ago,2019,-82815456600
ago,2020,-36256826760
alb,1984,629710199.50409
alb,1985,635215999.56512
alb,1986,656990200
alb,1987,606627900
alb,1988,598210700
alb,1989,657280000
alb,1990,584569700
alb,1991,570349700
alb,1992,39294520300
alb,1993,56665100000
alb,1994,32361180000
alb,1995,44253786500
alb,1996,58456694000
alb,1997,39407649800
alb,1998,75905643000
alb,1999,44887130200
alb,2000,76582748100
alb,2001,81872445900
alb,2002,87613391000
alb,2003,102601838900
alb,2004,114043918000
alb,2005,129236380900
alb,2006,124554348900
alb,2007,129457477100
alb,2008,115619900800
alb,2009,124167994500
alb,2010,126857511300
alb,2011,127372090900
alb,2012,122374082800
alb,2013,95471904600
alb,2014,101185240100
alb,2015,107345877300
alb,2016,112723993300
alb,2017,114618128900
alb,2018,116253133900
alb,2019,119323209100
alb,2020,124527169700
are,2000,-14550000000
are,2001,-15454000000
are,2002,-16250000000
are,2003,-17120000000
are,2004,-20844000000
