geo,time,sl_wag_0714_ma_zs
afg,2011,19.37
ago,2001,7.6
alb,2005,1.6
alb,2010,3.2
arg,2004,7.6
arg,2012,12.53
aze,2005,5.3
bdi,2010,7.46
ben,2012,5.14
bfa,2006,2.17
bfa,2010,1.22
bgd,2006,15.6
bgd,2013,50.36
bih,2006,0.24
blr,2005,12
blr,2012,10.59
bol,2009,10.47
bol,2013,7.62
bol,2015,9.82
bra,2011,24.94
bra,2013,28.88
bra,2014,25.78286
bra,2015,26.98
caf,2006,2.06
caf,2010,6.45
civ,2006,2.87
civ,2012,6.29
cmr,2007,9.84
cmr,2011,2.98
cod,2010,8.9
cog,2005,5.03
cog,2012,10.17
col,2009,15.63
col,2012,20.49
col,2014,17.98
col,2015,15.3
cri,2011,21.6
cri,2016,22.7
dom,2009,22.9
dom,2012,24.17
dza,2013,15.35
ecu,2011,17.54
ecu,2015,9.43
egy,2005,12.69
egy,2009,56.57
eth,2011,3.25
gab,2012,12.49
geo,2006,3.85
gha,2006,5.44
gha,2012,0.6
gin,2010,0.31
gin,2012,2.94
gmb,2015,1.31
gnb,2006,4.75
gtm,2006,18.99
gtm,2012,15.48
gtm,2014,33.09
gtm,2015,21.48235
hnd,2007,23.13
hnd,2011,19.46
hnd,2013,18.51
hnd,2014,20.55
hti,2006,2.19
hti,2012,3.72
idn,2010,15.56
ind,2010,9.43
ind,2012,46.87
irq,2006,10.66
irq,2011,15.91
jam,2005,20.44
jam,2011,17.09
jor,2007,49.38
jor,2016,30.36
kaz,2006,4.03
kgz,2007,0.71
kgz,2014,0.61352
khm,2009,4.74
khm,2012,18.78
lao,2006,7.93
lao,2010,3.22
lbr,2010,1.21
lka,2009,5.77
lso,2000,4.66
mda,2009,2.14
mdg,2007,10.82
mex,2011,39.01
mex,2013,37.14
mkd,2006,1.34
mkd,2011,19.15
mli,2007,2.49
mli,2013,2.74
mng,2007,0.16
moz,2008,4.75
mrt,2007,6.8
mrt,2011,13.07
mwi,2006,6.1
mwi,2015,5.25
nam,1999,5.6
ner,2006,71.93
ner,2009,4.89
ner,2012,8.31
nga,2007,2.84
nga,2011,18.12
nic,2005,14.61
nic,2010,12.67
nic,2012,10.48
npl,1999,4
npl,2008,2.54
pak,2011,21.02
pan,2008,11.65
pan,2010,14.27
pan,2012,23.42
pan,2014,14.8
per,2007,6.75
phl,2001,23.9
phl,2011,22.46
pry,2005,20.26
pry,2014,26.16
rwa,2008,10.34
rwa,2010,10.96
rwa,2011,37.38
sdn,2008,20.05
sen,2011,1.17
sle,2008,1.03
sle,2010,2.27
sle,2013,1.09
slv,2011,15.28
slv,2012,15.25
slv,2013,17.45
som,2006,0.8
srb,2005,7.7
ssd,2008,5.26
swz,2010,18.52
syr,2006,25.68
tcd,2004,1.59
tcd,2010,8.85
tgo,2010,1.89
tha,2005,12.22
tha,2006,12.22
tjk,2005,23.13
tto,2006,36.51
tun,2012,12.61
tur,2006,33.87
tza,2006,0.8
tza,2011,0.4
tza,2014,1.88
uga,2006,1.36
uga,2012,4.29
ukr,2005,1.38
ukr,2012,20.58
ury,2009,42.83
uzb,2005,3.19
uzb,2006,3.19
ven,2006,36.06
ven,2013,32.16
vnm,2011,7.8
vnm,2012,7.75
yem,2006,8.73
yem,2010,12.14
zaf,1999,7.86
zmb,2008,4.51
zwe,1999,27.08
