global,time,bx_trf_pwkr_dt_gd_zs
world,1977,0.30828
world,1978,0.33766
world,1979,0.36258
world,1980,0.41653
world,1981,0.3887
world,1982,0.40325
world,1983,0.39522
world,1984,0.3654
world,1985,0.3881
world,1986,0.39402
world,1987,0.39758
world,1988,0.38853
world,1989,0.39257
world,1990,0.39994
world,1991,0.33494
world,1992,0.34299
world,1993,0.33944
world,1994,0.34431
world,1995,0.31712
world,1996,0.31999
world,1997,0.36633
world,1998,0.36349
world,1999,0.36417
world,2000,0.37227
world,2001,0.40573
world,2002,0.45075
world,2003,0.49416
world,2004,0.50282
world,2005,0.53616
world,2006,0.57152
world,2007,0.605
world,2008,0.63644
world,2009,0.64451
world,2010,0.64052
world,2011,0.64732
world,2012,0.66615
world,2013,0.68873
world,2014,0.71722
world,2015,0.7542
world,2016,0.729
world,2017,0.73867
world,2018,0.74939
world,2019,0.76416
world,2020,0.78622
