geo,time,dc_dac_fral_cd
afg,1975,790000.02146
afg,1980,699999.98808
afg,1981,879999.99523
afg,1982,1120000.00477
afg,1983,800000.01192
afg,1984,699999.98808
afg,1985,3150000.09537
afg,1986,519999.98093
afg,1987,850000.02384
afg,1988,660000.02623
afg,1989,1879999.99523
afg,1990,1870000.00477
afg,1991,1500000
afg,1992,1409999.96662
afg,1993,2049999.95232
afg,1994,4389999.86649
afg,1995,3480000.01907
afg,1996,2519999.98093
afg,1997,1690000.05722
afg,1998,2250000
afg,1999,1330000.04292
afg,2000,709999.97854
afg,2001,9609999.65668
afg,2002,11859999.65668
afg,2003,12449999.80927
afg,2004,15029999.73297
afg,2005,17709999.08447
afg,2006,14619999.88556
afg,2007,19540000.91553
afg,2008,19899999.61853
afg,2009,49810001.37329
afg,2010,58560001.37329
afg,2011,65730003.35693
afg,2012,67580001.83105
afg,2013,49650001.52588
afg,2014,38419998.16895
afg,2015,21219999.31335
afg,2016,36610000.61035
afg,2017,21409999.84741
afg,2018,9840000.15259
afg,2019,10560000.41962
ago,1980,200000.00298
ago,1981,500000
ago,1982,1409999.96662
ago,1983,1100000.02384
ago,1984,1080000.04292
ago,1985,1350000.02384
ago,1986,6250000
ago,1987,3730000.01907
ago,1988,5800000.19073
ago,1989,7409999.84741
ago,1990,11130000.11444
ago,1991,10579999.92371
ago,1992,26969999.31335
ago,1993,18549999.23706
ago,1994,27440000.53406
ago,1995,35099998.47412
ago,1996,11930000.30518
ago,1997,5639999.86649
ago,1998,7050000.19073
ago,1999,8649999.61853
ago,2000,7699999.80927
ago,2001,5940000.05722
ago,2002,9850000.38147
ago,2003,14260000.22888
ago,2004,21879999.16077
ago,2005,9930000.30518
ago,2006,-97089996.33789
ago,2007,3240000.00954
ago,2008,2920000.07629
ago,2009,4150000.09537
ago,2010,4090000.15259
ago,2011,4239999.77112
ago,2012,5309999.94278
ago,2013,5269999.98093
ago,2014,5320000.17166
ago,2015,4980000.01907
ago,2016,5409999.84741
ago,2017,5969999.79019
