geo,time,se_sec_cuat_po_zs
afg,1975,1.7
afg,1979,3.03847
afg,2021,4.70488
and,2003,27.80536
and,2004,30.51042
and,2005,28.10639
and,2006,30.47791
and,2014,32.68108
and,2015,32.42025
and,2016,32.22919
are,1975,6.01427
are,2005,22.58482
are,2016,43.47361
are,2017,52.56913
are,2018,55.46569
are,2019,54.09271
arm,2001,42.11391
arm,2011,46.96439
arm,2015,50.56064
arm,2017,46.72697
arm,2020,46.51918
asm,1974,12.61325
asm,1980,16.6
asm,1990,22.6
aus,1971,21.5
aus,2004,33.36499
aus,2005,34.20449
aus,2006,35.72979
aus,2007,36.73524
aus,2008,39.35687
aus,2009,40.55583
aus,2010,41.79571
aus,2011,42.70266
aus,2012,46.46197
aus,2013,41.6412
aus,2014,44.25733
aus,2015,45.34507
aus,2016,46.47343
aus,2017,47.66699
aus,2018,48.30267
aus,2019,49.61824
aus,2020,51.56055
aut,1971,2.5579
aut,1981,3.24651
aut,1991,6.10452
aut,2005,23.83703
aut,2007,23.867
aut,2008,23.59576
aut,2009,25.62255
aut,2010,26.16739
aut,2011,26.33883
aut,2012,26.99064
aut,2013,27.82756
aut,2014,27.97571
aut,2015,29.14282
aut,2016,29.98158
aut,2017,30.62837
aut,2019,32.11796
aze,1999,32.59636
aze,2007,29.67194
aze,2008,29.79963
aze,2009,29.82192
aze,2010,29.96823
aze,2011,30.00222
aze,2012,30.03635
aze,2013,30.03665
aze,2014,30.05712
aze,2015,30.04166
aze,2016,30.09171
aze,2017,30.05587
aze,2019,30.02014
bel,1970,5.17801
bel,2006,28.20566
bel,2008,29.38723
bel,2009,30.61776
bel,2010,31.74045
bel,2011,32.15628
bel,2012,32.71225
bel,2013,32.98516
bel,2014,32.80345
bel,2015,33.26115
bel,2016,33.76272
bel,2017,36.38061
bel,2019,37.06786
ben,1979,0.30004
ben,1992,1.30313
ben,2002,2.1615
bfa,2006,1.83584
bfa,2007,0.26709
bfa,2014,0
bfa,2018,3.01021
bgd,1974,0.86033
bgd,1981,1.27348
bgd,2001,4.20865
bgd,2011,10.24576
bgd,2012,10.50721
bgd,2013,9.41856
bgd,2014,10.28951
bgd,2015,13.99098
bgd,2016,14.34732
bgd,2017,14.92366
bgd,2018,15.5678
bgd,2019,16.20527
bgd,2020,22.38175
bgr,1975,5.48692
bgr,1992,15.03911
bgr,2001,18.04557
bgr,2006,19.50465
bgr,2007,19.81607
bgr,2008,20.18866
bgr,2009,20.53099
bgr,2010,20.71765
bgr,2011,20.80996
bgr,2012,21.51112
bgr,2013,22.91971
bgr,2014,24.06306
bgr,2015,24.47098
bgr,2016,24.62815
bgr,2017,24.71288
bgr,2020,26.05347
bhr,1971,3.77608
bhr,1991,10.3
bhr,2010,21.26295
bhr,2016,23.92915
bhr,2017,24.45045
bhr,2018,32.36507
bhr,2020,32.73614
bhs,1990,13.5
bhs,2000,19.17625
bhs,2010,31.25805
bih,2010,9.22543
bih,2011,9.84786
bih,2014,11.30084
bih,2015,11.47208
bih,2016,11.87646
bih,2018,11.86166
bih,2020,13.68573
blr,1970,5.3478
blr,1989,12.48125
blr,2009,63.03732
blr,2019,73.7667
blz,1970,1.39274
blz,1980,2.3
blz,1991,6.6995
blz,2005,11.05404
blz,2010,15.43312
blz,2020,21.22224
bmu,1970,7.4
bmu,1991,18.36467
bmu,2000,53.49748
bmu,2010,51.00597
bmu,2016,54.74085
bol,2001,16.83499
bol,2006,20.91688
bol,2008,20.53512
bol,2009,22.76959
bol,2012,24.03224
bol,2015,26.62098
bol,2019,31.10759
brb,1970,1.2
brb,1980,3.35552
brb,2000,15.68185
brn,1971,3.05422
brn,1981,9.45296
brn,2011,23.78181
btn,2012,5.38001
btn,2017,11.00074
bwa,1971,0.64038
caf,1975,0.19177
caf,1988,2.07482
can,1976,30.9
can,1981,35.29253
can,2006,55.98193
can,2011,59.64031
can,2016,60.4143
che,1980,10.77957
che,2009,33.68499
che,2010,36.10449
che,2011,36.4034
che,2012,37.76037
chn,1982,1.01746
chn,1990,2
chn,2000,4.26802
civ,1988,8.7
civ,1998,10.73756
civ,2014,5.97417
cmr,1976,0.26861
cmr,2010,13.50781
cog,1984,2.94642
col,2019,21.62698
col,2020,22.53949
cpv,2015,11.86962
cri,2020,22.29335
cub,2002,9.35904
cub,2012,30.69346
cym,1970,2.9
cym,1989,14.11565
cym,2004,31.18559
cym,2005,39.75595
cym,2006,37.72367
cym,2007,45.19908
cym,2008,45.16998
cym,2014,54.78828
cym,2015,54.8527
cyp,1992,17.01702
cyp,2004,27.67972
cyp,2005,27.29633
cyp,2006,28.57071
cyp,2007,30.94157
cyp,2008,31.28347
cyp,2009,30.87502
cyp,2010,32.55004
cyp,2011,34.04319
cyp,2012,35.67134
cyp,2013,35.75474
cyp,2014,37.22429
cyp,2015,36.8993
cyp,2016,38.23782
cyp,2018,39.16586
cyp,2020,40.11966
cze,1991,8.60324
cze,2006,14.07908
cze,2007,14.09373
cze,2008,14.61936
cze,2009,15.71768
cze,2010,16.90547
cze,2011,18.17587
cze,2012,19.0093
cze,2013,19.95704
cze,2014,18.96725
cze,2015,19.53053
cze,2016,20.24125
deu,2006,27.16062
deu,2007,27.71277
deu,2008,28.81607
deu,2009,29.83956
deu,2010,30.2569
deu,2011,31.1495
deu,2012,31.79364
deu,2013,32.33492
deu,2014,33.42421
deu,2015,34.41009
deu,2016,35.65272
deu,2018,35.58818
dma,2001,5.03387
dnk,2011,30.68707
dnk,2012,32.28393
dnk,2013,32.96768
dnk,2014,33.29419
dnk,2015,34.87973
dnk,2016,35.76369
dnk,2018,37.11665
dnk,2020,38.02185
dom,2016,22.51862
egy,1986,4.62554
egy,1996,6.47482
egy,2006,16.41607
egy,2017,12.98497
esp,2004,21.70998
esp,2005,23.38222
esp,2006,23.6974
esp,2007,24.23866
esp,2008,24.55209
esp,2009,24.93217
esp,2010,25.70001
esp,2011,26.51466
esp,2012,26.97082
esp,2014,28.97893
esp,2015,29.29108
esp,2016,29.83585
esp,2018,31.16157
esp,2020,33.54259
est,2000,30.86314
est,2020,48.58942
eth,2007,2.38387
eth,2011,5.89541
fin,1985,13.8
fin,1990,15.36384
fin,2013,34.35455
fin,2014,34.82228
fin,2015,35.09643
fin,2017,36.20377
fin,2019,37.57275
fji,1996,8.57577
fji,2007,15.91389
fra,1990,11.43154
fra,2004,19.90481
fra,2005,20.63728
fra,2007,22.61652
fra,2008,23.03576
fra,2009,22.56894
fra,2010,24.51972
fra,2011,25.22297
fra,2012,26.06286
fra,2013,27.37047
fra,2014,28.66298
fra,2015,30.49508
fra,2016,29.62496
fra,2017,30.22735
fra,2019,32.30461
gbr,2009,31.5697
gbr,2010,33.81171
gbr,2011,33.05904
gbr,2012,36.95036
geo,2002,48.33942
geo,2012,49.67118
geo,2014,49.41188
geo,2016,51.03454
geo,2017,59.23623
geo,2019,57.00445
gha,1970,0.4
gha,2010,11.34099
gin,1996,3.93644
gin,2010,4.99931
gin,2014,5.3938
gin,2018,6.46051
gmb,1973,0.21572
gmb,2015,8.03147
grc,1981,7.6
grc,1991,8.7
grc,2005,23.2666
grc,2006,23.99637
grc,2007,25.30017
grc,2008,25.68961
grc,2010,26.84174
grc,2014,29.76849
grc,2015,30.48049
grc,2016,26.69899
grc,2020,34.82611
grd,1970,0.99848
grd,1981,1.56549
grl,2012,13.36413
grl,2014,13.68537
grl,2015,13.70051
grl,2018,14.38547
grl,2019,14.40657
gtm,2002,4.20162
gtm,2006,3.40715
gtm,2012,2.83538
gtm,2013,3.35549
gtm,2014,10.3074
gum,1970,21.47901
gum,1980,34.36068
gum,1990,39.92566
guy,1970,0.93043
guy,1980,1.79866
guy,2002,2.26874
hkg,1971,3.08226
hkg,1976,3.8
hkg,1981,7.15563
hkg,1986,7.7
hkg,1991,10.62542
hkg,1996,14.47908
hkg,2006,21.92046
hkg,2008,22.55391
hkg,2009,22.84366
hkg,2010,22.99259
hkg,2011,24.52327
hkg,2014,26.93291
hkg,2015,27.93462
hkg,2017,29.10324
hkg,2019,31.06778
hti,1971,0.27838
hti,1982,0.64525
hti,1986,0.76377
hun,2001,13.62896
hun,2005,16.2347
hun,2011,21.67548
hun,2012,22.85254
hun,2013,29.02408
hun,2014,28.20891
hun,2015,28.74177
hun,2016,28.50946
hun,2020,31.76225
idn,2007,7.10711
idn,2008,6.64938
ind,1971,1.10687
ind,1981,2.49704
ind,2011,10.01238
irl,1971,4.64019
irl,1981,7.86207
irl,1991,13.55777
irl,2007,38.24455
irl,2010,44.25483
irl,2011,37.79415
irl,2017,42.9488
irn,2006,16.76837
irn,2008,15.76646
irn,2010,18.53014
irn,2012,19.7987
irn,2013,21.31421
irn,2014,21.72996
irn,2016,23.06212
irq,2013,19.92075
isl,2005,31.00324
isl,2019,46.31018
isl,2020,46.06663
ita,2001,9.35807
ita,2005,10.90389
ita,2006,11.41771
ita,2007,11.94167
ita,2008,12.55613
ita,2009,12.54919
ita,2010,12.78265
ita,2011,12.78953
ita,2012,13.54081
ita,2014,14.448
ita,2015,14.9665
ita,2020,17.13703
jam,1970,1.10769
jam,1982,2
jam,1991,2.70558
jam,2011,13.95097
jor,2003,16.59286
jor,2008,26.89198
jor,2010,27.11252
jor,2018,33.12257
jor,2020,32.55744
jpn,1970,9.47812
jpn,1980,14.31461
kaz,1989,12.4
kaz,1999,38.21317
kaz,2007,56.58067
kaz,2009,54.74132
kaz,2018,79.02027
ken,1979,1.3
ken,2009,7.72851
ken,2010,7.92327
kgz,1999,28.21758
kgz,2009,26.84901
khm,2007,1.83187
khm,2008,1.85405
khm,2009,2.04204
khm,2014,5.93012
khm,2015,5.83211
kir,1978,0.90304
kna,1970,1.1
kna,1980,2.32323
kwt,1988,16.38586
kwt,2005,13.51235
kwt,2006,13.14825
kwt,2007,12.82023
kwt,2008,13.17522
kwt,2012,16.49865
kwt,2013,13.77169
kwt,2015,15.02227
kwt,2017,17.39209
kwt,2018,18.50706
lbr,1974,1.53909
lby,1984,2.7
lca,1970,1
lca,1980,1.29572
lca,2010,16.37165
lca,2013,15.04257
lca,2019,15.26706
lie,1970,5.4
lie,2000,8.86692
lka,2001,35.29811
lka,2008,29.30297
lka,2009,29.64383
lso,2006,1.86033
lso,2008,5.3505
ltu,2005,44.95722
ltu,2006,46.65975
ltu,2007,48.22584
ltu,2008,48.38849
ltu,2009,48.48151
ltu,2010,48.83363
ltu,2011,49.64981
ltu,2012,49.68885
ltu,2013,49.59112
ltu,2014,50.88567
ltu,2015,52.13129
ltu,2016,53.25203
ltu,2017,54.64285
ltu,2020,58.03812
lux,1991,11.9237
lux,2001,30.34759
lux,2007,27.44604
lva,1989,13.3692
lva,2004,30.34771
lva,2005,30.12958
lva,2006,31.89096
lva,2007,27.62439
lva,2008,29.79623
lva,2009,30.62072
lva,2010,32.54287
lva,2011,34.21371
lva,2012,35.70129
lva,2013,37.76718
lva,2014,37.66305
lva,2015,37.30733
lva,2016,38.77389
lva,2018,43.5798
lva,2019,48.33951
mac,1970,1.37853
mac,2006,14.31114
mac,2011,19.58761
mac,2016,26.31721
mco,1975,17.31193
mda,1989,11.3
mda,2007,30.56614
mda,2008,30.927
mda,2009,31.51827
mda,2010,31.67328
mda,2011,32.82048
mda,2012,54.90171
