global,time,gc_xpn_gsrv_zs
world,2002,12.89213
world,2003,12.77207
world,2004,12.15577
world,2005,12.40469
world,2006,13.28432
world,2007,12.55478
world,2008,11.91926
world,2009,11.58728
world,2010,11.43654
world,2011,10.99282
world,2012,11.51218
world,2013,11.40597
world,2014,12.13596
world,2015,11.94989
world,2016,11.62755
world,2017,12.15305
world,2018,11.60078
world,2019,11.63757
