geo,time,sh_hiv_incd_zs
afg,1990,0.01
afg,1991,0.01
afg,1992,0.01
afg,1993,0.01
afg,1994,0.02
afg,1995,0.02
afg,1996,0.02
afg,1997,0.02
afg,1998,0.02
afg,1999,0.03
afg,2000,0.03
afg,2001,0.03
afg,2002,0.03
afg,2003,0.04
afg,2004,0.04
afg,2005,0.04
afg,2006,0.04
afg,2007,0.04
afg,2008,0.04
afg,2009,0.05
afg,2010,0.05
afg,2011,0.05
afg,2012,0.06
afg,2013,0.06
afg,2014,0.06
afg,2015,0.06
afg,2016,0.07
afg,2017,0.07
afg,2018,0.07
afg,2019,0.08
afg,2020,0.08
ago,1990,0.53
ago,1991,0.64
ago,1992,0.78
ago,1993,0.91
ago,1994,1.06
ago,1995,1.21
ago,1996,1.37
ago,1997,1.56
ago,1998,1.69
ago,1999,1.87
ago,2000,2.02
ago,2001,2.1
ago,2002,2.19
ago,2003,2.29
ago,2004,2.35
ago,2005,2.34
ago,2006,2.35
ago,2007,2.25
ago,2008,2.21
ago,2009,2.13
ago,2010,2.04
ago,2011,1.95
ago,2012,1.85
ago,2013,1.75
ago,2014,1.6
ago,2015,1.48
ago,2016,1.39
ago,2017,1.33
ago,2018,1.25
ago,2019,1.17
ago,2020,1.1
alb,1990,0.01
alb,1991,0.01
alb,1992,0.01
alb,1993,0.01
alb,1994,0.01
alb,1995,0.01
alb,1996,0.01
alb,1997,0.01
alb,1998,0.01
alb,1999,0.01
alb,2000,0.01
alb,2001,0.02
alb,2002,0.02
alb,2003,0.02
alb,2004,0.03
alb,2005,0.03
alb,2006,0.04
alb,2007,0.05
alb,2008,0.05
alb,2009,0.06
alb,2010,0.06
alb,2011,0.07
alb,2012,0.07
alb,2013,0.07
alb,2014,0.07
alb,2015,0.07
alb,2016,0.07
alb,2017,0.07
alb,2018,0.06
alb,2019,0.06
alb,2020,0.05
are,1990,0.02
are,1991,0.03
are,1992,0.04
are,1993,0.04
are,1994,0.03
are,1995,0.02
are,1996,0.01
are,1997,0.01
are,1998,0.01
are,1999,0.01
are,2000,0.01
are,2001,0.01
are,2002,0.02
are,2003,0.02
are,2004,0.02
are,2005,0.03
are,2006,0.04
are,2007,0.04
are,2008,0.05
are,2009,0.06
are,2010,0.07
are,2011,0.08
are,2012,0.09
are,2013,0.1
are,2014,0.11
are,2015,0.13
are,2016,0.14
are,2017,0.16
are,2018,0.18
are,2019,0.2
are,2020,0.22
arg,1990,0.26
arg,1991,0.3
arg,1992,0.33
arg,1993,0.34
arg,1994,0.34
arg,1995,0.34
arg,1996,0.33
arg,1997,0.32
arg,1998,0.31
arg,1999,0.29
arg,2000,0.28
arg,2001,0.28
arg,2002,0.27
arg,2003,0.27
arg,2004,0.27
arg,2005,0.27
arg,2006,0.27
arg,2007,0.27
arg,2008,0.27
arg,2009,0.27
arg,2010,0.27
arg,2011,0.26
arg,2012,0.26
arg,2013,0.26
arg,2014,0.25
arg,2015,0.25
arg,2016,0.25
arg,2017,0.24
arg,2018,0.24
arg,2019,0.23
arg,2020,0.22
arm,1990,0.01
arm,1991,0.01
arm,1992,0.01
arm,1993,0.01
arm,1994,0.02
arm,1995,0.03
arm,1996,0.05
arm,1997,0.08
arm,1998,0.13
arm,1999,0.17
arm,2000,0.22
arm,2001,0.26
arm,2002,0.31
arm,2003,0.34
arm,2004,0.34
arm,2005,0.32
arm,2006,0.29
arm,2007,0.25
arm,2008,0.21
arm,2009,0.18
arm,2010,0.15
arm,2011,0.14
arm,2012,0.13
arm,2013,0.13
arm,2014,0.14
arm,2015,0.14
arm,2016,0.15
arm,2017,0.16
arm,2018,0.17
arm,2019,0.18
arm,2020,0.19
aus,1990,0.14
aus,1991,0.12
aus,1992,0.11
aus,1993,0.1
aus,1994,0.09
aus,1995,0.08
aus,1996,0.07
aus,1997,0.07
aus,1998,0.07
aus,1999,0.06
aus,2000,0.06
aus,2001,0.06
aus,2002,0.06
aus,2003,0.06
aus,2004,0.07
aus,2005,0.07
aus,2006,0.07
aus,2007,0.08
aus,2008,0.08
aus,2009,0.08
aus,2010,0.09
aus,2011,0.09
aus,2012,0.09
aus,2013,0.08
aus,2014,0.08
aus,2015,0.08
aus,2016,0.08
aus,2017,0.07
aus,2018,0.07
aus,2019,0.06
aus,2020,0.06
aze,1990,0.01
aze,1991,0.01
aze,1992,0.02
aze,1993,0.03
aze,1994,0.04
aze,1995,0.06
aze,1996,0.1
aze,1997,0.13
aze,1998,0.17
aze,1999,0.21
aze,2000,0.24
aze,2001,0.23
aze,2002,0.22
aze,2003,0.2
aze,2004,0.17
aze,2005,0.17
aze,2006,0.16
aze,2007,0.15
aze,2008,0.13
aze,2009,0.13
aze,2010,0.11
aze,2011,0.11
aze,2012,0.1
aze,2013,0.1
aze,2014,0.09
aze,2015,0.09
aze,2016,0.09
aze,2017,0.08
aze,2018,0.08
aze,2019,0.07
aze,2020,0.07
bdi,1990,8.92
bdi,1991,7.97
bdi,1992,7.47
bdi,1993,6.01
bdi,1994,4.89
bdi,1995,4.18
bdi,1996,3.39
bdi,1997,2.91
bdi,1998,2.47
bdi,1999,2.03
bdi,2000,1.78
bdi,2001,1.53
bdi,2002,1.34
bdi,2003,1.15
bdi,2004,0.99
bdi,2005,0.85
bdi,2006,0.81
bdi,2007,0.72
bdi,2008,0.66
bdi,2009,0.64
bdi,2010,0.58
bdi,2011,0.52
bdi,2012,0.47
bdi,2013,0.43
bdi,2014,0.39
bdi,2015,0.35
bdi,2016,0.3
bdi,2017,0.24
bdi,2018,0.19
bdi,2019,0.15
bdi,2020,0.13
ben,1990,1.86
ben,1991,2.04
ben,1992,2.06
ben,1993,2.06
ben,1994,2.01
ben,1995,1.92
ben,1996,1.8
ben,1997,1.75
ben,1998,1.61
ben,1999,1.52
ben,2000,1.41
ben,2001,1.33
ben,2002,1.26
ben,2003,1.18
ben,2004,1.14
ben,2005,1.06
ben,2006,1.03
ben,2007,0.99
ben,2008,0.89
ben,2009,0.75
ben,2010,0.68
ben,2011,0.62
ben,2012,0.54
ben,2013,0.5
ben,2014,0.51
ben,2015,0.48
ben,2016,0.43
ben,2017,0.39
ben,2018,0.36
ben,2019,0.32
ben,2020,0.27
bfa,1990,4.3
bfa,1991,3.7
bfa,1992,3.39
bfa,1993,2.87
bfa,1994,2.35
bfa,1995,2.02
bfa,1996,1.7
bfa,1997,1.53
bfa,1998,1.35
bfa,1999,1.12
bfa,2000,0.97
bfa,2001,0.83
bfa,2002,0.72
bfa,2003,0.65
bfa,2004,0.59
bfa,2005,0.53
bfa,2006,0.47
bfa,2007,0.42
bfa,2008,0.38
bfa,2009,0.34
bfa,2010,0.3
bfa,2011,0.26
bfa,2012,0.23
bfa,2013,0.2
bfa,2014,0.18
bfa,2015,0.15
bfa,2016,0.13
bfa,2017,0.11
bfa,2018,0.09
bfa,2019,0.09
bfa,2020,0.07
bhs,1990,2.9
bhs,1991,2.85
bhs,1992,2.73
bhs,1993,2.57
bhs,1994,2.4
bhs,1995,2.24
bhs,1996,2.08
bhs,1997,1.94
bhs,1998,1.81
bhs,1999,1.7
bhs,2000,1.59
bhs,2001,1.5
bhs,2002,1.41
bhs,2003,1.31
bhs,2004,1.14
bhs,2005,1.06
bhs,2006,1
bhs,2007,0.92
bhs,2008,0.89
bhs,2009,0.83
bhs,2010,0.78
bhs,2011,0.76
bhs,2012,0.74
bhs,2013,0.72
bhs,2014,0.66
bhs,2015,0.58
bhs,2016,0.56
bhs,2017,0.54
bhs,2018,0.44
bhs,2019,0.4
bhs,2020,0.39
blr,1990,0.01
blr,1991,0.01
blr,1992,0.01
blr,1993,0.01
blr,1994,0.02
blr,1995,0.02
blr,1996,0.03
blr,1997,0.04
blr,1998,0.05
blr,1999,0.07
blr,2000,0.09
blr,2001,0.11
blr,2002,0.14
blr,2003,0.17
blr,2004,0.21
blr,2005,0.25
blr,2006,0.29
blr,2007,0.31
blr,2008,0.34
blr,2009,0.36
blr,2010,0.37
blr,2011,0.39
blr,2012,0.41
blr,2013,0.41
blr,2014,0.41
blr,2015,0.4
blr,2016,0.38
blr,2017,0.36
blr,2018,0.32
blr,2019,0.28
blr,2020,0.24
blz,1990,0.05
blz,1991,0.12
blz,1992,0.24
blz,1993,0.47
blz,1994,0.84
blz,1995,1.31
blz,1996,1.79
blz,1997,2.13
blz,1998,2.25
blz,1999,2.19
blz,2000,2.03
blz,2001,1.86
blz,2002,1.7
blz,2003,1.56
blz,2004,1.44
blz,2005,1.38
blz,2006,1.3
blz,2007,1.25
blz,2008,1.21
blz,2009,1.16
blz,2010,1.11
blz,2011,1.08
blz,2012,1.07
blz,2013,1.06
blz,2014,1.03
blz,2015,1.01
blz,2016,0.98
blz,2017,0.95
blz,2018,0.93
blz,2019,0.9
blz,2020,0.87
bol,1990,0.08
bol,1991,0.09
bol,1992,0.1
bol,1993,0.12
bol,1994,0.17
bol,1995,0.25
bol,1996,0.33
bol,1997,0.37
bol,1998,0.34
bol,1999,0.28
bol,2000,0.24
bol,2001,0.2
bol,2002,0.19
bol,2003,0.18
bol,2004,0.19
bol,2005,0.18
bol,2006,0.18
bol,2007,0.18
bol,2008,0.19
bol,2009,0.19
bol,2010,0.18
bol,2011,0.19
bol,2012,0.19
bol,2013,0.19
bol,2014,0.19
bol,2015,0.18
bol,2016,0.17
bol,2017,0.17
bol,2018,0.16
bol,2019,0.14
bol,2020,0.13
btn,1990,0.04
btn,1991,0.05
btn,1992,0.06
btn,1993,0.08
btn,1994,0.1
btn,1995,0.13
btn,1996,0.17
btn,1997,0.21
btn,1998,0.29
btn,1999,0.33
btn,2000,0.4
btn,2001,0.37
btn,2002,0.42
btn,2003,0.39
btn,2004,0.37
btn,2005,0.35
btn,2006,0.32
btn,2007,0.31
btn,2008,0.29
btn,2009,0.28
btn,2010,0.25
btn,2011,0.24
btn,2012,0.23
btn,2013,0.22
btn,2014,0.2
btn,2015,0.2
btn,2016,0.18
btn,2017,0.17
btn,2018,0.16
btn,2019,0.15
btn,2020,0.14
bwa,1990,24.63
bwa,1991,33.31
bwa,1992,40.74
bwa,1993,46.97
bwa,1994,50.17
bwa,1995,50.47
bwa,1996,48.35
bwa,1997,44.5
bwa,1998,40.38
bwa,1999,36
bwa,2000,32
bwa,2001,28.79
bwa,2002,25.81
bwa,2003,23.23
bwa,2004,20.97
bwa,2005,18.83
bwa,2006,17.46
bwa,2007,16.07
bwa,2008,15.42
bwa,2009,14.66
bwa,2010,13.76
bwa,2011,12.92
bwa,2012,12.15
bwa,2013,11.12
bwa,2014,10.59
bwa,2015,10.41
bwa,2016,9.68
bwa,2017,8.98
bwa,2018,8.61
bwa,2019,7.94
bwa,2020,7.51
che,1990,0.31
che,1991,0.25
che,1992,0.2
che,1993,0.16
che,1994,0.14
che,1995,0.12
che,1996,0.12
che,1997,0.12
che,1998,0.14
che,1999,0.15
che,2000,0.16
che,2001,0.18
che,2002,0.18
che,2003,0.18
che,2004,0.17
che,2005,0.16
che,2006,0.14
che,2007,0.13
che,2008,0.12
che,2009,0.11
che,2010,0.11
che,2011,0.11
che,2012,0.11
che,2013,0.1
che,2014,0.1
che,2015,0.09
che,2016,0.08
che,2017,0.07
che,2018,0.05
chl,1990,0.09
chl,1991,0.11
chl,1992,0.14
chl,1993,0.17
chl,1994,0.2
chl,1995,0.23
chl,1996,0.27
chl,1997,0.29
chl,1998,0.3
chl,1999,0.3
chl,2000,0.29
chl,2001,0.27
chl,2002,0.24
chl,2003,0.21
chl,2004,0.2
chl,2005,0.19
chl,2006,0.19
chl,2007,0.21
chl,2008,0.23
chl,2009,0.26
chl,2010,0.3
chl,2011,0.34
chl,2012,0.37
chl,2013,0.4
chl,2014,0.42
chl,2015,0.44
chl,2016,0.45
chl,2017,0.46
chl,2018,0.47
chl,2019,0.46
chl,2020,0.45
civ,1990,10.92
civ,1991,12.12
civ,1992,12.65
civ,1993,12.66
civ,1994,12.16
civ,1995,11.26
civ,1996,9.54
civ,1997,8.64
civ,1998,7.25
civ,1999,6.19
civ,2000,5.46
civ,2001,4.78
civ,2002,4.14
civ,2003,3.65
civ,2004,3.28
civ,2005,2.92
civ,2006,2.58
civ,2007,2.4
civ,2008,2.14
civ,2009,1.97
civ,2010,1.68
civ,2011,1.48
civ,2012,1.3
civ,2013,1.14
civ,2014,1.02
civ,2015,0.9
civ,2016,0.79
civ,2017,0.66
civ,2018,0.53
civ,2019,0.44
civ,2020,0.37
cmr,1990,2.63
cmr,1991,3.35
cmr,1992,4.13
cmr,1993,5.07
cmr,1994,5.92
cmr,1995,6.6
cmr,1996,7.16
cmr,1997,7.5
cmr,1998,7.72
cmr,1999,7.3
cmr,2000,6.89
cmr,2001,6.17
cmr,2002,5.65
cmr,2003,4.98
cmr,2004,4.52
cmr,2005,4.12
cmr,2006,3.8
cmr,2007,3.49
cmr,2008,3.26
cmr,2009,3.06
cmr,2010,2.79
cmr,2011,2.55
cmr,2012,2.3
cmr,2013,2.08
cmr,2014,1.92
cmr,2015,1.75
cmr,2016,1.55
cmr,2017,1.33
cmr,2018,1.1
cmr,2019,0.95
cmr,2020,0.81
cod,1990,2.44
cod,1991,2.49
cod,1992,2.48
cod,1993,2.39
cod,1994,2.23
cod,1995,2.08
cod,1996,1.93
cod,1997,1.77
cod,1998,1.58
cod,1999,1.47
cod,2000,1.35
cod,2001,1.26
cod,2002,1.18
cod,2003,1.07
cod,2004,1
cod,2005,0.94
cod,2006,0.87
cod,2007,0.81
cod,2008,0.77
cod,2009,0.7
cod,2010,0.66
cod,2011,0.61
cod,2012,0.57
cod,2013,0.53
cod,2014,0.49
cod,2015,0.46
cod,2016,0.42
cod,2017,0.38
cod,2018,0.32
cod,2019,0.27
cod,2020,0.21
cog,1990,9.23
cog,1991,8.41
cog,1992,7.17
cog,1993,6.08
cog,1994,5.11
cog,1995,4.76
cog,1996,4.43
cog,1997,4.22
cog,1998,3.73
cog,1999,3.72
cog,2000,3.41
cog,2001,3.25
cog,2002,3.3
cog,2003,3.06
cog,2004,3.08
cog,2005,2.83
cog,2006,2.68
cog,2007,2.67
cog,2008,2.74
cog,2009,2.54
cog,2010,2.56
cog,2011,2.6
cog,2012,2.63
cog,2013,2.75
cog,2014,2.82
cog,2015,2.91
cog,2016,2.83
cog,2017,2.86
cog,2018,2.94
cog,2019,2.94
cog,2020,3.03
col,1990,0.41
col,1991,0.47
col,1992,0.51
col,1993,0.54
col,1994,0.55
col,1995,0.56
col,1996,0.54
col,1997,0.52
col,1998,0.5
col,1999,0.48
col,2000,0.46
col,2001,0.45
col,2002,0.45
col,2003,0.4
col,2004,0.35
col,2005,0.35
col,2006,0.37
col,2007,0.35
col,2008,0.33
col,2009,0.36
col,2010,0.39
col,2011,0.39
col,2012,0.38
col,2013,0.37
col,2014,0.36
col,2015,0.35
col,2016,0.33
col,2017,0.32
col,2018,0.32
col,2019,0.32
col,2020,0.31
com,1990,0.01
com,1991,0.02
com,1992,0.02
com,1993,0.02
com,1994,0.02
com,1995,0.02
com,1996,0.02
com,1997,0.03
com,1998,0.03
com,1999,0.03
com,2000,0.03
com,2001,0.03
com,2002,0.03
com,2003,0.04
com,2004,0.03
com,2005,0.03
com,2006,0.03
com,2007,0.03
com,2008,0.03
com,2009,0.03
com,2010,0.03
com,2011,0.02
com,2012,0.02
com,2013,0.02
com,2014,0.02
com,2015,0.02
com,2016,0.02
com,2017,0.02
com,2018,0.01
com,2019,0.01
com,2020,0.01
cri,1990,0.12
cri,1991,0.13
cri,1992,0.14
cri,1993,0.15
cri,1994,0.16
cri,1995,0.17
cri,1996,0.17
cri,1997,0.18
cri,1998,0.18
cri,1999,0.18
cri,2000,0.19
cri,2001,0.19
cri,2002,0.19
cri,2003,0.19
cri,2004,0.19
cri,2005,0.19
cri,2006,0.19
cri,2007,0.19
cri,2008,0.2
cri,2009,0.2
cri,2010,0.21
cri,2011,0.23
cri,2012,0.25
cri,2013,0.27
cri,2014,0.3
cri,2015,0.33
cri,2016,0.37
cri,2017,0.42
cri,2018,0.47
cri,2019,0.52
cri,2020,0.57
cub,1990,0.02
cub,1991,0.02
cub,1992,0.02
cub,1993,0.02
cub,1994,0.03
cub,1995,0.04
cub,1996,0.05
cub,1997,0.06
cub,1998,0.08
cub,1999,0.1
cub,2000,0.12
cub,2001,0.15
cub,2002,0.17
cub,2003,0.2
cub,2004,0.23
cub,2005,0.25
cub,2006,0.27
cub,2007,0.28
cub,2008,0.29
cub,2009,0.3
cub,2010,0.31
cub,2011,0.32
cub,2012,0.32
cub,2013,0.32
cub,2014,0.32
cub,2015,0.33
cub,2016,0.33
cub,2017,0.33
cub,2018,0.33
cub,2019,0.33
cub,2020,0.33
deu,1990,0.08
deu,1991,0.07
deu,1992,0.06
deu,1993,0.05
deu,1994,0.05
deu,1995,0.05
deu,1996,0.05
deu,1997,0.05
deu,1998,0.05
deu,1999,0.05
deu,2000,0.05
deu,2001,0.05
deu,2002,0.06
deu,2003,0.07
deu,2004,0.07
deu,2005,0.07
deu,2006,0.07
deu,2007,0.07
deu,2008,0.07
deu,2009,0.07
deu,2010,0.06
deu,2011,0.06
deu,2012,0.06
deu,2013,0.06
deu,2014,0.06
deu,2015,0.06
deu,2016,0.07
deu,2017,0.06
deu,2018,0.06
deu,2019,0.06
deu,2020,0.06
dji,1990,0.42
dji,1991,0.78
dji,1992,1.32
dji,1993,2.13
dji,1994,3.28
dji,1995,4.75
dji,1996,6.04
dji,1997,7.12
dji,1998,7.04
dji,1999,5.59
dji,2000,4.31
dji,2001,3.03
dji,2002,2.35
dji,2003,1.32
dji,2004,1.03
dji,2005,0.87
dji,2006,0.75
dji,2007,0.71
dji,2008,0.61
dji,2009,0.54
dji,2010,0.49
dji,2011,0.43
dji,2012,0.38
dji,2013,0.34
dji,2014,0.3
dji,2015,0.26
dji,2016,0.22
dji,2017,0.19
dji,2018,0.17
dji,2019,0.15
dji,2020,0.15
dnk,1990,0.11
dnk,1991,0.12
dnk,1992,0.12
dnk,1993,0.12
dnk,1994,0.12
dnk,1995,0.11
dnk,1996,0.11
dnk,1997,0.1
dnk,1998,0.09
dnk,1999,0.09
dnk,2000,0.09
dnk,2001,0.08
dnk,2002,0.08
dnk,2003,0.08
dnk,2004,0.08
dnk,2005,0.08
dnk,2006,0.08
dnk,2007,0.08
dnk,2008,0.08
dnk,2009,0.08
dnk,2010,0.08
dnk,2011,0.08
dnk,2012,0.08
dnk,2013,0.07
dnk,2014,0.07
dnk,2015,0.07
dnk,2016,0.06
dnk,2017,0.06
dnk,2018,0.05
dnk,2019,0.05
dnk,2020,0.04
dom,1990,1.83
dom,1991,2.26
dom,1992,2.65
dom,1993,2.95
dom,1994,2.89
dom,1995,2.8
dom,1996,2.66
dom,1997,2.57
dom,1998,2.36
dom,1999,2.14
dom,2000,1.84
dom,2001,1.58
dom,2002,1.37
dom,2003,1.18
dom,2004,1.01
dom,2005,0.91
dom,2006,0.79
dom,2007,0.7
dom,2008,0.69
dom,2009,0.64
dom,2010,0.62
dom,2011,0.61
dom,2012,0.59
dom,2013,0.59
dom,2014,0.59
dom,2015,0.58
dom,2016,0.58
dom,2017,0.58
dom,2018,0.57
dom,2019,0.56
dom,2020,0.55
dza,1990,0.01
dza,1991,0.01
dza,1992,0.01
dza,1993,0.01
dza,1994,0.01
dza,1995,0.01
dza,1996,0.01
dza,1997,0.01
dza,1998,0.02
dza,1999,0.02
dza,2000,0.02
dza,2001,0.02
dza,2002,0.02
dza,2003,0.02
dza,2004,0.02
dza,2005,0.02
dza,2006,0.02
dza,2007,0.03
dza,2008,0.03
dza,2009,0.03
dza,2010,0.03
dza,2011,0.04
dza,2012,0.04
dza,2013,0.05
dza,2014,0.06
dza,2015,0.07
dza,2016,0.07
dza,2017,0.07
dza,2018,0.07
dza,2019,0.06
dza,2020,0.06
ecu,1990,0.2
ecu,1991,0.23
ecu,1992,0.26
ecu,1993,0.29
ecu,1994,0.31
ecu,1995,0.33
ecu,1996,0.34
ecu,1997,0.35
ecu,1998,0.35
ecu,1999,0.36
ecu,2000,0.36
ecu,2001,0.37
ecu,2002,0.37
ecu,2003,0.38
ecu,2004,0.38
ecu,2005,0.36
ecu,2006,0.3
ecu,2007,0.3
ecu,2008,0.28
ecu,2009,0.28
ecu,2010,0.29
ecu,2011,0.28
ecu,2012,0.27
ecu,2013,0.27
ecu,2014,0.27
ecu,2015,0.26
ecu,2016,0.25
ecu,2017,0.24
ecu,2018,0.23
ecu,2019,0.22
ecu,2020,0.2
egy,1990,0.01
egy,1991,0.01
egy,1992,0.01
egy,1993,0.01
egy,1994,0.01
egy,1995,0.01
egy,1996,0.01
egy,1997,0.01
egy,1998,0.01
egy,1999,0.01
egy,2000,0.01
egy,2001,0.01
egy,2002,0.01
egy,2003,0.01
egy,2004,0.01
egy,2005,0.01
egy,2006,0.01
egy,2007,0.01
egy,2008,0.02
egy,2009,0.02
egy,2010,0.02
egy,2011,0.02
egy,2012,0.03
egy,2013,0.03
egy,2014,0.03
egy,2015,0.04
egy,2016,0.04
egy,2017,0.05
egy,2018,0.05
egy,2019,0.05
egy,2020,0.06
eri,1990,2.23
eri,1991,2.62
eri,1992,2.73
eri,1993,2.86
eri,1994,2.75
eri,1995,2.54
eri,1996,2.25
eri,1997,1.94
eri,1998,1.67
eri,1999,1.3
eri,2000,1.03
eri,2001,0.91
eri,2002,0.8
eri,2003,0.71
eri,2004,0.63
eri,2005,0.57
eri,2006,0.51
eri,2007,0.45
eri,2008,0.41
eri,2009,0.37
eri,2010,0.33
eri,2011,0.3
eri,2012,0.26
eri,2013,0.23
eri,2014,0.2
eri,2015,0.18
eri,2016,0.15
eri,2017,0.14
eri,2018,0.12
eri,2019,0.11
eri,2020,0.1
esp,1990,0.61
esp,1991,0.54
esp,1992,0.45
esp,1993,0.37
esp,1994,0.31
esp,1995,0.26
esp,1996,0.22
esp,1997,0.19
esp,1998,0.17
esp,1999,0.15
esp,2000,0.14
esp,2001,0.13
esp,2002,0.13
esp,2003,0.12
esp,2004,0.12
esp,2005,0.13
esp,2006,0.13
esp,2007,0.14
esp,2008,0.15
esp,2009,0.16
esp,2010,0.16
esp,2011,0.17
esp,2012,0.18
esp,2013,0.18
esp,2014,0.18
esp,2015,0.18
esp,2016,0.18
esp,2017,0.18
esp,2018,0.17
esp,2019,0.17
esp,2020,0.16
est,1990,0.01
est,1991,0.01
est,1992,0.01
est,1993,0.01
est,1994,0.01
est,1995,0.01
est,1996,0.01
est,1997,0.01
est,1998,0.01
est,1999,0.01
est,2000,0.43
est,2001,1.59
est,2002,1.31
est,2003,1.08
est,2004,0.9
est,2005,0.77
est,2006,0.66
est,2007,0.58
est,2008,0.52
est,2009,0.48
est,2010,0.44
est,2011,0.41
est,2012,0.39
est,2013,0.38
est,2014,0.37
est,2015,0.36
est,2016,0.35
est,2017,0.34
est,2018,0.34
est,2019,0.34
est,2020,0.33
eth,1990,4.84
eth,1991,5.27
eth,1992,5.33
eth,1993,4.98
eth,1994,4.38
eth,1995,3.67
eth,1996,3
eth,1997,2.54
eth,1998,2.08
eth,1999,1.84
