geo,time,sp_pop_dpnd_yg
abw,1960,81.70007
abw,1961,80.20757
abw,1962,78.93205
abw,1963,77.6628
abw,1964,76.10867
abw,1965,74.22277
abw,1966,72.56235
abw,1967,70.36733
abw,1968,67.94463
abw,1969,65.65056
abw,1970,63.59414
abw,1971,60.59776
abw,1972,58.11748
abw,1973,55.82093
abw,1974,53.32636
abw,1975,50.4717
abw,1976,48.95204
abw,1977,46.83998
abw,1978,44.32638
abw,1979,41.85163
abw,1980,39.78924
abw,1981,38.44377
abw,1982,37.45929
abw,1983,36.87267
abw,1984,36.47949
abw,1985,35.98966
abw,1986,36.69368
abw,1987,36.96568
abw,1988,36.75684
abw,1989,36.37001
abw,1990,36.20808
abw,1991,35.14746
abw,1992,34.48832
abw,1993,34.17931
abw,1994,33.96825
abw,1995,33.61687
abw,1996,33.92743
abw,1997,34.01813
abw,1998,33.90775
abw,1999,33.7102
abw,2000,33.47638
abw,2001,33.06106
abw,2002,32.58776
abw,2003,32.02922
abw,2004,31.38007
abw,2005,30.70402
abw,2006,30.38176
abw,2007,30.24878
abw,2008,30.24776
abw,2009,30.29046
abw,2010,30.32265
abw,2011,29.80455
abw,2012,29.12545
abw,2013,28.35082
abw,2014,27.62526
abw,2015,27.04369
abw,2016,26.40791
abw,2017,26.07822
abw,2018,25.93311
abw,2019,25.79029
abw,2020,25.55706
afg,1960,76.53505
afg,1961,77.55854
afg,1962,78.14973
afg,1963,78.48855
afg,1964,78.79009
afg,1965,79.14261
afg,1966,80.29942
afg,1967,81.3251
afg,1968,82.22912
afg,1969,82.97906
afg,1970,83.56451
afg,1971,84.77647
afg,1972,85.70036
afg,1973,86.38464
afg,1974,86.8478
afg,1975,87.04837
afg,1976,88.05152
afg,1977,88.91632
afg,1978,89.59989
afg,1979,89.97326
afg,1980,89.86922
afg,1981,90.96074
afg,1982,91.91028
afg,1983,92.74846
afg,1984,93.63163
afg,1985,94.80186
afg,1986,95.49424
afg,1987,95.72166
afg,1988,95.80471
afg,1989,96.26247
afg,1990,97.67279
afg,1991,97.32955
afg,1992,97.01863
afg,1993,96.89669
afg,1994,96.69434
afg,1995,95.99662
afg,1996,96.99853
afg,1997,98.03731
afg,1998,98.88225
afg,1999,99.53807
afg,2000,100.1612
afg,2001,99.83068
afg,2002,99.07667
afg,2003,98.1172
afg,2004,97.06063
afg,2005,95.88637
afg,2006,96.44544
afg,2007,97.02257
afg,2008,97.45678
afg,2009,97.58598
afg,2010,97.34193
afg,2011,95.51025
afg,2012,93.20285
afg,2013,90.61113
afg,2014,87.92621
afg,2015,85.24577
afg,2016,83.2058
afg,2017,81.24983
afg,2018,79.31938
afg,2019,77.34616
afg,2020,75.3176
ago,1960,76.79786
ago,1961,79.00204
ago,1962,81.39489
ago,1963,83.44337
ago,1964,84.5916
ago,1965,84.738
ago,1966,84.9649
ago,1967,84.47447
ago,1968,84.20684
ago,1969,84.99824
ago,1970,87.00353
ago,1971,87.38088
ago,1972,88.49061
ago,1973,89.76906
ago,1974,90.44982
ago,1975,90.27006
ago,1976,91.40784
ago,1977,91.16594
ago,1978,90.27807
ago,1979,89.70624
ago,1980,89.83308
ago,1981,90.45143
ago,1982,91.69316
ago,1983,93.16961
ago,1984,94.26047
ago,1985,94.69351
ago,1986,95.59177
ago,1987,95.86664
ago,1988,95.71897
ago,1989,95.44776
ago,1990,95.18137
ago,1991,95.61718
ago,1992,95.84439
ago,1993,95.88879
ago,1994,95.74082
ago,1995,95.39922
ago,1996,95.50012
ago,1997,95.36299
ago,1998,95.02883
ago,1999,94.54571
ago,2000,93.96127
ago,2001,93.91467
ago,2002,93.69954
ago,2003,93.37443
ago,2004,93.01319
ago,2005,92.67517
ago,2006,92.87306
ago,2007,92.9783
ago,2008,93.0292
ago,2009,93.03144
ago,2010,92.97196
ago,2011,93.34067
ago,2012,93.51676
ago,2013,93.52832
ago,2014,93.38351
ago,2015,93.07284
ago,2016,92.83372
ago,2017,92.41303
ago,2018,91.82776
ago,2019,91.09666
ago,2020,90.24022
alb,1960,73.7703
alb,1961,74.98379
alb,1962,76.17427
alb,1963,77.24738
alb,1964,78.01414
alb,1965,78.35147
alb,1966,78.64127
alb,1967,78.40092
alb,1968,77.75553
alb,1969,76.89142
alb,1970,75.91134
alb,1971,74.70176
alb,1972,73.54258
alb,1973,72.32621
alb,1974,70.90999
alb,1975,69.26884
alb,1976,67.83917
alb,1977,66.15186
alb,1978,64.37331
alb,1979,62.71732
alb,1980,61.27647
alb,1981,59.99332
alb,1982,58.89069
alb,1983,57.92585
alb,1984,57.03985
alb,1985,56.22218
alb,1986,55.53355
alb,1987,54.95276
alb,1988,54.43071
alb,1989,53.85134
alb,1990,53.09332
alb,1991,53.52401
alb,1992,53.79498
alb,1993,53.87598
alb,1994,53.85422
alb,1995,53.8299
alb,1996,52.62964
alb,1997,51.57034
alb,1998,50.59868
alb,1999,49.59031
alb,2000,48.45006
alb,2001,47.07919
alb,2002,45.58184
alb,2003,43.98778
alb,2004,42.371
alb,2005,40.77162
alb,2006,39.02791
alb,2007,37.4723
alb,2008,36.05343
alb,2009,34.75106
alb,2010,33.56537
alb,2011,31.80287
alb,2012,30.2897
alb,2013,29.0411
alb,2014,28.01831
alb,2015,27.17243
alb,2016,26.77495
alb,2017,26.26403
alb,2018,25.76882
alb,2019,25.43879
alb,2020,25.32468
are,1960,85.69467
are,1961,81.24013
are,1962,76.56146
are,1963,72.13894
are,1964,68.12203
are,1965,64.5584
are,1966,61.29095
are,1967,58.65689
are,1968,56.68157
are,1969,55.31171
are,1970,54.57318
are,1971,48.89346
are,1972,44.6441
are,1973,41.85516
are,1974,40.38816
are,1975,40.00871
are,1976,38.59675
are,1977,37.92288
are,1978,38.14382
are,1979,38.94273
are,1980,39.90979
are,1981,41.35344
are,1982,42.8748
are,1983,44.54488
are,1984,46.28576
are,1985,47.93651
are,1986,48.27645
are,1987,48.12925
are,1988,47.6418
are,1989,46.87608
are,1990,45.86203
are,1991,44.23464
are,1992,42.63979
are,1993,41.08717
are,1994,39.57967
are,1995,38.16856
are,1996,37.44798
are,1997,36.68065
are,1998,36.19092
are,1999,35.96272
are,2000,35.74225
are,2001,31.832
are,2002,28.57958
are,2003,26.02555
are,2004,24.10323
are,2005,22.7077
are,2006,20.01276
are,2007,18.06868
are,2008,16.79542
are,2009,15.9465
are,2010,15.26994
are,2011,15.63962
are,2012,15.86397
are,2013,16.07538
are,2014,16.35382
are,2015,16.68248
are,2016,16.99862
are,2017,17.17294
are,2018,17.3209
are,2019,17.48778
are,2020,17.65231
arg,1960,48.96107
arg,1961,48.83961
arg,1962,48.59013
arg,1963,48.24957
arg,1964,47.87474
arg,1965,47.49831
arg,1966,47.24648
arg,1967,46.97898
arg,1968,46.71421
arg,1969,46.47343
arg,1970,46.2761
arg,1971,46.24822
arg,1972,46.26894
arg,1973,46.34058
arg,1974,46.47353
arg,1975,46.67989
arg,1976,47.16341
arg,1977,47.7554
arg,1978,48.3981
arg,1979,48.9943
arg,1980,49.48447
arg,1981,50.19843
arg,1982,50.57973
arg,1983,50.7641
arg,1984,50.93723
arg,1985,51.17144
arg,1986,51.09603
arg,1987,51.23845
arg,1988,51.41822
arg,1989,51.38934
arg,1990,51.06186
arg,1991,50.88687
arg,1992,50.41287
arg,1993,49.75846
arg,1994,49.1063
arg,1995,48.53571
arg,1996,48.01918
arg,1997,47.51985
arg,1998,47.03974
arg,1999,46.55365
arg,2000,46.0485
arg,2001,45.46556
arg,2002,44.96031
arg,2003,44.48495
arg,2004,43.9791
arg,2005,43.41973
arg,2006,42.96669
arg,2007,42.41294
arg,2008,41.81764
arg,2009,41.27384
arg,2010,40.82854
arg,2011,40.42263
arg,2012,40.11416
arg,2013,39.8701
arg,2014,39.62812
arg,2015,39.35554
arg,2016,39.1496
arg,2017,38.89732
arg,2018,38.61578
arg,2019,38.33386
arg,2020,38.06231
arm,1960,70.28517
arm,1961,73.51354
arm,1962,76.05443
arm,1963,77.87888
arm,1964,79.02746
arm,1965,79.47415
arm,1966,79.13206
arm,1967,77.95556
arm,1968,76.09919
arm,1969,73.83741
arm,1970,71.38657
arm,1971,68.09073
arm,1972,65.19728
arm,1973,62.54269
arm,1974,59.89238
arm,1975,57.18221
arm,1976,55.03744
arm,1977,52.73326
arm,1978,50.535
arm,1979,48.75058
arm,1980,47.46753
arm,1981,46.63106
arm,1982,46.25005
arm,1983,46.17767
arm,1984,46.19247
arm,1985,46.18627
arm,1986,46.23074
arm,1987,46.30704
arm,1988,46.44624
arm,1989,46.62127
arm,1990,46.707
arm,1991,46.99176
arm,1992,47.18141
arm,1993,47.23707
arm,1994,47.14521
arm,1995,46.91581
arm,1996,45.94619
arm,1997,44.7346
arm,1998,43.32251
arm,1999,41.78937
arm,2000,40.22104
arm,2001,38.30849
arm,2002,36.61763
arm,2003,35.08584
arm,2004,33.62596
arm,2005,32.20577
arm,2006,31.15785
arm,2007,30.0739
arm,2008,29.07826
arm,2009,28.35047
arm,2010,27.98267
arm,2011,27.8926
arm,2012,27.99828
arm,2013,28.28613
arm,2014,28.67212
arm,2015,29.08355
arm,2016,29.46468
arm,2017,29.8827
arm,2018,30.29303
arm,2019,30.65066
arm,2020,30.92468
atg,1960,81.43572
atg,1961,81.8596
atg,1962,82.34753
atg,1963,82.98947
atg,1964,83.72363
atg,1965,84.48169
atg,1966,84.65588
atg,1967,85.04485
atg,1968,85.69308
atg,1969,86.43374
atg,1970,86.86284
atg,1971,83.79006
atg,1972,81.17529
atg,1973,79.1436
atg,1974,77.67423
atg,1975,76.62875
atg,1976,73.91202
atg,1977,71.49621
atg,1978,69.58277
atg,1979,68.19173
atg,1980,67.1498
