geo,time,iq_spi_pil4
afg,2016,19.575
afg,2017,13.425
afg,2018,15.575
afg,2019,15.575
ago,2016,30.56667
ago,2017,28.16667
ago,2018,28.86667
ago,2019,28.86667
alb,2016,58.29167
alb,2017,55.01667
alb,2018,59.44167
alb,2019,59.44167
are,2016,51.11667
are,2017,49.49167
are,2018,52.59167
are,2019,54.24167
arg,2016,66.86667
arg,2017,62.56667
arg,2018,63.09167
arg,2019,58.925
arm,2016,60.24167
arm,2017,60.64167
arm,2018,59.94167
arm,2019,59.94167
aus,2016,78.29167
aus,2017,74.31667
aus,2018,74.46667
aus,2019,74.46667
aut,2016,80.25
aut,2017,78.075
aut,2018,79.75
aut,2019,79.75
aze,2016,55.44167
aze,2017,55.24167
aze,2018,55.09167
aze,2019,55.09167
bdi,2016,22.70833
bdi,2017,21.35833
bdi,2018,23.13333
bdi,2019,18.96667
bel,2016,66.21667
bel,2017,66.61667
bel,2018,65.91667
bel,2019,65.91667
ben,2016,36.36667
ben,2017,33.29167
ben,2018,33.81667
ben,2019,29.65
bfa,2016,42.76667
bfa,2017,25.15833
bfa,2018,27.35833
bfa,2019,31.525
bgd,2016,50.44167
bgd,2017,48.94167
bgd,2018,48.94167
bgd,2019,44.775
bgr,2016,73.21667
bgr,2017,74.29167
bgr,2018,70.84167
bgr,2019,70.84167
bhr,2016,39.78333
bhr,2017,38.13333
bhr,2018,38.13333
bhr,2019,46.46667
bhs,2016,24.73333
bhs,2017,25.83333
bhs,2018,27.48333
bhs,2019,27.48333
bih,2016,48.33333
bih,2017,46.68333
bih,2018,47.38333
bih,2019,47.38333
blr,2016,46.60833
blr,2017,50.08333
blr,2018,51.85833
blr,2019,53.55833
blz,2016,62.69167
blz,2017,63.11667
blz,2018,65.74167
blz,2019,65.74167
bol,2016,55.06667
bol,2017,49.96667
bol,2018,54.36667
bol,2019,54.36667
bra,2016,64.29167
bra,2017,59.775
bra,2018,62.375
bra,2019,62.375
btn,2016,35.375
btn,2017,32.7
btn,2018,33.775
btn,2019,37.94167
bwa,2016,47.21667
bwa,2017,53.81667
bwa,2018,54.79167
bwa,2019,54.79167
can,2016,82.09167
can,2017,77.86667
can,2018,84.11667
can,2019,84.11667
che,2016,81.575
che,2017,79.8
che,2018,85.025
che,2019,80.85833
chl,2016,66.24167
chl,2017,62.71667
chl,2018,59.525
chl,2019,59.525
chn,2016,32.34167
chn,2017,35.91667
chn,2018,32.45
chn,2019,36.61667
civ,2016,33.24167
civ,2017,33.36667
civ,2018,37.16667
civ,2019,37.16667
cmr,2016,33.175
cmr,2017,33.25
cmr,2018,34.625
cmr,2019,26.29167
cod,2017,17.65
cod,2018,18.175
cod,2019,18.175
cog,2016,32.26667
cog,2017,31.31667
cog,2018,27.15
cog,2019,27.15
col,2016,46.89167
col,2017,41.025
col,2018,42.275
col,2019,46.44167
cpv,2016,53.86667
cpv,2017,53.44167
cpv,2018,54.41667
cpv,2019,54.41667
cri,2016,64.06667
cri,2017,62.61667
cri,2018,66.46667
cri,2019,66.46667
cyp,2016,73.73333
cyp,2017,71.65833
cyp,2018,71.65833
cyp,2019,73.30833
cze,2016,78.49167
cze,2017,75.04167
cze,2018,75.61667
cze,2019,75.61667
deu,2016,72.79167
deu,2017,71.61667
deu,2018,74.91667
deu,2019,74.91667
dji,2016,25.26667
dji,2017,24.39167
dji,2018,24.39167
dji,2019,16.05833
dnk,2016,71.09167
dnk,2017,72.16667
dnk,2018,73.86667
