geo,time,en_clc_mdat_zs
afg,2009,1.05929
ago,2009,1.01176
alb,2009,5.26958
arg,2009,0.16719
arm,2009,0.47823
asm,2009,0.00026
aus,2009,3.0471
aut,2009,0.03815
aze,2009,1.10557
bdi,2009,2.37741
bel,2009,0.00169
ben,2009,0.85827
bfa,2009,1.25004
bgd,2009,4.58469
bgr,2009,0.00855
bih,2009,0.49323
blr,2009,0.02196
blz,2009,0.80609
bol,2009,1.29743
bra,2009,0.48245
btn,2009,0.0135
bwa,2009,0.74042
caf,2009,0.1825
can,2009,0.01074
che,2009,0.00389
chl,2009,0.26047
chn,2009,7.95097
civ,2009,0.00076
cmr,2009,0.07237
cod,2009,0.01789
cog,2009,0.2629
col,2009,0.65713
com,2009,0.02219
cpv,2009,0.00984
cri,2009,0.70105
cub,2009,0.72744
cyp,2009,0.00268
cze,2009,0.15575
deu,2009,0.03282
dji,2009,6.79685
dnk,2009,0
dom,2009,0.07871
dza,2009,0.03922
ecu,2009,0.33647
egy,2009,0.01221
eri,2009,7.32348
esp,2009,0.72919
est,2009,0
eth,2009,3.26302
fin,2009,0.00039
fji,2009,1.72864
fra,2009,0.00572
fsm,2009,1.34981
gbr,2009,0.03241
geo,2009,0.77043
gha,2009,0.97444
gin,2009,0.18021
gmb,2009,0.19719
gnb,2009,0.54091
grc,2009,0.00658
gtm,2009,1.30682
guy,2009,7.17062
hkg,2009,0.00435
hnd,2009,1.25529
hrv,2009,0.00249
hti,2009,0.84032
hun,2009,0.08811
idn,2009,0.16059
ind,2009,4.35611
irl,2009,0.00491
irn,2009,3.05679
irq,2009,0.01484
isr,2009,0.00081
ita,2009,0.0071
jam,2009,1.14346
jor,2009,0.36947
jpn,2009,0.02095
kaz,2009,0.21716
ken,2009,6.47785
kgz,2009,2.06546
khm,2009,6.64379
kir,2009,5.003
kor,2009,0.08026
kwt,2009,0.00057
lao,2009,2.6931
lbn,2009,0.02308
lbr,2009,1.8723
lby,2009,0
lka,2009,2.16003
lso,2009,3.40265
ltu,2009,0
lux,2009,0
lva,2009,0
mar,2009,0.07571
mda,2009,0.34381
mdg,2009,0.86462
mdv,2009,0.03065
mex,2009,0.14984
mhl,2009,0.05841
mkd,2009,0.30458
mli,2009,0.65286
mmr,2009,0.09241
mne,2009,0.01217
mng,2009,2.56134
moz,2009,3.66245
mrt,2009,3.08197
mus,2009,0
mwi,2009,8.82049
mys,2009,0.09693
nam,2009,3.40143
ner,2009,7.52507
nga,2009,0.05503
nic,2009,0.8336
nld,2009,0.00474
nor,2009,0.0068
npl,2009,0.7038
nzl,2009,0.01085
pak,2009,1.05534
pan,2009,0.19636
per,2009,1.95238
phl,2009,0.80638
png,2009,0.7308
pol,2009,0.03202
pri,2009,0.0165
prk,2009,2.49688
prt,2009,0.0018
pry,2009,0.71477
rou,2009,0.08497
rus,2009,0.1327
rwa,2009,1.29597
sau,2009,0.00566
sdn,2009,2.76542
sen,2009,0.59767
slb,2009,0.09034
sle,2009,0.24702
slv,2009,0.36064
som,2009,4.60369
srb,2009,0.01066
sur,2009,0.33984
svk,2009,0.04493
svn,2009,0
swe,2009,0
swz,2009,9.22659
syc,2009,0.07802
syr,2009,0.50777
tcd,2009,2.71464
tgo,2009,0.50848
tha,2009,3.7511
tjk,2009,5.37809
tkm,2009,0.00048
tls,2009,0.02512
tto,2009,0.00082
tun,2009,0.09845
tur,2009,0.13656
tza,2009,1.49586
uga,2009,0.8512
ukr,2009,0.26924
ury,2009,0.26474
usa,2009,0.21416
uzb,2009,0.12369
vct,2009,0.00924
ven,2009,0.1552
vnm,2009,1.59936
vut,2009,0.1057
wsm,2009,0
yem,2009,0.09941
zaf,2009,1.80565
zmb,2009,4.19968
