global,time,se_prm_nint_zs
world,2005,64.43939
world,2006,64.92183
world,2007,65.81821
world,2008,65.8307
world,2009,65.69045
world,2010,65.87157
world,2011,66.77406
world,2012,66.89536
world,2013,67.32716
world,2014,68.20044
world,2015,69.27181
world,2016,70.12492
world,2017,69.87339
world,2018,69.90675
