global,time,ny_gdp_pcap_cd
world,1960,458.51788
world,1961,470.90126
world,1962,495.50097
world,1963,523.28347
world,1964,561.42305
world,1965,599.28919
world,1966,636.9608
world,1967,664.13417
world,1968,702.37954
world,1969,758.86746
world,1970,812.72624
world,1971,878.99839
world,1972,993.39669
world,1973,1188.36416
world,1974,1343.72013
world,1975,1469.56024
world,1976,1569.56237
world,1977,1744.72381
world,1978,2019.51541
world,1979,2305.04965
world,1980,2553.91136
world,1981,2596.32476
world,1982,2525.03388
world,1983,2529.50514
world,1984,2576.86669
world,1985,2663.65522
world,1986,3094.81712
world,1987,3460.83554
world,1988,3797.76186
world,1989,3886.59424
world,1990,4306.67547
world,1991,4416.24438
world,1992,4657.1917
world,1993,4662.87193
world,1994,4957.66605
world,1995,5439.83648
world,1996,5481.55002
world,1997,5384.58689
world,1998,5297.22423
world,1999,5424.92139
world,2000,5533.22667
world,2001,5427.29679
world,2002,5566.67348
world,2003,6163.23399
world,2004,6859.07395
world,2005,7337.20383
world,2006,7853.9257
world,2007,8740.77801
world,2008,9482.23942
world,2009,8886.69307
world,2010,9607.32357
world,2011,10518.84335
world,2012,10623.33988
world,2013,10792.72853
world,2014,10958.0291
world,2015,10223.24793
world,2016,10266.0233
world,2017,10802.32186
world,2018,11348.24861
world,2019,11396.98847
world,2020,10916.08083
