geo,time,sh_xpd_pvtd_pp_cd
afg,2002,69.38564
afg,2003,70.9708
afg,2004,75.62688
afg,2005,79.52839
afg,2006,87.39157
afg,2007,83.78027
afg,2008,98.88805
afg,2009,107.80181
afg,2010,113.49409
afg,2011,104.82193
afg,2012,113.15795
afg,2013,125.40613
afg,2014,144.86559
afg,2015,165.84699
afg,2016,177.88649
afg,2017,196.09761
afg,2018,224.61575
afg,2019,226.73076
ago,2000,25.87883
ago,2001,80.31751
ago,2002,74.88175
ago,2003,78.52274
ago,2004,93.13027
ago,2005,71.92671
ago,2006,58.13173
ago,2007,70.92313
ago,2008,72.79699
ago,2009,70.85883
ago,2010,61.49945
ago,2011,57.49053
ago,2012,57.84308
ago,2013,74.33078
ago,2014,84.96678
ago,2015,95.53302
ago,2016,100.63917
ago,2017,103.27976
ago,2018,102.90352
ago,2019,98.99264
alb,2000,166.58789
alb,2001,173.48816
alb,2002,187.68117
alb,2003,185.7812
alb,2004,188.58761
alb,2005,190.44495
alb,2006,197.69107
alb,2007,251.81707
alb,2008,220.29752
alb,2009,188.35808
alb,2010,214.0291
alb,2011,240.67417
alb,2012,266.93737
alb,2013,288.86871
alb,2014,322.3606
alb,2015,246.26999
alb,2016,247.13878
alb,2017,285.19761
alb,2018,324.65424
and,2000,669.38028
and,2001,710.46155
and,2002,739.87063
and,2003,763.07619
and,2004,809.82644
and,2005,850.81987
and,2006,917.60164
and,2007,952.72302
and,2008,917.14627
and,2009,867.56438
and,2010,859.06028
and,2011,873.73357
and,2012,910.69639
and,2013,912.21604
and,2014,918.12294
and,2015,960.20556
and,2016,947.55386
and,2017,1005.30553
and,2018,1156.59263
and,2019,1133.94263
are,2000,724.80216
are,2001,552.42816
are,2002,1006.79742
are,2003,1016.98906
are,2004,1075.80042
are,2005,978.04077
are,2006,949.94528
are,2007,923.54546
are,2008,842.65701
are,2009,726.5478
are,2010,733.48202
are,2011,685.10108
are,2012,649.8359
are,2013,708.70651
are,2014,775.66361
are,2015,668.64793
are,2016,617.97322
are,2017,1232.46959
are,2018,1377.00069
are,2019,1429.33009
arg,2000,483.06081
arg,2001,472.33316
arg,2002,361.27334
arg,2003,381.971
arg,2004,370.05878
arg,2005,489.47246
arg,2006,537.72596
arg,2007,590.1674
arg,2008,626.26845
arg,2009,614.01396
arg,2010,693.06916
arg,2011,710.50068
arg,2012,714.80791
arg,2013,708.13493
arg,2014,648.6511
arg,2015,679.62783
arg,2016,688.29534
arg,2017,898.32061
arg,2018,865.53488
arg,2019,822.12867
arm,2000,71.90397
arm,2001,73.99597
arm,2002,202.22458
arm,2003,226.34808
arm,2004,204.46746
arm,2005,201.80053
arm,2006,229.9661
arm,2007,242.59696
arm,2008,395.15505
arm,2009,451.66889
arm,2010,540.80869
arm,2011,594.50174
arm,2012,682.28449
arm,2013,859.04656
arm,2014,854.85241
arm,2015,837.23971
arm,2016,870.0838
arm,2017,1073.01719
arm,2018,1126.51867
arm,2019,1399.60424
atg,2000,331.95737
atg,2001,359.2396
atg,2002,358.58074
atg,2003,390.68128
atg,2004,401.53944
atg,2005,447.35789
atg,2006,503.5888
atg,2007,552.55337
atg,2008,529.2234
atg,2009,422.39226
atg,2010,460.67366
atg,2011,476.22674
atg,2012,469.31913
atg,2013,452.35222
atg,2014,456.59795
atg,2015,401.5145
atg,2016,450.31572
atg,2017,423.82489
atg,2018,417.8636
atg,2019,421.97532
aus,2000,607.02342
aus,2001,658.53265
aus,2002,684.22028
aus,2003,734.12277
aus,2004,779.64642
aus,2005,800.34811
aus,2006,853.50889
aus,2007,861.82068
aus,2008,912.35985
aus,2009,959.14923
aus,2010,991.6284
aus,2011,1005.61599
aus,2012,1086.89103
aus,2013,1341.47346
aus,2014,1391.44457
aus,2015,1386.18741
aus,2016,1457.6536
aus,2017,1476.48461
aus,2018,1522.22197
aus,2019,1499.28918
aut,2000,699.66248
aut,2001,727.86469
aut,2002,779.808
