global,time,ny_gdp_mktp_pp_cd
world,1990,29347220680753.80078
world,1991,30942360752314
world,1992,32353421066062.39844
world,1993,33759271750280.10156
world,1994,35568114475179
world,1995,37558802917360.89844
world,1996,39798436638464.20312
world,1997,42074908311213.69531
world,1998,43478769612725.39844
world,1999,45615641718639.50781
world,2000,49016733287074.60156
world,2001,51363251894047.69531
world,2002,53830430406839.39844
world,2003,56846210144584.29688
world,2004,61448937395132.20312
world,2005,66187283958714.60156
world,2006,72463642016676.89062
world,2007,78438315986380
world,2008,83039955438690.5
world,2009,83798262033446.59375
world,2010,89266938029780
world,2011,95121220780527.07812
world,2012,100044955274355
world,2013,104963465252161
world,2014,108910765044976
world,2015,111242623383440
world,2016,115694583334406
world,2017,121890127768689
world,2018,129317617720691
world,2019,134827608169843
world,2020,132996564363367
