global,time,it_net_bbnd
world,2001,37087722
world,2002,66043023
world,2003,103670752.33
world,2004,158047751
world,2005,219835680
world,2006,284312184
world,2007,352980890
world,2008,414931448
world,2009,474302685
world,2010,531768684
world,2011,597998487
world,2012,648909075
world,2013,689543829
world,2014,725483711
world,2015,840118980
world,2016,916774128
world,2017,1025557471
world,2018,1068308511
world,2019,1141777264
world,2020,1229181671
