global,time,en_atm_noxe_eg_zs
world,1970,8.35217
world,1971,6.50874
world,1972,6.40255
world,1973,6.66126
world,1974,6.91691
world,1975,7.00709
world,1976,7.14227
world,1977,7.12694
world,1978,7.38441
world,1979,7.10883
world,1980,7.04885
world,1981,7.29774
world,1982,6.93298
world,1983,7.09085
world,1984,7.46218
world,1985,7.52481
world,1986,7.52389
world,1987,7.06456
world,1988,7.8199
world,1989,7.83682
world,1990,9.85569
world,1991,10.05071
world,1992,10.16869
world,1993,10.3803
world,1994,10.12098
world,1995,10.03935
world,1996,10.04461
world,1997,10.23895
world,1998,10.20831
world,1999,10.11889
world,2000,10.23967
world,2001,10.17686
world,2002,10.01896
world,2003,10.07874
world,2004,9.84016
world,2005,9.80611
world,2006,9.75413
world,2007,9.63136
world,2008,9.75644
