global,time,bx_gsr_totl_cd
world,1979,2293591335133.74023
world,1980,2787120622187.2998
world,1981,2849477406066.08984
world,1982,2686328423882.41992
world,1983,2574989831805.16943
world,1984,2716242473244.60938
world,1985,2714946092073.83984
world,1986,2977660633937.9502
world,1987,3509275752725.41992
world,1988,4042532869889.79053
world,1989,4439819194337.20996
world,1990,5196879006646.36035
world,1991,5297380460285.96973
world,1992,5655641742694.64941
world,1993,5601371487495.19043
world,1994,6169719067875.48047
world,1995,7416268853780.13086
world,1996,7883976458883.33008
world,1997,8137647790931.55859
world,1998,8095841970629.40039
world,1999,8469967020721.91992
world,2000,9489934525663.40039
world,2001,9096974761936.09961
world,2002,9389924798417.40039
world,2003,11029296960741.30078
world,2004,13591411408101.19922
world,2005,15695397721589.19922
world,2006,18401965151105
world,2007,21877893025449.39844
world,2008,24341645772926.5
world,2009,19315955175904.60156
world,2010,22668352874731.89453
world,2011,26616779454039.69531
world,2012,26858700608802.80078
world,2013,27661720437329.80078
world,2014,28271882582672.69531
world,2015,25245934148828.5
world,2016,24940938852213.69531
world,2017,27618943030298.10156
world,2018,30379917404212.10156
world,2019,30004806609379.89453
world,2020,26923098273929.5
