global,time,en_co2_tran_zs
world,1960,19.17269
world,1961,19.41395
world,1962,19.34074
world,1963,19.19166
world,1964,19.27108
world,1965,18.93076
world,1966,19.08392
world,1967,19.20006
world,1968,19.51393
world,1969,19.36706
world,1970,19.06248
world,1971,18.86458
world,1972,19.11478
world,1973,19.18648
world,1974,19.30468
world,1975,20.04062
world,1976,19.82815
world,1977,19.90409
world,1978,20.3859
world,1979,20.09723
world,1980,20.17716
world,1981,20.50818
world,1982,20.73267
world,1983,20.96289
world,1984,20.8259
world,1985,20.84397
world,1986,21.14631
world,1987,21.23587
world,1988,21.4777
world,1989,21.65975
world,1990,19.99111
world,1991,20.06974
world,1992,20.51555
world,1993,20.63221
world,1994,20.89895
world,1995,20.85908
world,1996,21.3123
world,1997,21.29793
world,1998,21.62578
world,1999,22.08133
world,2000,22.02179
world,2001,21.94082
world,2002,22.03576
world,2003,21.6046
world,2004,21.44649
world,2005,21.06399
world,2006,20.77181
world,2007,20.55617
world,2008,20.43615
world,2009,20.41152
world,2010,20.00447
world,2011,19.74603
world,2012,20.13163
world,2013,20.15186
world,2014,20.44906
