geo,time,sh_hiv_incd_tl
afg,1990,100
afg,1991,100
afg,1992,100
afg,1993,200
afg,1994,200
afg,1995,200
afg,1996,200
afg,1997,500
afg,1998,500
afg,1999,500
afg,2000,500
afg,2001,500
afg,2002,500
afg,2003,500
afg,2004,500
afg,2005,500
afg,2006,530
afg,2007,570
afg,2008,610
afg,2009,650
afg,2010,710
afg,2011,780
afg,2012,850
afg,2013,940
afg,2014,1000
afg,2015,1100
afg,2016,1200
afg,2017,1300
afg,2018,1400
afg,2019,1500
afg,2020,1600
ago,1990,3400
ago,1991,4300
ago,1992,5400
ago,1993,6500
ago,1994,7900
ago,1995,9300
ago,1996,11000
ago,1997,13000
ago,1998,15000
ago,1999,17000
ago,2000,19000
ago,2001,21000
ago,2002,23000
ago,2003,24000
ago,2004,26000
ago,2005,27000
ago,2006,28000
ago,2007,29000
ago,2008,29000
ago,2009,29000
ago,2010,29000
ago,2011,30000
ago,2012,29000
ago,2013,29000
ago,2014,27000
ago,2015,26000
ago,2016,26000
ago,2017,26000
ago,2018,25000
ago,2019,23000
ago,2020,22000
alb,1990,100
alb,1991,100
alb,1992,100
alb,1993,100
alb,1994,100
alb,1995,100
alb,1996,100
alb,1997,100
alb,1998,100
alb,1999,100
alb,2000,100
alb,2001,100
alb,2002,100
alb,2003,100
alb,2004,100
alb,2005,100
alb,2006,100
alb,2007,100
alb,2008,100
alb,2009,100
alb,2010,200
alb,2011,200
alb,2012,200
alb,2013,200
alb,2014,200
alb,2015,200
alb,2016,200
alb,2017,200
alb,2018,200
alb,2019,100
alb,2020,100
are,1990,100
are,1991,100
are,1992,100
are,1993,100
are,1994,100
are,1995,100
are,1996,100
are,1997,100
are,1998,100
are,1999,100
are,2000,100
are,2001,100
are,2002,100
are,2003,100
are,2004,100
are,2005,100
are,2006,100
are,2007,100
are,2008,100
are,2009,100
are,2010,100
are,2011,100
are,2012,100
are,2013,100
are,2014,100
are,2015,100
are,2016,100
are,2017,100
are,2018,100
are,2019,100
are,2020,100
arg,1990,4500
arg,1991,5400
arg,1992,6000
arg,1993,6300
arg,1994,6500
arg,1995,6500
arg,1996,6500
arg,1997,6400
arg,1998,6300
arg,1999,6000
arg,2000,5900
arg,2001,5800
arg,2002,5800
arg,2003,5800
arg,2004,5800
arg,2005,5800
arg,2006,6000
arg,2007,6100
arg,2008,6000
arg,2009,6100
arg,2010,6100
arg,2011,6100
arg,2012,6000
arg,2013,6000
arg,2014,6000
arg,2015,6000
arg,2016,6000
arg,2017,5900
arg,2018,5900
arg,2019,5800
arg,2020,5600
arm,1990,100
arm,1991,100
arm,1992,100
arm,1993,100
arm,1994,100
arm,1995,100
arm,1996,100
arm,1997,200
arm,1998,500
arm,1999,500
arm,2000,500
arm,2001,500
arm,2002,540
arm,2003,600
arm,2004,610
arm,2005,580
arm,2006,520
arm,2007,500
arm,2008,500
arm,2009,500
arm,2010,500
arm,2011,500
arm,2012,500
arm,2013,500
arm,2014,500
arm,2015,500
arm,2016,500
arm,2017,500
arm,2018,500
arm,2019,500
arm,2020,500
aus,1990,1300
aus,1991,1200
aus,1992,1100
aus,1993,990
aus,1994,910
aus,1995,840
aus,1996,780
aus,1997,730
aus,1998,700
aus,1999,680
aus,2000,650
aus,2001,650
aus,2002,660
aus,2003,680
aus,2004,720
aus,2005,770
aus,2006,820
aus,2007,880
aus,2008,930
aus,2009,970
aus,2010,1000
aus,2011,1000
aus,2012,1000
aus,2013,1000
aus,2014,1000
aus,2015,1000
aus,2016,980
aus,2017,930
aus,2018,880
aus,2019,820
aus,2020,750
aze,1990,100
aze,1991,100
aze,1992,100
aze,1993,200
aze,1994,200
aze,1995,500
aze,1996,500
aze,1997,590
aze,1998,770
aze,1999,970
aze,2000,1100
aze,2001,1100
aze,2002,1100
aze,2003,1000
aze,2004,920
aze,2005,940
aze,2006,900
aze,2007,860
aze,2008,770
aze,2009,750
aze,2010,690
aze,2011,660
aze,2012,640
aze,2013,610
aze,2014,580
aze,2015,560
aze,2016,530
aze,2017,500
aze,2018,500
aze,2019,500
aze,2020,500
bdi,1990,27000
bdi,1991,25000
bdi,1992,25000
bdi,1993,21000
bdi,1994,19000
bdi,1995,17000
bdi,1996,15000
bdi,1997,13000
bdi,1998,12000
bdi,1999,10000
bdi,2000,9600
bdi,2001,8800
bdi,2002,8100
bdi,2003,7400
bdi,2004,6700
bdi,2005,6000
bdi,2006,5800
bdi,2007,5400
bdi,2008,5000
bdi,2009,4900
bdi,2010,4300
bdi,2011,4000
bdi,2012,3700
bdi,2013,3400
bdi,2014,3100
bdi,2015,2800
bdi,2016,2400
bdi,2017,2200
bdi,2018,1900
bdi,2019,1700
bdi,2020,1700
ben,1990,5300
ben,1991,6100
ben,1992,6500
ben,1993,6900
ben,1994,7200
ben,1995,7300
ben,1996,7200
ben,1997,7400
ben,1998,7200
ben,1999,7100
ben,2000,6900
ben,2001,6900
ben,2002,6800
ben,2003,6700
ben,2004,6600
ben,2005,6400
ben,2006,6400
ben,2007,6300
ben,2008,5700
ben,2009,5100
ben,2010,5000
ben,2011,4700
ben,2012,4400
ben,2013,4300
ben,2014,4300
ben,2015,3900
ben,2016,3500
ben,2017,3300
ben,2018,3100
ben,2019,2600
ben,2020,2300
bfa,1990,25000
bfa,1991,23000
bfa,1992,23000
bfa,1993,22000
bfa,1994,20000
bfa,1995,19000
bfa,1996,17000
bfa,1997,17000
bfa,1998,16000
bfa,1999,14000
bfa,2000,13000
bfa,2001,12000
bfa,2002,11000
bfa,2003,11000
bfa,2004,9900
bfa,2005,9200
bfa,2006,8600
bfa,2007,7800
bfa,2008,7500
bfa,2009,6800
bfa,2010,6300
bfa,2011,5800
bfa,2012,5500
bfa,2013,5300
bfa,2014,4800
bfa,2015,2600
bfa,2016,2400
bfa,2017,2200
bfa,2018,2100
bfa,2019,1900
bfa,2020,2100
bhs,1990,500
bhs,1991,500
bhs,1992,500
bhs,1993,500
bhs,1994,500
bhs,1995,500
bhs,1996,500
bhs,1997,500
bhs,1998,500
bhs,1999,500
bhs,2000,500
bhs,2001,500
bhs,2002,500
bhs,2003,500
bhs,2004,500
bhs,2005,500
bhs,2006,500
bhs,2007,500
bhs,2008,500
bhs,2009,200
bhs,2010,500
bhs,2011,200
bhs,2012,200
bhs,2013,200
bhs,2014,200
bhs,2015,200
bhs,2016,200
bhs,2017,200
bhs,2018,200
bhs,2019,200
bhs,2020,200
blr,1990,100
blr,1991,100
blr,1992,100
blr,1993,100
blr,1994,100
blr,1995,200
blr,1996,200
blr,1997,500
blr,1998,500
blr,1999,500
blr,2000,500
blr,2001,620
blr,2002,780
blr,2003,960
blr,2004,1200
blr,2005,1400
blr,2006,1700
blr,2007,1800
blr,2008,1900
blr,2009,2100
blr,2010,2100
blr,2011,2200
blr,2012,2200
blr,2013,2200
blr,2014,2200
blr,2015,2100
blr,2016,2000
blr,2017,1900
blr,2018,1700
blr,2019,1500
blr,2020,1300
blz,1990,100
blz,1991,100
blz,1992,100
blz,1993,100
blz,1994,100
blz,1995,200
blz,1996,200
blz,1997,500
blz,1998,500
blz,1999,500
blz,2000,500
blz,2001,500
blz,2002,500
blz,2003,500
blz,2004,500
blz,2005,500
blz,2006,500
blz,2007,500
blz,2008,500
blz,2009,500
blz,2010,500
blz,2011,500
blz,2012,500
blz,2013,500
blz,2014,500
blz,2015,500
blz,2016,500
blz,2017,500
blz,2018,500
blz,2019,500
blz,2020,500
bol,1990,500
bol,1991,500
bol,1992,500
bol,1993,500
bol,1994,670
bol,1995,1000
bol,1996,1400
bol,1997,1600
bol,1998,1500
bol,1999,1300
bol,2000,1100
bol,2001,980
bol,2002,950
bol,2003,970
bol,2004,980
bol,2005,1000
bol,2006,1000
bol,2007,1000
bol,2008,1100
bol,2009,1100
bol,2010,1000
bol,2011,1100
bol,2012,1100
bol,2013,1100
bol,2014,1100
bol,2015,1100
bol,2016,1100
bol,2017,1100
bol,2018,1000
bol,2019,940
bol,2020,870
bra,1990,30000
bra,1991,32000
bra,1992,34000
bra,1993,36000
bra,1994,38000
bra,1995,39000
bra,1996,39000
bra,1997,40000
bra,1998,42000
bra,1999,43000
bra,2000,42000
bra,2001,43000
bra,2002,44000
bra,2003,44000
bra,2004,45000
bra,2005,46000
bra,2006,46000
bra,2007,46000
bra,2008,47000
bra,2009,47000
bra,2010,47000
bra,2011,48000
bra,2012,47000
bra,2013,47000
bra,2014,47000
bra,2015,47000
bra,2016,47000
bra,2017,47000
bra,2018,47000
bra,2019,47000
