global,time,dt_oda_odat_pc_zs
world,1960,1.40709
world,1961,1.71359
world,1962,1.71665
world,1963,1.82762
world,1964,1.77573
world,1965,1.90241
world,1966,1.89421
world,1967,1.8792
world,1968,1.66601
world,1969,1.65033
world,1970,1.78546
world,1971,1.99168
world,1972,2.07023
world,1973,2.70706
world,1974,3.58954
world,1975,4.52495
world,1976,4.29002
world,1977,4.40705
world,1978,5.81425
world,1979,6.47658
world,1980,7.65263
world,1981,7.2329
world,1982,6.46229
world,1983,6.09122
world,1984,6.19959
world,1985,6.49489
world,1986,7.49173
world,1987,8.11894
world,1988,8.53908
world,1989,8.65286
world,1990,10.79393
world,1991,11.23584
world,1992,10.90969
world,1993,9.86728
world,1994,10.47183
world,1995,10.09478
world,1996,9.45224
world,1997,8.10998
world,1998,8.45666
world,1999,8.57655
world,2000,7.96238
world,2001,8.20937
world,2002,9.67978
world,2003,11.04385
world,2004,12.22893
world,2005,16.44773
world,2006,16.01216
world,2007,15.99
world,2008,18.47056
world,2009,18.21625
world,2010,18.57255
world,2011,19.91446
world,2012,18.83765
world,2013,21.06278
world,2014,22.22169
world,2015,19.96423
world,2016,21.34165
world,2017,21.92123
world,2018,21.86864
world,2019,21.83922
