geo,time,sh_mmr_risk
bhs,2009,690
bhs,2010,700
bhs,2011,710
bhs,2012,710
bhs,2013,720
bhs,2014,740
bhs,2015,770
bhs,2016,790
bhs,2017,820
bih,2000,4000
bih,2001,4600
bih,2002,5200
bih,2003,5400
bih,2004,5500
bih,2005,6200
bih,2006,6200
bih,2007,6300
bih,2008,7000
bih,2009,6900
bih,2010,7300
bih,2011,7600
bih,2012,7500
bih,2013,7500
bih,2014,7300
bih,2015,7800
bih,2016,8000
bih,2017,8200
blr,2000,4000
blr,2001,4600
blr,2002,4800
blr,2003,5600
blr,2004,6100
blr,2005,7000
blr,2006,8200
blr,2007,9700
blr,2008,11100
blr,2009,11700
blr,2010,12800
blr,2011,13700
blr,2012,16400
blr,2013,18000
blr,2014,19300
blr,2015,22100
blr,2016,22400
blr,2017,23800
blz,2000,270
blz,2001,280
blz,2002,310
blz,2003,330
blz,2004,370
blz,2005,410
blz,2006,460
blz,2007,500
blz,2008,530
blz,2009,570
blz,2010,610
blz,2011,650
blz,2012,690
blz,2013,730
blz,2014,790
blz,2015,870
blz,2016,950
blz,2017,1100
bol,2000,72
bol,2001,75
bol,2002,80
bol,2003,85
bol,2004,90
bol,2005,97
bol,2006,100
bol,2007,110
bol,2008,120
bol,2009,130
bol,2010,140
bol,2011,150
bol,2012,160
bol,2013,170
bol,2014,180
bol,2015,190
bol,2016,210
bol,2017,220
bra,2000,580
bra,2001,610
bra,2002,620
bra,2003,630
bra,2004,640
bra,2005,660
bra,2006,670
bra,2007,700
bra,2008,720
bra,2009,750
bra,2010,820
bra,2011,870
bra,2012,900
bra,2013,890
bra,2014,880
bra,2015,870
bra,2016,900
bra,2017,940
brb,2000,1100
brb,2001,1200
brb,2002,1200
brb,2003,1300
brb,2004,1300
brb,2005,1400
brb,2006,1400
brb,2007,1500
brb,2008,1600
brb,2009,1600
brb,2010,1700
brb,2011,1800
brb,2012,1900
brb,2013,2000
brb,2014,2000
brb,2015,2100
brb,2016,2100
brb,2017,2400
brn,2000,1400
brn,2001,1400
brn,2002,1400
brn,2003,1400
brn,2004,1500
brn,2005,1500
brn,2006,1700
brn,2007,1700
brn,2008,1800
brn,2009,1800
brn,2010,1700
brn,2011,1700
brn,2012,1700
brn,2013,1700
brn,2014,1700
brn,2015,1600
brn,2016,1600
brn,2017,1700
btn,2000,63
btn,2001,73
btn,2002,80
btn,2003,87
btn,2004,96
btn,2005,110
btn,2006,120
btn,2007,130
btn,2008,140
btn,2009,150
btn,2010,160
btn,2011,170
btn,2012,180
btn,2013,190
btn,2014,210
btn,2015,220
btn,2016,230
btn,2017,250
bwa,2000,120
bwa,2001,120
bwa,2002,120
bwa,2003,120
bwa,2004,130
bwa,2005,140
bwa,2006,140
bwa,2007,150
bwa,2008,150
bwa,2009,160
bwa,2010,170
bwa,2011,170
bwa,2012,180
bwa,2013,190
bwa,2014,190
bwa,2015,200
bwa,2016,210
bwa,2017,220
caf,2000,15
caf,2001,15
caf,2002,15
caf,2003,16
caf,2004,16
caf,2005,17
caf,2006,17
caf,2007,18
caf,2008,18
caf,2009,19
caf,2010,20
caf,2011,20
caf,2012,21
caf,2013,20
caf,2014,21
caf,2015,22
caf,2016,23
caf,2017,25
can,2000,7500
can,2001,7200
can,2002,6900
can,2003,6700
can,2004,6600
can,2005,6000
can,2006,5900
can,2007,5800
can,2008,5400
can,2009,5400
can,2010,5600
can,2011,5600
can,2012,5500
can,2013,5700
can,2014,5800
can,2015,5900
can,2016,6000
can,2017,6100
che,2000,9400
che,2001,9600
che,2002,9300
che,2003,10200
che,2004,10500
che,2005,10000
che,2006,10500
che,2007,11200
che,2008,11300
che,2009,11700
che,2010,11000
che,2011,10900
che,2012,11700
che,2013,11700
che,2014,12300
che,2015,12400
che,2016,12200
che,2017,13900
chl,2000,1500
chl,2001,1500
chl,2002,1800
chl,2003,1800
chl,2004,1900
chl,2005,2100
chl,2006,2100
chl,2007,2200
chl,2008,2400
chl,2009,2500
chl,2010,2600
chl,2011,3000
chl,2012,3200
chl,2013,3400
chl,2014,3800
chl,2015,3900
chl,2016,4300
chl,2017,4600
chn,2000,1000
chn,2001,1100
chn,2002,1200
chn,2003,1300
chn,2004,1400
chn,2005,1500
chn,2006,1500
chn,2007,1600
chn,2008,1600
chn,2009,1700
chn,2010,1800
chn,2011,1800
chn,2012,1900
chn,2013,1900
chn,2014,2000
chn,2015,2000
chn,2016,2100
chn,2017,2100
civ,2000,25
civ,2001,26
civ,2002,26
civ,2003,26
civ,2004,26
civ,2005,27
civ,2006,27
civ,2007,27
civ,2008,28
civ,2009,28
civ,2010,28
civ,2011,28
civ,2012,29
civ,2013,30
civ,2014,31
civ,2015,32
civ,2016,33
civ,2017,34
cmr,2000,20
cmr,2001,21
cmr,2002,23
cmr,2003,24
cmr,2004,25
cmr,2005,27
cmr,2006,28
cmr,2007,29
cmr,2008,30
cmr,2009,31
cmr,2010,32
cmr,2011,33
cmr,2012,34
cmr,2013,35
cmr,2014,35
cmr,2015,37
cmr,2016,38
cmr,2017,40
cod,2000,20
cod,2001,20
cod,2002,21
cod,2003,22
cod,2004,23
cod,2005,24
cod,2006,25
cod,2007,26
cod,2008,27
cod,2009,27
cod,2010,28
cod,2011,29
cod,2012,29
cod,2013,30
cod,2014,31
cod,2015,32
cod,2016,33
cod,2017,34
cog,2000,28
cog,2001,28
cog,2002,27
