global,time,er_fsh_aqua_mt
world,1960,2029179
world,1961,1948048
world,1962,2014404
world,1963,2247676
world,1964,2402677
world,1965,2604353
world,1966,2791746
world,1967,2915674
world,1968,3092313
world,1969,3238166
world,1970,3526017
world,1971,3930472
world,1972,4280803
world,1973,4504942
world,1974,4941524
world,1975,5219603
world,1976,5408491
world,1977,6282015
world,1978,6593363
world,1979,6714748
world,1980,7347225
world,1981,7818586
world,1982,8213439
world,1983,9089265
world,1984,10191481.449
world,1985,11354348.648
world,1986,12670909.102
world,1987,13971504.228
world,1988,15531104.959
world,1989,16486351.069
world,1990,16850459.041
world,1991,18305028.603
world,1992,21211488.889
world,1993,24467925.052
world,1994,27798479.005
world,1995,31232256.194
world,1996,33790684.135
world,1997,34296276.699
world,1998,36463874.108
world,1999,39604752.605
world,2000,41724569.753
world,2001,44324822.718
world,2002,47375084.709
world,2003,50271407.715
world,2004,54570314.089
world,2005,57820199.218
world,2006,61591980.132
world,2007,64937295.556
world,2008,68799079.902
world,2009,73045256.331
world,2010,78020019.865
world,2011,82635398.201
world,2012,90020572.645
world,2013,97110166.776
world,2014,101084799.121
world,2015,106004183.753
