geo,time,ny_gns_ictr_zs
abw,1995,30.94578
abw,1996,24.84606
abw,1997,24.31934
abw,1998,27.07337
abw,1999,20.64524
abw,2000,23.73027
abw,2001,19.3279
abw,2002,12.01669
abw,2003,14.46186
abw,2004,17.09652
abw,2005,-2.0417
abw,2006,13.16331
abw,2007,2.41615
abw,2008,13.73219
abw,2009,10.89649
abw,2010,3.54989
abw,2011,-1.69807
abw,2012,1.88891
abw,2013,6.82143
abw,2014,10.56325
abw,2015,14.86785
abw,2016,15.35606
abw,2017,14.15304
abw,2018,11.3128
ago,2000,39.20788
ago,2001,14.48022
ago,2002,28.87682
ago,2003,26.05546
ago,2004,33.536
ago,2005,41.18765
ago,2006,43.45458
ago,2007,41.49897
ago,2008,38.65886
ago,2009,27.65787
ago,2010,36.98734
ago,2011,37.88855
ago,2012,37.233
ago,2013,32.02988
ago,2014,29.96672
ago,2015,25.02133
ago,2016,24.42925
ago,2017,23.35195
ago,2018,25.17319
ago,2019,25.52485
ago,2020,17.96733
alb,1984,27.81123
alb,1985,28.41
alb,1986,28.24257
alb,1987,26.06076
alb,1988,23.72527
alb,1989,26.82827
alb,1990,18.77776
alb,1991,-10.95199
alb,1992,-11.99358
alb,1993,11.20821
alb,1994,3.10984
alb,1995,16.35751
alb,1996,16.13251
alb,1997,5.57239
alb,1998,17.33744
alb,1999,14.89958
alb,2000,25.89135
alb,2001,28.92522
alb,2002,25.51672
alb,2003,26.25827
alb,2004,29.38484
alb,2005,30.1065
alb,2006,29.06895
alb,2007,23.95429
alb,2008,17.73092
alb,2009,17.33589
alb,2010,19.96762
alb,2011,20.54546
alb,2012,19.6251
alb,2013,17.74129
alb,2014,15.92939
alb,2015,16.86398
alb,2016,17.04907
alb,2017,16.52936
alb,2018,16.54723
alb,2019,14.49983
alb,2020,11.07274
arg,1976,34.04871
arg,1977,32.50771
arg,1978,30.17941
arg,1979,25.2161
arg,1980,22.98843
arg,1981,19.88026
arg,1982,18.3586
arg,1983,18.53763
arg,1984,17.62226
arg,1985,17.68615
arg,1986,14.78331
arg,1987,15.1979
arg,1988,17.60908
arg,1989,13.63018
arg,1990,16.04338
arg,1991,13.56186
arg,1992,13.65163
arg,1993,16.25053
arg,1994,15.64836
arg,1995,16.51163
arg,1996,17.13008
arg,1997,16.66428
arg,1998,16.12973
arg,1999,13.66192
arg,2000,14.36844
arg,2001,14.21407
arg,2002,21.34318
arg,2003,21.73453
arg,2004,13.78283
arg,2005,13.70861
arg,2006,21.39021
arg,2007,22.21115
arg,2008,21.10146
arg,2009,18.29532
arg,2010,17.30528
arg,2011,17.34843
arg,2012,16.05516
arg,2013,14.95436
arg,2014,15.75201
arg,2015,14.2873
arg,2016,14.63637
arg,2017,13.07667
arg,2018,11.40516
arg,2019,14.2853
arg,2020,18.61675
arm,1993,-5.43941
arm,1994,2.56883
arm,1995,-2.12992
arm,1996,1.78759
arm,1997,3.91411
arm,1998,0.75617
arm,1999,2.83406
arm,2000,-0.92702
arm,2001,5.41198
arm,2002,10.24541
arm,2003,16.34181
arm,2004,19.71484
arm,2005,24.30732
arm,2006,28.54483
arm,2007,28.60069
arm,2008,27.90492
arm,2009,14.04756
arm,2010,13.20076
arm,2011,11.09572
arm,2012,14.09673
arm,2013,14.83672
arm,2014,13.28126
arm,2015,18.43039
arm,2016,17.81447
arm,2017,16.89533
arm,2018,15.3261
arm,2019,9.81557
arm,2020,14.71852
atg,1993,25.2199
atg,1994,20.7162
atg,1995,24.20156
atg,1996,15.89999
atg,1997,18.97294
