geo,time,sl_tlf_totl_in
afg,1990,3005194
afg,1991,3226846
afg,1992,3520843
afg,1993,3845635
afg,1994,4153754
afg,1995,4418899
afg,1996,4571874
afg,1997,4665749
afg,1998,4735482
afg,1999,4823574
afg,2000,4955262
afg,2001,5169671
afg,2002,5437894
afg,2003,5735551
afg,2004,6030160
afg,2005,6301944
afg,2006,6460963
afg,2007,6591408
afg,2008,6716593
afg,2009,6867773
afg,2010,7065700
afg,2011,7375529
afg,2012,7742558
afg,2013,8136567
afg,2014,8544021
afg,2015,8948053
afg,2016,9314885
afg,2017,9670662
afg,2018,10022144
afg,2019,10382034
afg,2020,9416829
afg,2021,9695428
ago,1990,4806741
ago,1991,4960706
ago,1992,5121984
ago,1993,5290801
ago,1994,5468248
ago,1995,5655486
ago,1996,5838598
ago,1997,6033482
ago,1998,6240408
ago,1999,6459622
ago,2000,6691044
ago,2001,6917424
ago,2002,7158186
ago,2003,7414108
ago,2004,7685303
ago,2005,7971743
ago,2006,8257189
ago,2007,8560730
ago,2008,8879695
ago,2009,9211974
ago,2010,9556361
ago,2011,9898462
ago,2012,10252532
ago,2013,10621492
ago,2014,11004723
ago,2015,11402381
ago,2016,11804734
ago,2017,12223456
ago,2018,12659938
ago,2019,13116712
ago,2020,13415460
ago,2021,13971353
alb,1990,1372760
alb,1991,1425546
alb,1992,1430507
alb,1993,1402132
alb,1994,1377915
alb,1995,1346025
alb,1996,1331220
alb,1997,1351935
alb,1998,1335443
alb,1999,1313894
alb,2000,1303495
alb,2001,1289947
alb,2002,1292501
alb,2003,1279039
alb,2004,1264823
alb,2005,1248964
alb,2006,1232873
alb,2007,1213497
alb,2008,1192757
alb,2009,1236994
alb,2010,1246913
alb,2011,1367478
alb,2012,1312423
alb,2013,1216267
alb,2014,1246721
alb,2015,1300316
alb,2016,1345277
alb,2017,1367557
alb,2018,1399364
alb,2019,1421853
alb,2020,1357373
alb,2021,1374799
are,1990,935270
are,1991,1006732
are,1992,1081707
are,1993,1162427
are,1994,1240291
are,1995,1318509
are,1996,1397900
are,1997,1483687
are,1998,1573119
are,1999,1666634
are,2000,1769333
are,2001,1924676
are,2002,2083897
are,2003,2274677
are,2004,2538772
are,2005,2903680
are,2006,3441127
are,2007,4085185
are,2008,4762752
are,2009,5376864
are,2010,5861104
are,2011,6135877
are,2012,6279857
are,2013,6329460
are,2014,6347513
are,2015,6384978
are,2016,6457163
are,2017,6551369
are,2018,6513809
are,2019,6598173
are,2020,6376718
are,2021,6498588
arg,1990,13341229
arg,1991,13748534
arg,1992,14153378
arg,1993,14583787
arg,1994,14955812
arg,1995,15079252
arg,1996,15433978
arg,1997,15859936
arg,1998,16168747
arg,1999,16262854
arg,2000,16436817
arg,2001,16504173
arg,2002,16336016
arg,2003,16799186
arg,2004,17277472
arg,2005,17396830
arg,2006,17709282
arg,2007,17752637
