geo,time,dt_tds_dppf_xp_zs
afg,2008,0.40282
afg,2009,0.48769
afg,2010,0.34416
afg,2011,0.31364
afg,2012,0.55339
afg,2013,1.55478
afg,2014,1.87526
afg,2015,2.80585
afg,2016,3.73588
afg,2017,3.54865
afg,2018,2.59522
afg,2019,2.39042
afg,2020,2.24408
ago,1989,7.62706
ago,1990,7.06506
ago,1991,9.22875
ago,1992,4.79205
ago,1993,2.93442
ago,1994,6.41967
ago,1995,10.77014
ago,1996,17.52172
ago,1997,18.34612
ago,1998,40.19841
ago,1999,26.20993
ago,2000,20.61688
ago,2001,32.79306
ago,2002,16.73923
ago,2003,15.24733
ago,2004,13.56887
ago,2005,10.52127
ago,2006,12.97511
ago,2007,9.65588
ago,2008,2.44357
ago,2009,8.49583
ago,2010,4.45216
ago,2011,4.17887
ago,2012,5.83177
ago,2013,7.27374
ago,2014,11.86033
ago,2015,19.45622
ago,2016,33.20822
ago,2017,22.82443
ago,2018,22.26012
ago,2019,30.27797
ago,2020,32.07485
alb,1991,4.29887
alb,1992,2.17526
alb,1993,3.1762
alb,1994,6.63578
alb,1995,1.97427
alb,1996,4.36355
alb,1997,13.74925
alb,1998,8.3603
alb,1999,4.32976
alb,2000,4.08926
alb,2001,4.10415
alb,2002,6.47286
alb,2003,5.01285
alb,2004,4.7438
alb,2005,4.44192
alb,2006,4.37998
alb,2007,3.65451
alb,2008,3.14336
alb,2009,4.82723
alb,2010,6.83538
alb,2011,7.55636
alb,2012,7.91808
alb,2013,5.09413
alb,2014,6.32797
alb,2015,16.95629
alb,2016,7.23737
alb,2017,6.82537
alb,2018,13.1415
alb,2019,7.51814
alb,2020,17.89765
arg,1976,20.92862
arg,1977,17.95667
arg,1978,33.90562
arg,1979,15.02461
arg,1980,18.44116
arg,1981,18.41337
arg,1982,23.9985
arg,1983,25.76644
arg,1984,38.04388
arg,1985,43.83931
arg,1986,66.62993
arg,1987,65.30381
arg,1988,39.96112
arg,1989,31.43049
arg,1990,34.88742
arg,1991,31.02082
arg,1992,24.25432
arg,1993,26.68575
arg,1994,18.50405
arg,1995,20.50098
arg,1996,23.41389
arg,1997,27.65133
arg,1998,28.16142
arg,1999,37.50217
arg,2000,40.2876
arg,2001,31.8057
arg,2002,15.59649
arg,2003,34.95636
arg,2004,19.90058
arg,2005,14.20544
arg,2006,23.08478
arg,2007,6.91209
arg,2008,6.73971
arg,2009,10.92174
arg,2010,10.42447
arg,2011,7.75775
arg,2012,6.31428
arg,2013,8.07125
arg,2014,11.97881
arg,2015,15.90501
arg,2016,23.81058
arg,2017,38.6976
arg,2018,32.29646
arg,2019,34.12904
arg,2020,15.62705
arm,1993,1.12467
arm,1994,1.93877
arm,1995,3.15209
arm,1996,9.52167
arm,1997,4.91966
arm,1998,12.89095
arm,1999,12.65987
arm,2000,8.23274
arm,2001,8.18853
arm,2002,7.93635
arm,2003,8.79874
arm,2004,6.55219
arm,2005,3.30808
arm,2006,2.7554
arm,2007,1.90597
arm,2008,1.78614
arm,2009,2.93826
arm,2010,2.74213
arm,2011,2.67109
arm,2012,5.92655
arm,2013,19.52307
arm,2014,5.86451
arm,2015,9.62644
arm,2016,5.30779
arm,2017,5.24611
arm,2018,6.36303
arm,2019,12.53611
arm,2020,13.29567
aze,1995,1.23747
aze,1996,1.14595
aze,1997,6.59957
aze,1998,2.03187
aze,1999,4.66936
aze,2000,5.54873
aze,2001,5.00853
aze,2002,4.5559
aze,2003,5.36261
aze,2004,3.26988
aze,2005,1.57776
aze,2006,1.03068
aze,2007,0.80481
aze,2008,0.77748
aze,2009,1.23284
aze,2010,1.08584
aze,2011,0.93286
aze,2012,1.02627
aze,2013,2.30745
aze,2014,2.03447
aze,2015,3.72499
aze,2016,5.37498
aze,2017,7.51651
aze,2018,7.69338
aze,2019,6.47173
aze,2020,7.85203
bdi,1985,19.02323
bdi,1986,23.1749
bdi,1987,39.38179
bdi,1988,32.06449
bdi,1989,35.35159
bdi,1990,41.67553
bdi,1991,29.57115
bdi,1992,35.33607
bdi,1993,35.47548
bdi,1994,38.97767
bdi,1995,27.27207
bdi,1996,53.35792
bdi,1997,30.1662
bdi,1998,41.30755
bdi,1999,46.16895
bdi,2000,34.83636
bdi,2001,46.40687
bdi,2002,54.56563
bdi,2003,62.1181
bdi,2004,134.72196
bdi,2005,40.40748
bdi,2006,20.36019
bdi,2007,18.46695
bdi,2008,11.86234
bdi,2009,16.48222
bdi,2010,2.3281
bdi,2011,4.20706
bdi,2012,8.86755
bdi,2013,13.5592
bdi,2014,13.56436
bdi,2015,13.91849
bdi,2016,16.01914
bdi,2017,9.55401
bdi,2018,9.93248
ben,1974,5.23611
ben,1975,4.12194
ben,1976,3.5874
ben,1977,2.3555
ben,1978,3.08331
ben,1979,3.57834
ben,1980,3.6408
ben,1981,2.17153
ben,1982,7.53538
ben,1983,13.78101
ben,1984,13.99626
ben,1985,12.39022
ben,1986,14.28066
ben,1987,7.03806
ben,1988,6.78365
ben,1989,7.19591
ben,1990,8.91023
ben,1991,5.10606
ben,1992,4.81883
ben,1993,5.22277
ben,1994,6.86044
ben,1995,7.24729
ben,1996,6.16138
ben,1997,8.44516
ben,1998,9.22839
ben,1999,10.38109
ben,2000,12.94876
ben,2001,8.29161
ben,2002,8.68629
ben,2003,6.62017
ben,2004,4.93713
ben,2005,5.87401
ben,2006,4.13759
ben,2007,2.14523
ben,2008,1.5869
ben,2009,2.93392
ben,2010,2.2842
ben,2011,2.44054
