geo,time,ic_exp_csdc_cd
afg,2014,344.4444
afg,2015,344.4444
afg,2016,344.4444
afg,2017,344.4444
afg,2018,344.4444
afg,2019,344.4444
ago,2014,240
ago,2015,240
ago,2016,240
ago,2017,240
ago,2018,240
ago,2019,240
alb,2014,10
alb,2015,10
alb,2016,10
alb,2017,10
alb,2018,10
alb,2019,10
are,2014,140
are,2015,140
are,2016,140
are,2017,140
are,2018,140
are,2019,140
arg,2014,60
arg,2015,60
arg,2016,60
arg,2017,60
arg,2018,60
arg,2019,60
arm,2014,100
arm,2015,100
arm,2016,100
arm,2017,100
arm,2018,100
arm,2019,100
atg,2014,120.8333
atg,2015,120.8333
atg,2016,120.8333
atg,2017,120.8333
atg,2018,120.8333
atg,2019,120.8333
aus,2014,264
aus,2015,264
aus,2016,264
aus,2017,264
aus,2018,264
aus,2019,264
aut,2014,0
aut,2015,0
aut,2016,0
aut,2017,0
aut,2018,0
aut,2019,0
aze,2014,150
aze,2015,150
aze,2016,150
aze,2017,150
aze,2018,150
aze,2019,150
bdi,2014,150
bdi,2015,150
bdi,2016,150
bdi,2017,150
bdi,2018,150
bdi,2019,150
bel,2014,0
bel,2015,0
bel,2016,0
bel,2017,0
bel,2018,0
bel,2019,0
ben,2014,80
ben,2015,80
ben,2016,80
ben,2017,80
ben,2018,80
ben,2019,80
bfa,2014,85.5
bfa,2015,85.5
bfa,2016,85.5
bfa,2017,85.5
bfa,2018,85.5
bfa,2019,85.5
bgd,2014,225
bgd,2015,225
bgd,2016,225
bgd,2017,225
bgd,2018,225
bgd,2019,225
bgr,2014,51.66667
bgr,2015,51.66667
bgr,2016,51.66667
bgr,2017,51.66667
bgr,2018,51.66667
bgr,2019,51.66667
bhr,2014,100
bhr,2015,100
bhr,2016,100
bhr,2017,100
bhr,2018,100
bhr,2019,100
bhs,2014,550
bhs,2015,550
bhs,2016,550
bhs,2017,550
bhs,2018,550
bhs,2019,550
bih,2014,21.5
bih,2015,21.5
bih,2016,21.5
bih,2017,21.5
bih,2018,21.5
bih,2019,21.5
blr,2014,60
blr,2015,60
blr,2016,60
blr,2017,60
blr,2018,60
blr,2019,60
blz,2014,50
blz,2015,50
blz,2016,50
blz,2017,50
blz,2018,50
blz,2019,50
bol,2014,25
bol,2015,25
bol,2016,25
bol,2017,25
bol,2018,25
bol,2019,25
bra,2014,226.3889
bra,2015,226.3889
bra,2016,226.3889
bra,2017,226.3889
bra,2018,226.3889
bra,2019,226.3889
brb,2014,108.8462
brb,2015,108.8462
brb,2016,108.8462
brb,2017,108.8462
brb,2018,108.8462
brb,2019,117
brn,2014,90
brn,2015,90
brn,2016,90
brn,2017,90
brn,2018,90
brn,2019,90
btn,2014,50
btn,2015,50
btn,2016,50
btn,2017,50
btn,2018,50
btn,2019,50
bwa,2014,179.2308
bwa,2015,179.2308
bwa,2016,179.2308
bwa,2017,179.2308
bwa,2018,179.2308
bwa,2019,179.2308
caf,2014,60
caf,2015,60
caf,2016,60
caf,2017,60
caf,2018,60
caf,2019,60
can,2014,155.5556
can,2015,155.5556
can,2016,155.5556
can,2017,155.5556
can,2018,155.5556
can,2019,155.5556
che,2014,27
che,2015,27
che,2016,27
che,2017,27
che,2018,27
che,2019,27
chl,2014,50
chl,2015,50
chl,2016,50
chl,2017,50
chl,2018,50
chl,2019,50
chn,2014,84.57353
chn,2015,84.57353
chn,2016,84.57353
chn,2017,84.57353
chn,2018,73.57353
chn,2019,73.57353
civ,2014,136.1111
civ,2015,136.1111
civ,2016,136.1111
civ,2017,136.1111
civ,2018,136.1111
civ,2019,136.1111
cmr,2014,305.5
cmr,2015,305.5
cmr,2016,305.5
cmr,2017,305.5
cmr,2018,305.5
cmr,2019,305.5
cod,2014,500
cod,2015,500
cod,2016,500
cod,2017,500
cod,2018,500
cod,2019,500
cog,2014,165
cog,2015,165
cog,2016,165
cog,2017,165
cog,2018,165
cog,2019,165
col,2014,90
col,2015,90
col,2016,90
col,2017,90
col,2018,90
col,2019,90
com,2014,124
com,2015,124
com,2016,124
com,2017,124
com,2018,124
com,2019,124
cpv,2014,125
cpv,2015,125
cpv,2016,125
cpv,2017,125
cpv,2018,125
cpv,2019,125
cri,2014,80
cri,2015,80
cri,2016,80
cri,2017,80
cri,2018,80
cri,2019,80
cyp,2014,50
cyp,2015,50
cyp,2016,50
cyp,2017,50
cyp,2018,50
cyp,2019,50
cze,2014,0
cze,2015,0
cze,2016,0
cze,2017,0
cze,2018,0
cze,2019,0
deu,2014,45
deu,2015,45
deu,2016,45
deu,2017,45
deu,2018,45
deu,2019,45
dji,2014,95
dji,2015,95
dji,2016,95
dji,2017,95
dji,2018,95
dji,2019,95
dma,2014,50
dma,2015,50
dma,2016,50
dma,2017,50
dma,2018,50
dma,2019,50
dnk,2014,0
dnk,2015,0
dnk,2016,0
dnk,2017,0
dnk,2018,0
dnk,2019,0
dom,2014,15
dom,2015,15
dom,2016,15
dom,2017,15
dom,2018,15
dom,2019,15
dza,2014,374.4444
dza,2015,374.4444
dza,2016,374.4444
dza,2017,374.4444
dza,2018,374.4444
dza,2019,374.4444
ecu,2014,60
ecu,2015,60
ecu,2016,60
ecu,2017,60
ecu,2018,60
ecu,2019,60
egy,2014,100
egy,2015,100
egy,2016,100
egy,2017,100
egy,2018,100
egy,2019,100
esp,2014,0
esp,2015,0
esp,2016,0
esp,2017,0
esp,2018,0
esp,2019,0
est,2014,0
est,2015,0
est,2016,0
est,2017,0
est,2018,0
est,2019,0
eth,2014,175
eth,2015,175
eth,2016,175
eth,2017,175
eth,2018,175
eth,2019,175
fin,2014,70
fin,2015,70
fin,2016,70
fin,2017,70
fin,2018,70
fin,2019,70
fji,2014,76
fji,2015,76
fji,2016,76
fji,2017,76
fji,2018,76
fji,2019,76
