geo,time,en_atm_ghgt_zg
afg,1991,-1.76367
afg,1992,-9.2398
afg,1993,-9.07679
afg,1994,-9.87649
afg,1995,-7.12289
afg,1996,-0.17629
afg,1997,6.50728
afg,1998,10.10017
afg,1999,18.23393
afg,2000,8.00555
afg,2001,0.45806
afg,2002,10.49425
afg,2003,17.41591
afg,2004,16.97282
afg,2005,17.89787
afg,2006,18.52762
afg,2007,21.90783
afg,2008,22.03668
afg,2009,24.15716
afg,2010,42.01234
afg,2011,43.52876
ago,1991,-13.86723
ago,1992,27.93203
ago,1993,-21.71263
ago,1994,-12.10336
ago,1995,-5.07069
ago,1996,-7.22412
ago,1997,-34.86818
ago,1998,-30.56972
ago,1999,-28.90793
ago,2000,-31.54291
ago,2001,-32.34761
ago,2002,-32.11432
ago,2003,-29.42245
ago,2004,-27.44983
ago,2005,-29.42693
ago,2006,-28.40327
ago,2007,-27.78384
ago,2008,-26.39473
ago,2009,-24.59738
ago,2010,-21.21213
ago,2011,-19.54058
ago,2012,-18.00827
alb,1991,-25.54815
alb,1992,-43.96378
alb,1993,-45.40333
alb,1994,-38.86474
alb,1995,-42.21428
alb,1996,-44.32165
alb,1997,-50.50175
alb,1998,-52.7917
alb,1999,-41.56713
alb,2000,-24.50751
alb,2001,-38.62332
alb,2002,-32.4823
alb,2003,-29.50413
alb,2004,-33.39979
alb,2005,-25.23542
alb,2006,-27.76618
alb,2007,-11.09841
alb,2008,-26.7796
alb,2009,-27.03132
alb,2010,-23.44819
alb,2011,-21.60075
alb,2012,-19.9239
are,1991,10.35845
are,1992,8.6362
are,1993,12.17571
are,1994,21.40178
are,1995,29.52532
are,1996,42.11955
are,1997,40.55639
are,1998,44.82105
are,1999,47.87591
are,2000,59.20384
are,2001,58.64976
are,2002,74.90027
are,2003,84.95768
are,2004,93.1065
are,2005,97.75238
are,2006,109.4349
are,2007,131.70997
are,2008,150.196
are,2009,151.62173
are,2010,166.38752
are,2011,174.9606
are,2012,182.61068
arg,1991,0.23774
arg,1992,2.09494
arg,1993,3.73946
arg,1994,1.64819
arg,1995,3.20436
arg,1996,8.13762
arg,1997,12.43786
arg,1998,16.86694
arg,1999,25.25991
arg,2000,24.34613
arg,2001,22.4827
arg,2002,16.69333
arg,2003,29.35305
arg,2004,38.78714
arg,2005,34.4509
arg,2006,40.15889
arg,2007,44.2658
arg,2008,54.37849
arg,2009,40.08705
arg,2010,36.81387
arg,2011,39.88599
arg,2012,42.67047
arm,1991,2.81353
arm,1992,-41.31564
arm,1993,-66.18303
arm,1994,-75.30302
arm,1995,-72.86538
arm,1996,-75.76929
arm,1997,-72.8281
arm,1998,-72.75752
arm,1999,-74.16486
arm,2000,-72.22914
arm,2001,-72.11292
arm,2002,-73.87683
arm,2003,-71.79982
arm,2004,-69.13265
arm,2005,-66.0257
arm,2006,-64.644
arm,2007,-62.29782
arm,2008,-49.57531
arm,2009,-54.56883
arm,2010,-53.93013
arm,2011,-49.78658
arm,2012,-50.18427
asm,1991,2.87335
asm,1992,5.5397
asm,1993,7.93622
asm,1994,10.16982
asm,1995,12.28065
asm,1996,14.13889
asm,1997,15.86721
asm,1998,17.4064
asm,1999,52.76532
asm,2000,133.82144
asm,2001,149.65536
asm,2002,151.93689
asm,2003,154.34168
asm,2004,156.7068
asm,2005,159.06579
asm,2006,161.52324
asm,2007,164.5257
asm,2008,167.97169
asm,2009,169.80192
asm,2010,177.8884
asm,2011,183.31504
asm,2012,188.32947
atg,1991,0.28752
atg,1992,-0.20634
atg,1993,-3.51684
atg,1994,2.30034
atg,1995,5.27988
atg,1996,4.76027
atg,1997,-2.66104
atg,1998,1.91624
atg,1999,8.54474
atg,2000,7.09303
atg,2001,7.24639
atg,2002,9.17147
atg,2003,12.50382
atg,2004,20.6063
atg,2005,21.96764
atg,2006,24.51812
atg,2007,28.41783
atg,2008,32.12827
atg,2011,44.45971
atg,2012,48.47329
aus,1991,3.53484
aus,1992,0.9732
aus,1993,-0.58771
aus,1994,8.32084
aus,1995,1.45053
aus,1996,5.51206
aus,1997,90.96317
aus,1998,90.9137
aus,1999,146.76398
aus,2000,124.18584
aus,2001,157.41664
aus,2002,131.69273
aus,2003,112.24783
aus,2004,137.26892
aus,2005,88.52691
aus,2006,132.14517
aus,2007,120.94707
aus,2008,85.07827
aus,2009,129.14601
aus,2010,62.16162
aus,2011,62.92722
aus,2012,57.92847
aut,1991,4.29003
aut,1992,-0.76616
aut,1993,-0.56236
aut,1994,-0.10174
aut,1995,3.31134
aut,1996,7.27898
aut,1997,6.13046
aut,1998,7.37961
aut,1999,5.06479
aut,2000,3.56951
aut,2001,7.53367
aut,2002,9.45644
aut,2003,16.06134
aut,2004,20.65954
aut,2005,22.1901
aut,2006,19.79005
aut,2007,16.83406
aut,2008,18.50254
aut,2009,11.53576
aut,2010,17.95584
aut,2011,15.62947
aut,2012,13.30619
aze,1991,1.12155
aze,1993,-32.82171
aze,1994,-37.95178
aze,1995,-45.54592
aze,1996,-50.09891
aze,1997,-51.77123
aze,1998,-48.84115
aze,1999,-48.19539
aze,2000,-45.39257
aze,2001,-46.91689
aze,2002,-48.39912
aze,2003,-43.50996
aze,2004,-42.37173
aze,2005,-39.02788
aze,2006,-37.90732
aze,2007,-42.19455
aze,2008,-31.06895
aze,2009,-36.45925
aze,2010,-35.04896
aze,2011,-30.87686
aze,2012,-27.60624
bdi,1991,3.01257
bdi,1992,4.42621
bdi,1993,7.95606
bdi,1994,6.35472
bdi,1995,7.14571
bdi,1996,8.8535
bdi,1997,9.31986
bdi,1998,122.55117
bdi,1999,-1.1151
bdi,2000,21.43432
bdi,2001,21.14736
bdi,2002,79.69345
bdi,2003,87.88361
bdi,2004,91.87409
bdi,2005,89.43988
