geo,time,sh_sta_maln_ma_zs
afg,2004,32.7
afg,2013,26
afg,2018,19.5
ago,1996,37.5
ago,2007,16.6
ago,2015,21
alb,2000,19.6
alb,2005,7.3
alb,2009,6.6
alb,2017,1.8
arg,2005,2.4
arg,2019,2.5
arm,1998,2.8
arm,2000,2.9
arm,2005,3.4
arm,2010,4.7
arm,2016,3.2
aze,2000,13.2
aze,2006,8.7
aze,2011,7.6
aze,2013,4.9
bdi,2000,39.3
bdi,2010,32
bdi,2016,30.4
bdi,2018,31.5
bdi,2019,29
bel,2014,0
ben,2001,21.5
ben,2008,18.8
ben,2014,19.4
ben,2018,17.8
bfa,1993,31
bfa,1999,32.8
bfa,2009,27.1
bfa,2010,27.7
bfa,2011,27.6
bfa,2012,26.7
bfa,2013,22.5
bfa,2014,21
bfa,2015,24.9
bfa,2016,21.3
bfa,2017,17.8
bfa,2018,19.6
bfa,2019,18.3
bgd,1997,52.9
bgd,2000,41.4
bgd,2004,43
bgd,2007,40.2
bgd,2011,34.8
bgd,2013,33.4
bgd,2014,32.3
bgd,2018,21.7
bgd,2019,22.4
bgr,2007,4.4
bgr,2014,2.4
bih,2000,5.1
bih,2006,2.2
bih,2012,1.8
blr,2005,1.5
blz,2006,4
blz,2011,5.7
blz,2015,5
bol,1998,6
bol,2003,6.1
bol,2008,4.9
bol,2012,4.2
bol,2016,3.9
bra,1989,5.6
bra,1996,4.8
bra,2007,2.3
brb,2012,2.5
brn,2009,10.8
btn,1999,16.7
btn,2008,10.7
btn,2010,13.3
bwa,2000,11
bwa,2007,12.4
caf,2000,23.5
caf,2006,29.1
caf,2010,26.1
caf,2012,26.1
caf,2014,21.5
caf,2018,21.3
caf,2019,21.6
chl,2008,0.6
chl,2013,0.6
chl,2014,0.6
chn,1990,13.1
chn,1992,13.8
chn,1995,11.6
chn,1998,7.2
chn,2000,7.3
chn,2002,7.2
chn,2005,4.7
chn,2010,3.5
chn,2013,2.5
civ,1986,12.7
civ,1998,16.9
civ,2007,30.3
civ,2012,18.7
civ,2016,14
cmr,1991,12.3
cmr,2004,15.3
cmr,2006,18.8
cmr,2011,15.8
cmr,2014,15.3
cmr,2018,12.2
cod,2001,33.3
cod,2007,28.2
cod,2010,27.1
cod,2013,25.7
cod,2017,25.8
cog,2005,13
cog,2011,13.3
cog,2014,13.3
col,1995,7
col,2000,4.9
col,2005,5.4
col,2010,3.5
col,2016,3.9
com,2000,28.1
com,2012,17.2
cri,2008,0.6
cri,2018,2.6
cub,2019,2.2
cze,2001,2.6
deu,2004,0.9
deu,2016,0.8
dji,2002,26.3
dji,2012,31.1
dom,1991,9.3
dom,1996,5.3
dom,2000,3.9
dom,2002,4.5
dom,2006,5.1
dom,2007,3.1
dom,2013,3.9
dza,1992,9.8
dza,1995,12.2
dza,2000,5.3
dza,2002,12.5
dza,2006,3.5
dza,2012,3.1
dza,2019,2.9
ecu,1999,12
ecu,2004,7
ecu,2006,7.1
ecu,2012,7.5
ecu,2014,5.7
ecu,2019,6.1
egy,1991,11.9
egy,1992,8.6
egy,1995,11.6
egy,2003,10.1
egy,2005,6.6
egy,2008,8.1
egy,2014,7.7
eri,2002,35.9
eri,2010,38.9
est,2014,0.3
eth,2000,44.2
eth,2005,36
eth,2011,30.9
eth,2014,26.1
eth,2016,25.1
eth,2019,23
fji,2004,4.9
gab,2000,10.6
gab,2012,8
geo,2005,2.7
geo,2009,1.5
geo,2018,1
gha,1997,23
gha,1998,20.5
gha,2003,21
gha,2006,15.2
gha,2008,15.9
gha,2011,15.4
gha,2014,10.7
gha,2017,14.1
gin,1999,20.4
gin,2005,24.6
gin,2007,17.4
gin,2012,18.7
gin,2016,19.1
gin,2018,17.7
gmb,2000,16.3
gmb,2006,16.7
gmb,2010,17.9
gmb,2012,19.7
gmb,2013,17.4
gmb,2018,11.8
gmb,2020,12.8
gnb,2000,20.6
gnb,2010,19.2
gnb,2012,18.2
gnb,2014,17.9
gnb,2019,20.2
gnq,1997,15.4
gnq,2000,16.7
gnq,2004,11.3
gnq,2011,5.9
grc,2003,0.3
gtm,1995,22.3
gtm,1999,22.7
gtm,2000,18.2
gtm,2002,18.4
gtm,2009,14.9
gtm,2015,12.6
guy,1993,14
guy,2000,13.6
guy,2006,11.5
guy,2009,13
guy,2014,9.3
hnd,1991,15.2
hnd,2001,13.5
hnd,2006,8.9
hnd,2012,7.7
hti,1994,25.1
hti,2000,15.6
hti,2006,20.3
hti,2012,12.5
hti,2017,10.7
idn,1989,36.4
idn,1992,33.6
idn,1998,28.6
idn,1999,24.4
idn,2000,25.7
idn,2001,24.4
idn,2002,25.2
idn,2003,25.5
idn,2004,20.7
idn,2007,20.7
idn,2010,19.5
idn,2013,20.5
idn,2018,18.8
ind,2006,43.1
ind,2014,30
ind,2015,36.9
ind,2017,32.5
irn,2010,4
irq,2000,13.8
irq,2006,7.6
irq,2011,7.8
irq,2018,3.9
jam,1989,7.8
jam,1991,7.7
jam,1992,5.3
jam,1994,5.6
jam,1995,5.4
jam,1996,6.5
jam,1997,3.8
jam,1998,6.8
jam,1999,1.5
jam,2000,4.5
jam,2001,5.2
jam,2002,3.1
jam,2004,3.9
jam,2006,3.3
jam,2007,2.1
jam,2008,3.8
jam,2010,4.6
jam,2012,2.9
jam,2014,2.9
jam,2016,4.8
jor,1990,5.8
jor,1997,3.9
jor,2002,4.2
jor,2009,1.6
jor,2012,3.4
jpn,2010,3.5
kaz,1999,3.8
kaz,2006,5.4
kaz,2010,3.7
kaz,2015,1.9
ken,1993,21.8
ken,1994,19.5
ken,2000,19.1
ken,2003,19.2
ken,2005,19.7
ken,2008,17.2
ken,2011,15.1
ken,2014,12.4
kgz,2006,2.9
kgz,2009,4.7
kgz,2012,3.7
kgz,2014,2.9
kgz,2018,2
khm,1996,47
khm,2000,40.5
khm,2005,29.6
khm,2008,28.5
khm,2010,28.7
khm,2014,23.3
kir,2009,17.1
kir,2018,8.1
kor,2003,1.2
kwt,2001,2.5
kwt,2002,2.6
