geo,time,eg_use_crnw_zs
ago,1971,82.81464
ago,1972,77.32855
ago,1973,78.1983
ago,1974,77.3253
ago,1975,80.19119
ago,1976,82.27395
ago,1977,84.85843
ago,1978,78.58796
ago,1979,78.97852
ago,1980,78.91554
ago,1981,79.72656
ago,1982,82.18572
ago,1983,81.30915
ago,1984,81.83618
ago,1985,78.48434
ago,1986,78.91438
ago,1987,78.4496
ago,1988,76.86139
ago,1989,76.78644
ago,1990,54.24553
ago,1991,54.20778
ago,1992,55.16704
ago,1993,54.5063
ago,1994,54.82202
ago,1995,56.06004
ago,1996,55.67644
ago,1997,55.55767
ago,1998,56.78872
ago,1999,55.15198
ago,2000,54.8554
ago,2001,53.77302
ago,2002,52.65424
ago,2003,49.98383
ago,2004,49.75251
ago,2005,52.68878
ago,2006,49.10681
ago,2007,47.04658
ago,2008,44.38397
ago,2009,41.69673
ago,2010,40.5679
ago,2011,39.8485
ago,2012,37.0353
ago,2013,37.71359
ago,2014,36.37611
alb,1971,21.83485
alb,1972,19.31791
alb,1973,21.4114
alb,1974,20.54244
alb,1975,18.8609
alb,1976,17.1237
alb,1977,16.15459
alb,1978,14.45946
alb,1979,16.57951
alb,1980,12.21149
alb,1981,13.9094
alb,1982,13.93576
alb,1983,13.18715
alb,1984,12.68255
alb,1985,13.80317
alb,1986,12.87352
alb,1987,13.19435
alb,1988,12.86608
alb,1989,12.96228
alb,1990,13.57947
alb,1991,19.39719
alb,1992,26.72315
alb,1993,26.03021
alb,1994,23.36329
alb,1995,23.74138
alb,1996,21.23245
alb,1997,23.7476
alb,1998,20.55997
alb,1999,14.6235
alb,2000,14.38396
alb,2001,14.00477
alb,2002,12.71071
alb,2003,10.04562
alb,2004,10.75831
alb,2005,10.6131
alb,2006,10.87254
alb,2007,10.645
alb,2008,10.26538
alb,2009,9.79317
alb,2010,9.64962
alb,2011,9.35802
alb,2012,10.34827
alb,2013,8.68356
alb,2014,9.36138
are,1971,0
are,1972,0
are,1973,0
are,1974,0
are,1975,0
are,1976,0
are,1977,0
are,1978,0
are,1979,0
are,1980,0
are,1981,0
are,1982,0
are,1983,0
are,1984,0
are,1985,0
are,1986,0
are,1987,0
are,1988,0
are,1989,0
are,1990,0
are,1991,0
are,1992,0.14478
are,1993,0.11263
are,1994,0.09036
are,1995,0.08503
are,1996,0.0604
are,1997,0.05718
are,1998,0.05359
are,1999,0.05248
are,2000,0.05368
are,2001,0.04209
are,2002,0.04243
are,2003,0.04313
are,2004,0.05976
are,2005,0.06282
are,2006,0.06847
are,2007,0.07189
are,2008,0.06821
are,2009,0.07362
are,2010,0.07632
are,2011,0.07547
are,2012,0.07099
are,2013,0.06836
are,2014,0.06681
arg,1971,6.72353
arg,1972,6.35771
arg,1973,5.89092
arg,1974,6.50758
arg,1975,5.2629
arg,1976,4.87665
arg,1977,5.18998
arg,1978,5.37993
arg,1979,4.68797
arg,1980,5.14675
arg,1981,5.08872
arg,1982,4.67499
arg,1983,4.93026
arg,1984,4.80416
arg,1985,4.91669
arg,1986,4.03861
arg,1987,4.10533
arg,1988,3.81155
arg,1989,3.36028
arg,1990,2.82702
arg,1991,3.03754
arg,1992,3.06321
arg,1993,3.33034
arg,1994,3.70073
arg,1995,4.15198
arg,1996,4.04554
arg,1997,4.13331
arg,1998,4.57965
arg,1999,4.57017
arg,2000,4.31279
arg,2001,4.64654
arg,2002,4.51117
arg,2003,4.53787
arg,2004,2.26151
arg,2005,2.42016
arg,2006,2.88457
arg,2007,2.81254
arg,2008,2.18801
arg,2009,2.30632
arg,2010,2.62673
arg,2011,2.9544
arg,2012,3.1441
arg,2013,2.97227
arg,2014,3.245
arm,1990,0.19456
arm,1991,0.1831
arm,1992,0.35382
arm,1993,0.65021
arm,1994,1.0099
arm,1995,0.82907
arm,1996,0.75354
arm,1997,0.71311
arm,1998,0.69388
arm,1999,0.71373
arm,2000,0.60806
arm,2001,0.44647
arm,2002,0.52308
arm,2003,0.60266
arm,2004,0.60079
arm,2005,0.32886
arm,2006,0.52545
arm,2007,0.29882
arm,2008,0.28298
arm,2009,0.32479
arm,2010,0.34045
arm,2011,0.31132
