geo,time,ip_pat_nres
ago,1992,2
ago,2018,114
ago,2019,108
alb,1997,9
alb,2001,120
alb,2002,238
alb,2003,391
alb,2005,386
alb,2009,361
alb,2011,8
alb,2013,4
alb,2014,3
alb,2015,5
alb,2016,5
alb,2017,8
alb,2018,3
alb,2019,1
and,2016,3
and,2017,6
and,2018,10
and,2019,12
and,2020,5
are,2010,1263
are,2011,1318
are,2012,1327
are,2013,1402
are,2014,1438
are,2015,1714
are,2016,1642
are,2017,1733
are,2018,1723
are,2019,1843
are,2020,1869
arg,1980,3063
arg,1981,3321
arg,1982,2793
arg,1983,2443
arg,1984,2656
arg,1990,1955
arg,1991,1851
arg,1992,1919
arg,1993,2261
arg,1994,2820
arg,1995,3588
arg,1996,4012
arg,1997,5035
arg,1998,5459
arg,1999,5558
arg,2000,5574
arg,2001,5088
arg,2002,4143
arg,2003,3765
arg,2004,3816
arg,2005,4215
arg,2006,4597
arg,2007,4806
arg,2008,4781
arg,2009,4336
arg,2010,4165
arg,2011,4133
arg,2012,4078
arg,2013,4129
arg,2014,4173
arg,2015,3579
arg,2016,2925
arg,2017,3050
arg,2018,3242
arg,2019,3260
arg,2020,2562
arm,1993,30
arm,1994,79
arm,1995,98
arm,1996,154
arm,1997,121
arm,1998,8
arm,1999,16
arm,2000,8
arm,2001,15
arm,2002,7
arm,2003,6
arm,2005,2
arm,2006,1
arm,2007,5
arm,2008,4
arm,2009,11
arm,2010,6
arm,2011,19
arm,2012,4
arm,2013,6
arm,2014,2
arm,2015,2
arm,2016,1
arm,2017,3
arm,2018,4
arm,2019,4
arm,2020,7
atg,2011,8
atg,2012,7
atg,2013,7
atg,2014,15
atg,2015,10
atg,2016,12
atg,2017,8
atg,2018,5
aus,1980,9354
aus,1981,9807
aus,1982,9572
aus,1983,9529
aus,1984,10212
aus,1995,12277
aus,1996,13221
aus,1997,15398
aus,1998,16063
aus,1999,17960
aus,2000,20073
aus,2001,20548
aus,2002,20181
aus,2003,19176
aus,2004,20274
aus,2005,21302
aus,2006,23166
aus,2007,24122
aus,2008,23525
aus,2009,21187
aus,2010,22478
aus,2011,23143
aus,2012,23731
aus,2013,26656
aus,2014,23968
aus,2015,26314
aus,2016,25774
aus,2017,26403
aus,2018,27200
aus,2019,27121
aus,2020,26926
aut,1980,4166
aut,1981,3428
aut,1982,2620
aut,1983,2322
aut,1984,1891
aut,1985,1591
aut,1986,1336
aut,1987,1272
aut,1988,1048
aut,1989,915
aut,1990,670
aut,1991,544
aut,1992,517
aut,1993,513
aut,1994,516
aut,1995,458
aut,1996,449
aut,1997,397
aut,1998,349
aut,1999,341
aut,2000,340
aut,2001,284
aut,2002,329
aut,2003,213
aut,2004,266
aut,2005,235
aut,2006,378
aut,2007,287
aut,2008,329
aut,2009,292
aut,2010,249
aut,2011,276
aut,2012,294
aut,2013,244
aut,2014,271
aut,2015,236
aut,2016,237
aut,2017,232
aut,2018,168
aut,2019,208
aut,2020,173
aze,1995,30
aze,1996,17
aze,2001,10
aze,2002,7
aze,2003,18
aze,2004,7
aze,2005,6
aze,2006,13
aze,2007,8
aze,2008,7
aze,2009,17
aze,2010,17
aze,2011,12
aze,2016,19
aze,2017,22
aze,2018,16
aze,2019,20
aze,2020,18
bdi,1980,10
bdi,1981,5
bdi,1982,2
bdi,1983,2
bdi,1984,7
bdi,1986,2
bdi,1989,1
bdi,1990,3
bdi,1992,2
bdi,1993,1
bdi,1994,4
bdi,1995,1
bdi,1996,4
bdi,2017,10
bdi,2018,2
bdi,2019,15
bdi,2020,5
bel,1980,5104
bel,1981,3918
bel,1982,2944
bel,1983,2261
bel,1984,1966
bel,1985,1476
bel,1986,1334
bel,1987,889
bel,1988,776
bel,1989,663
bel,1990,613
bel,1991,574
bel,1992,499
bel,1993,679
bel,1994,446
bel,1995,355
bel,1996,310
bel,1997,269
bel,1998,249
bel,1999,249
bel,2000,243
bel,2001,264
bel,2002,147
bel,2003,188
bel,2004,122
bel,2005,105
bel,2006,161
bel,2007,163
bel,2008,133
bel,2009,148
bel,2010,140
bel,2011,127
bel,2012,127
bel,2013,161
bel,2014,137
bel,2015,148
bel,2016,119
bel,2017,216
bel,2018,218
bel,2019,257
bel,2020,288
bgd,1980,102
bgd,1981,133
bgd,1982,104
bgd,1983,123
bgd,1984,104
bgd,1985,96
bgd,1986,77
bgd,1987,98
bgd,1988,109
bgd,1989,76
bgd,1990,76
bgd,1991,77
bgd,1992,89
bgd,1993,71
bgd,1994,89
bgd,1995,156
bgd,1996,131
bgd,1997,119
bgd,1998,184
bgd,1999,200
bgd,2000,248
bgd,2001,236
bgd,2002,246
bgd,2003,260
bgd,2004,268
bgd,2005,294
bgd,2006,288
bgd,2007,270
bgd,2008,278
bgd,2009,275
bgd,2010,276
bgd,2011,269
bgd,2012,287
bgd,2013,243
bgd,2014,249
bgd,2015,299
bgd,2016,267
bgd,2017,241
bgd,2018,299
bgd,2019,345
bgd,2020,362
bgr,1980,804
bgr,1981,871
bgr,1982,717
bgr,1983,728
bgr,1984,738
bgr,1985,248
bgr,1986,211
bgr,1987,311
bgr,1988,253
bgr,1989,267
bgr,1990,331
bgr,1991,326
bgr,1992,351
bgr,1993,152
bgr,1994,531
bgr,1995,363
bgr,1996,407
bgr,1997,538
bgr,1998,524
bgr,1999,616
bgr,2000,709
bgr,2001,785
bgr,2002,735
bgr,2003,680
bgr,2004,133
bgr,2005,52
bgr,2006,48
bgr,2007,28
bgr,2008,22
bgr,2009,24
bgr,2010,17
bgr,2011,21
bgr,2012,14
bgr,2013,15
bgr,2014,16
bgr,2015,11
bgr,2016,11
bgr,2017,23
bgr,2018,18
bgr,2019,7
bgr,2020,7
bhr,1980,47
bhr,1981,28
bhr,1982,41
bhr,1983,28
bhr,1984,65
bhr,1985,16
bhr,1986,20
bhr,1992,31
bhr,2011,139
bhr,2012,161
bhr,2013,167
bhr,2014,199
bhr,2015,185
bhr,2016,171
bhr,2017,237
bhr,2018,219
bhr,2019,322
bhr,2020,257
bhs,1981,51
bhs,1982,50
bhs,1984,38
bhs,1985,42
bhs,1986,37
bhs,1988,32
bhs,1990,25
bhs,1991,27
bhs,1992,29
bhs,2012,83
bhs,2013,75
bhs,2014,113
bhs,2015,68
bhs,2016,34
bhs,2017,48
bih,1999,105
bih,2000,242
bih,2001,309
bih,2003,242
bih,2004,346
bih,2005,306
bih,2006,162
bih,2008,12
bih,2010,9
bih,2011,12
bih,2012,14
bih,2013,22
bih,2014,2
bih,2016,6
bih,2017,12
bih,2018,12
bih,2019,14
bih,2020,5
blr,1993,666
blr,1994,1005
blr,1995,415
blr,1996,361
blr,1997,414
blr,1998,79
blr,1999,345
blr,2000,204
blr,2001,214
blr,2002,379
blr,2003,298
blr,2004,200
blr,2005,296
blr,2006,337
blr,2007,257
blr,2008,220
blr,2009,173
blr,2010,174
blr,2011,146
blr,2012,190
blr,2013,145
blr,2014,105
blr,2015,148
blr,2016,66
blr,2017,90
blr,2018,94
blr,2019,95
blr,2020,77
blz,2004,16
blz,2005,33
blz,2006,41
blz,2007,48
blz,2008,54
blz,2011,49
blz,2012,51
blz,2013,32
blz,2014,36
blz,2015,26
blz,2016,37
blz,2017,32
blz,2018,24
blz,2019,32
blz,2020,23
bol,1980,117
bol,1981,120
bol,1982,89
bol,1983,70
bol,1984,54
bol,1985,41
bol,1993,62
bol,1994,89
bol,1995,106
bol,2014,294
bol,2016,241
bol,2017,277
bra,1980,6228
bra,1981,6113
bra,1982,5562
bra,1983,4900
bra,1984,4657
bra,1985,4565
bra,1986,4413
bra,1987,4702
bra,1988,4546
bra,1989,4657
bra,1990,5148
bra,1991,4625
bra,1992,4374
bra,1993,4221
bra,1994,4228
bra,1995,4741
bra,1996,5446
