global,time,nv_ind_manf_cd
world,1997,5981134578775.04004
world,1998,5846035740503.2002
world,1999,6007163758886.44043
world,2000,6153106582612.74023
world,2001,5768384434633.42969
world,2002,5840188320072.0498
world,2003,6490942272315.82031
world,2004,7261943000551.17969
world,2005,7773411976252.4209
world,2006,8409312355378.05957
world,2007,9452712763756.57031
world,2008,10234818863548.80078
world,2009,9346663591280.96094
world,2010,10560872544328.69922
world,2011,11780088673388.69922
world,2012,12015782941943.69922
world,2013,12245505649773.90039
world,2014,12677223815110
world,2015,12297585850837.80078
world,2016,12337965615474.90039
world,2017,13167430080753.30078
world,2018,14089239673539.69922
world,2019,13946290080833.40039
world,2020,13498481176233.90039
