global,time,sh_dth_nmrt
world,1990,5021229
world,1991,4917838
world,1992,4810289
world,1993,4704641
world,1994,4601270
world,1995,4500172
world,1996,4402927
world,1997,4305907
world,1998,4207534
world,1999,4108482
world,2000,4008210
world,2001,3899769
world,2002,3792300
world,2003,3686485
world,2004,3585609
world,2005,3490286
world,2006,3400025
world,2007,3313128
world,2008,3228744
world,2009,3143505
world,2010,3060729
world,2011,2979749
world,2012,2902688
world,2013,2828301
world,2014,2756174
world,2015,2690197
world,2016,2628344
world,2017,2564181
world,2018,2501578
world,2019,2435295
world,2020,2372095
