geo,time,cm_mkt_trnr
are,2007,37.71964
are,2008,66.26228
are,2009,47.59888
are,2010,21.07956
are,2011,16.00865
are,2012,17.71657
are,2014,71.03932
are,2015,29.4058
are,2016,23.20106
are,2017,19.03004
are,2018,10.99064
are,2019,11.85133
are,2020,12.72225
arg,1977,28.70871
arg,1978,19.60566
arg,1979,34.0636
arg,1980,28.19287
arg,1981,13.18193
arg,1982,24.96659
arg,1983,12.67412
arg,1984,21.63663
arg,1985,23.30303
arg,1986,15.03649
arg,1987,10.15281
arg,1988,167.3913
arg,1989,12.38543
arg,1990,22.14948
arg,1991,24.40324
arg,1992,84.51123
arg,1993,112.95921
arg,1994,306.03897
arg,1995,84.43729
arg,1996,70.04219
arg,1997,64.48177
arg,1998,57.49581
arg,1999,21.24029
arg,2000,19.95149
arg,2001,19.95567
arg,2002,7.05214
arg,2003,8.37132
arg,2004,11.21216
arg,2005,11.04799
arg,2006,6.61199
arg,2007,8.48955
arg,2008,8.37533
arg,2009,3.30218
arg,2010,3.98185
arg,2011,5.63176
arg,2012,4.26843
arg,2013,4.21301
arg,2014,5.857
arg,2015,4.80954
arg,2016,5.32937
arg,2017,5.35916
arg,2018,9.94035
arg,2019,7.5732
aus,1979,5.14906
aus,1980,8.29315
aus,1981,14.32186
aus,1982,11.85179
aus,1983,17.27513
aus,1984,20.24134
aus,1985,25.69532
aus,1986,18.99498
aus,1987,37.25178
aus,1988,29.76095
aus,1989,31.02804
aus,1990,37.23143
aus,1991,31.536
aus,1992,31.11677
aus,1993,32.63183
aus,1994,45.50218
aus,1995,40.04487
aus,1996,46.39185
aus,1997,50.78744
aus,1998,47.28493
aus,1999,46.46844
aus,2000,57.19596
aus,2001,64.1297
aus,2002,76.54721
aus,2003,72.01508
aus,2004,70.18552
aus,2005,76.20128
aus,2006,78.38094
aus,2007,105.77245
aus,2008,122.79118
aus,2009,66.68317
aus,2010,77.78238
aus,2011,94.1825
aus,2012,65.30267
aus,2013,57.67976
aus,2014,54.58844
aus,2015,63.23366
aus,2016,59.78428
aus,2017,53.64429
aus,2018,61.29448
aus,2019,56.0787
aus,2020,71.26557
aut,1975,5.15381
aut,1976,6.39983
aut,1977,4.96664
aut,1978,0.48712
aut,1979,4.38403
aut,1980,5.38341
aut,1981,5.32321
aut,1982,4.84209
aut,1983,8.67716
aut,1984,7.63282
aut,1985,17.423
aut,1986,17.96174
aut,1987,17.43023
aut,1988,19.83636
aut,1989,108.02475
aut,1990,219.11815
aut,1991,31.71794
aut,1992,24.08928
aut,1993,25.10144
aut,1994,30.44074
aut,1995,42.46225
aut,1996,32.39395
aut,1997,32.78533
aut,1998,694.42846
aut,1999,35.77261
aut,2000,32.28892
aut,2001,29.01757
aut,2002,19.37955
aut,2003,21.29388
aut,2004,29.53838
aut,2005,34.31892
aut,2006,43.04096
aut,2007,54.61455
aut,2008,128.63929
aut,2009,45.15387
aut,2010,38.75097
aut,2011,45.48855
aut,2012,22.29373
aut,2013,22.54417
aut,2014,29.67162
aut,2015,33.02785
aut,2016,32.83232
aut,2017,26.26798
aut,2018,33.75956
aut,2019,25.1543
aut,2020,30.11707
bel,1975,6.40004
bel,1976,7.03188
bel,1977,6.02449
bel,1978,5.78069
bel,1979,7.68881
bel,1980,7.69982
bel,1981,7.42271
bel,1982,12.07658
bel,1983,12.20483
bel,1984,11.68875
bel,1985,10.5954
bel,1986,12.85932
bel,1987,19.32742
bel,1988,14.01353
bel,1989,11.3429
bel,1990,11.13215
bel,1991,9.50738
bel,1992,12.12201
bel,1993,13.53802
bel,1994,15.44405
bel,1995,14.9831
bel,1996,18.41501
bel,1997,20.78885
bel,1998,24.16056
bel,1999,27.45928
bel,2000,21.14427
bel,2001,22.77799
bel,2002,29.9222
bel,2003,23.82879
bel,2004,27.48615
bel,2005,36.92538
bel,2006,34.14044
bel,2007,60.06172
bel,2008,114.05171
bel,2009,47.44173
bel,2010,39.97304
bel,2011,45.02444
bel,2012,33.69604
bel,2013,30.80389
bel,2014,28.33301
bgd,1993,3.18897
bgd,1994,10.55986
bgd,1995,7.79039
bgd,1996,11.55509
bgd,1997,20.54463
bgd,1998,49.70584
bgd,1999,62.01308
bgd,2000,42.67578
bgd,2001,26.68915
bgd,2005,6.22983
bgd,2006,6.1421
bgd,2007,8.10557
bgd,2008,12.47062
bgd,2009,11.1773
bgd,2010,11.62411
bgd,2011,4.66344
bgd,2013,2.41586
bgd,2014,23.09365
bgd,2015,20.78693
bgd,2016,21.75655
bgd,2017,30.75357
bgd,2018,20.85801
bgd,2019,20.37811
bgd,2020,16.61975
bgr,1993,18.33333
bgr,1994,4.55487
bgr,1995,7.22394
bgr,1996,173.03571
bgr,1998,101.2403
bgr,1999,5.65909
bgr,2000,3.18383
bgr,2001,85.52311
bgr,2002,22.6013
bgr,2003,6.6212
bgr,2004,16.33945
bgr,2005,15.36646
bgr,2006,18.09458
bgr,2007,31.31058
bgr,2008,14.80617
bgr,2009,5.62904
bgr,2010,5.11431
bgr,2011,3.89992
bgr,2019,1.0651
bgr,2020,1.20036
bhr,1996,3.75041
bhr,1997,6.12138
bhr,1998,8.51485
bhr,1999,6.22154
bhr,2000,3.70512
bhr,2001,2.90173
bhr,2003,2.77071
bhr,2004,2.30148
bhr,2005,4.04433
bhr,2006,6.53865
bhr,2007,3.85671
bhr,2008,10.4456
bhr,2009,2.86719
bhr,2010,1.43352
bhr,2011,0.94111
bhr,2014,3.25274
bhr,2015,1.5274
bhr,2016,1.80305
bhr,2017,2.59373
bhr,2018,4.43629
bhr,2019,2.8262
bhr,2020,2.40965
blr,2014,4.3597
blr,2015,1.5805
blr,2016,1.4838
bmu,2000,6.33737
bmu,2001,8.32682
bmu,2002,4.27311
bmu,2003,1.74854
bmu,2004,3.45888
bmu,2005,3.2168
bmu,2006,5.80722
bmu,2007,5.92872
bmu,2008,5.33381
bmu,2009,2.27836
bmu,2010,6.80869
bmu,2011,1.51987
bmu,2012,1.96785
bmu,2013,3.00613
bmu,2014,1.47801
bmu,2015,0.82757
bmu,2016,8.11975
bmu,2017,1.43961
bmu,2018,2.05374
bmu,2019,0.7672
bra,2000,41.58758
bra,2001,34.6208
bra,2002,31.06202
bra,2003,30.04721
bra,2004,34.41305
bra,2005,36.00993
bra,2006,39.34921
bra,2007,47.12225
bra,2008,96.26614
bra,2009,52.93461
bra,2010,58.75725
bra,2011,67.12443
bra,2012,67.75355
bra,2013,72.48512
bra,2014,76.33319
bra,2015,85.61643
bra,2016,73.56144
bra,2017,67.01921
bra,2018,83.89787
bra,2019,87.4818
brb,1993,1.34598
brb,1994,1.10658
brb,1995,0.6326
brb,1996,0.80445
brb,1997,2.04141
brb,1998,1.81524
brb,1999,0.50049
brb,2000,2.81859
brb,2001,0.56061
brb,2010,1.53667
brb,2011,2.56551
brb,2018,0.31667
brb,2019,0.4058
brb,2020,0.22515
bwa,1994,11.30795
bwa,1995,9.53519
bwa,1996,8.68201
bwa,1997,9.1978
bwa,1998,9.15106
bwa,1999,3.48961
bwa,2019,4.4813
can,1977,3.83289
can,1978,5.65361
can,1979,7.56553
can,1980,9.50495
can,1982,7.95208
can,1983,10.93387
can,1984,10.26152
can,1985,13.31305
can,1986,16.974
can,1987,22.99169
can,1988,15.39305
can,1989,16.44844
can,1990,14.85248
can,1991,14.41811
can,1992,16.53135
can,1993,22.39379
can,1994,27.12135
can,1995,27.30295
can,1996,30.11848
can,1997,33.44438
can,1998,32.96903
can,1999,27.11308
can,2000,81.53263
can,2001,72.48096
can,2002,50.46393
can,2003,55.65054
can,2004,59.99859
can,2005,62.88756
can,2006,72.74281
can,2007,79.80592
can,2008,145.4
can,2009,79.46112
can,2010,64.71017
can,2011,77.05973
can,2012,65.44473
can,2013,62.61556
can,2014,64.14989
can,2015,68.80067
can,2016,57.55299
can,2017,54.08347
can,2018,70.88358
can,2019,59.4648
can,2020,38.255
chanisl,1999,29.71378
chanisl,2000,13.50949
chanisl,2001,13.16891
chanisl,2002,17.67605
chanisl,2003,3.72553
chanisl,2004,6.79327
chanisl,2005,0.51178
chanisl,2006,0.05271
che,1975,192.22736
che,1976,206.41247
che,1977,120.57402
che,1978,112.7592
che,1979,159.50907
che,1980,185.26903
che,1981,195.35189
che,1983,287.57993
che,1984,325.73769
che,1985,255.15248
che,1986,101.47606
che,1987,329.02896
che,1988,276.87644
che,1989,242.06711
che,1990,254.08334
che,1991,38.75601
che,1992,37.29292
che,1993,69.08442
che,1994,89.71745
che,1995,80.1596
che,1996,103.72758
che,1997,93.90793
che,1998,99.83879
che,1999,68.59768
che,2000,80.03097
che,2001,111.23315
che,2002,80.10261
che,2003,61.70678
che,2004,5.28934
che,2005,6.03479
che,2006,6.70228
che,2007,98.79232
che,2008,160.48077
che,2009,72.37991
che,2010,71.2054
che,2011,75.98823
che,2012,47.99488
che,2013,45.40695
che,2014,49.09053
che,2015,62.87136
che,2016,60.69995
che,2017,55.39498
che,2018,65.11046
che,2019,52.6426
che,2020,65.33278
chl,1991,6.28621
chl,1992,5.95583
chl,1993,5.89139
chl,1994,7.78585
chl,1995,15.20135
chl,1996,1.6347
chl,1997,10.3095
chl,1998,8.28874
chl,1999,9.5591
chl,2000,9.54236
chl,2001,7.22987
chl,2002,5.34208
chl,2003,8.74035
chl,2004,11.18807
chl,2005,14.98285
chl,2006,15.94563
chl,2007,21.21206
chl,2008,21.90486
chl,2009,16.05063
chl,2010,16.94719
chl,2011,18.96733
chl,2012,14.83822
chl,2013,15.54855
chl,2014,11.6319
chl,2015,10.33589
chl,2016,11.26749
chl,2017,12.8858
chl,2018,17.37454
chl,2019,18.60986
chl,2020,21.52681
chn,2003,75.63702
chn,2004,114.24454
chn,2005,97.63954
chn,2006,101.18174
chn,2007,140.78223
chn,2008,219.53523
chn,2009,219.15596
chn,2010,205.01663
chn,2011,195.5971
chn,2012,135.96667
chn,2013,194.87722
chn,2014,199.15792
chn,2015,480.2873
chn,2016,249.90729
chn,2017,197.71326
chn,2018,206.6544
chn,2019,214.288
chn,2020,258.55127
civ,1993,1.56485
civ,1994,58.88377
civ,1995,22.56361
civ,1996,30.55242
civ,1998,1.04205
civ,1999,5.83105
civ,2000,7.56079
civ,2001,0.87378
civ,2002,1.33033
civ,2003,1.47324
civ,2004,2.40894
civ,2005,1.49888
civ,2006,2.57601
civ,2007,1.97901
civ,2008,4.11779
civ,2009,3.92859
civ,2010,3.17136
civ,2011,1.85413
civ,2013,3.10834
civ,2014,3.40706
