geo,time,sh_h2o_smdw_ur_zs
afg,2000,20.57015
afg,2001,20.57015
afg,2002,21.41651
afg,2003,22.26287
afg,2004,23.10923
afg,2005,23.95559
afg,2006,24.80195
afg,2007,25.64831
afg,2008,26.49467
afg,2009,27.34103
afg,2010,28.18739
afg,2011,29.03375
afg,2012,29.88011
afg,2013,30.72647
afg,2014,31.57283
afg,2015,32.41919
afg,2016,33.26555
afg,2017,34.11191
afg,2018,34.95827
afg,2019,35.80463
afg,2020,36.38141
aus,2000,98.1616
aus,2001,98.1616
aus,2002,98.1616
aus,2003,98.22324
aus,2004,98.28489
aus,2005,98.34655
aus,2006,98.40822
aus,2007,98.46991
aus,2008,98.5316
aus,2009,98.5933
aus,2010,98.65501
aus,2011,98.71674
aus,2012,98.77847
aus,2013,98.84022
aus,2014,98.90197
aus,2015,98.96374
aus,2016,98.96374
aus,2017,98.96374
aus,2018,98.96374
aus,2019,98.96374
aus,2020,98.96374
aze,2000,80.53908
aze,2001,81.7639
aze,2002,82.99298
aze,2003,84.22634
aze,2004,85.46396
aze,2005,86.70585
aze,2006,87.95201
aze,2007,89.20244
aze,2008,90.45713
aze,2009,91.71609
aze,2010,92.97932
aze,2011,94.24682
aze,2012,94.98873
aze,2013,95.17532
aze,2014,95.3619
aze,2015,95.54848
aze,2016,95.73507
aze,2017,95.92165
aze,2018,96.10824
aze,2019,96.25
aze,2020,96.25
bgd,2000,42.13993
bgd,2001,42.15221
bgd,2002,42.1645
bgd,2003,42.17678
bgd,2004,42.18907
bgd,2005,42.20135
bgd,2006,42.21364
bgd,2007,42.22593
bgd,2008,42.23821
bgd,2009,42.2505
bgd,2010,42.26278
bgd,2011,42.27507
bgd,2012,43.43965
bgd,2013,44.60489
bgd,2014,45.77081
bgd,2015,46.9374
bgd,2016,48.10465
bgd,2017,49.27258
bgd,2018,50.44117
bgd,2019,51.61044
bgd,2020,52.78037
bra,2000,82.71865
bra,2001,82.78397
bra,2002,82.8493
bra,2003,82.91463
bra,2004,82.97995
bra,2005,83.04528
bra,2006,83.1106
bra,2007,83.17593
bra,2008,83.24126
bra,2009,83.30658
bra,2010,83.37191
bra,2011,83.43723
bra,2012,83.50256
bra,2013,84.05022
bra,2014,84.59863
bra,2015,85.1478
bra,2016,85.69772
bra,2017,86.24839
bra,2018,86.79982
bra,2019,87.352
bra,2020,87.84059
btn,2000,48.5633
btn,2001,48.5842
btn,2002,48.6051
btn,2003,48.626
btn,2004,48.6469
btn,2005,48.66779
btn,2006,48.68869
btn,2007,48.70959
btn,2008,48.73049
btn,2009,48.75139
btn,2010,48.77229
btn,2011,48.79318
btn,2012,48.81408
btn,2013,48.83498
btn,2014,48.85588
btn,2015,48.87678
btn,2016,48.89768
btn,2017,48.91857
btn,2018,48.93947
btn,2019,48.96037
btn,2020,48.98127
bwa,2000,84.02139
bwa,2001,83.94805
bwa,2002,83.8747
bwa,2003,83.80135
bwa,2004,83.72801
bwa,2005,83.65466
bwa,2006,84.03082
bwa,2007,83.95708
bwa,2008,83.88334
bwa,2009,83.8096
bwa,2010,83.73586
bwa,2011,83.66211
bwa,2012,83.58837
bwa,2013,83.51463
bwa,2014,83.44089
bwa,2015,83.36715
bwa,2016,83.29341
bwa,2017,83.21967
bwa,2018,83.14593
bwa,2019,83.07218
bwa,2020,83.07218
caf,2000,17.00136
caf,2001,16.71573
caf,2002,16.43129
caf,2003,16.14804
caf,2004,15.86599
caf,2005,15.58513
caf,2006,15.30547
caf,2007,15.027
caf,2008,14.74972
caf,2009,14.47363
caf,2010,14.19874
caf,2011,13.92504
caf,2012,13.65254
caf,2013,13.38122
caf,2014,13.11111
caf,2015,12.84218
caf,2016,12.57445
caf,2017,12.30791
caf,2018,12.04256
caf,2019,11.77841
caf,2020,11.51545
chl,2000,97.9428
chl,2001,98.05993
chl,2002,98.17712
chl,2003,98.29439
chl,2004,98.41172
chl,2005,98.52912
chl,2006,98.57653
chl,2007,98.59341
chl,2008,98.61026
chl,2009,98.62707
chl,2010,98.64385
chl,2011,98.6606
chl,2012,98.67731
chl,2013,98.69399
chl,2014,98.71063
chl,2015,98.72724
chl,2016,98.74382
chl,2017,98.76036
chl,2018,98.76592
chl,2019,98.76592
chl,2020,98.76592
chn,2000,90.01519
chn,2001,90.01519
chn,2002,89.92578
chn,2003,89.83637
chn,2004,89.74696
chn,2005,89.65755
chn,2006,89.56814
chn,2007,89.47873
chn,2008,89.38932
chn,2009,89.29991
chn,2010,89.2105
chn,2011,90.0016
chn,2012,90.79093
chn,2013,91.57849
chn,2014,92.36429
chn,2015,93.14832
chn,2016,93.93058
chn,2017,94.71107
chn,2018,95.23318
chn,2019,95.13696
chn,2020,95.04075
civ,2000,56.85929
civ,2001,56.73991
civ,2002,56.62053
civ,2003,56.50116
civ,2004,56.38178
civ,2005,56.2624
civ,2006,56.14303
civ,2007,56.02365
civ,2008,55.90427
civ,2009,55.7849
civ,2010,55.66552
civ,2011,55.54614
civ,2012,55.42677
civ,2013,55.30739
civ,2014,55.18801
civ,2015,55.06864
civ,2016,54.94926
civ,2017,54.82989
civ,2018,54.71051
civ,2019,54.59113
civ,2020,54.47176
cod,2000,27.57383
cod,2001,28.16881
cod,2002,28.76875
cod,2003,29.37365
cod,2004,29.98351
cod,2005,30.59834
cod,2006,31.21812
cod,2007,31.84287
cod,2008,32.47257
cod,2009,33.10724
cod,2010,33.74687
cod,2011,34.39146
cod,2012,35.04101
cod,2013,35.69553
cod,2014,36.355
cod,2015,37.01944
cod,2016,37.68884
cod,2017,38.36319
cod,2018,39.04251
cod,2019,39.72679
cod,2020,40.41604
cog,2000,41.82925
cog,2001,41.82925
cog,2002,41.89287
cog,2003,41.95648
cog,2004,43.86545
cog,2005,45.78
cog,2006,47.70013
cog,2007,49.62586
cog,2008,51.55717
cog,2009,53.49407
cog,2010,55.43656
cog,2011,57.38463
cog,2012,58.19118
cog,2013,58.27823
cog,2014,58.36527
cog,2015,58.45232
cog,2016,58.53936
cog,2017,58.6264
cog,2018,58.6264
cog,2019,58.6264
cog,2020,58.6264
col,2000,81.17269
col,2001,81.26446
col,2002,81.35624
col,2003,81.44802
col,2004,81.53979
col,2005,81.63157
col,2006,81.72334
col,2007,81.65277
col,2008,81.58183
col,2009,81.51053
col,2010,81.43887
col,2011,81.36684
col,2012,81.29445
col,2013,81.22169
col,2014,81.14857
col,2015,81.07508
col,2016,81.00123
col,2017,80.89595
col,2018,80.82129
col,2019,80.657
col,2020,80.49271
cri,2000,79.8324
cri,2001,79.86648
cri,2002,79.90056
cri,2003,79.93464
cri,2004,79.96871
cri,2005,80.00279
cri,2006,80.03687
cri,2007,80.07094
cri,2008,80.10502
cri,2009,80.1391
cri,2010,80.17318
cri,2011,80.20725
cri,2012,80.24133
cri,2013,80.27541
