global,time,bx_gsr_tran_zs
world,1982,30.02625
world,1983,29.05694
world,1984,28.8112
world,1985,28.24711
world,1986,26.0045
world,1987,25.5307
world,1988,26.54194
world,1989,26.4689
world,1990,25.6493
world,1991,24.62251
world,1992,23.34609
world,1993,23.14217
world,1994,23.4168
world,1995,23.55958
world,1996,23.15444
world,1997,22.16035
world,1998,21.9057
world,1999,21.22414
world,2000,21.40619
world,2001,21.28552
world,2002,20.83551
world,2003,21.2513
world,2004,21.73975
world,2005,21.82434
world,2006,21.60292
world,2007,21.60394
world,2008,22.47457
world,2009,19.48028
world,2010,20.76376
world,2011,20.2292
world,2012,19.91121
world,2013,18.98071
world,2014,18.42219
world,2015,17.53853
world,2016,16.5239
world,2017,16.76443
world,2018,16.83893
world,2019,16.52953
world,2020,16.56126
