geo,time,se_prm_nint_fe_zs
abw,1999,83.67154
abw,2000,87.82849
abw,2003,79.78437
abw,2004,74.95997
abw,2005,80.77437
abw,2009,96.01707
afg,2007,41.76244
afg,2011,65.6757
afg,2014,58.29969
afg,2015,57.20021
ago,1998,17.71391
ago,2008,44.76549
ago,2009,47.72968
ago,2010,47.30182
alb,2010,76.81066
alb,2011,73.77609
alb,2012,80.67409
alb,2013,81.67858
alb,2014,80.44365
alb,2015,79.2749
alb,2016,79.69324
alb,2017,86.16026
alb,2018,84.23033
are,2007,41.53466
are,2012,48.01033
are,2013,46.22161
are,2015,46.52794
arm,2002,70.78246
arm,2014,87.87693
arm,2015,87.75126
arm,2016,90.35271
arm,2017,89.06839
arm,2018,85.49844
atg,2009,65.83211
atg,2011,76.88752
atg,2012,56.42202
atg,2014,70.88682
atg,2017,63.31878
atg,2018,70.95851
aze,1998,81.09061
aze,1999,86.95892
aze,2002,57.12947
aze,2003,60.8927
aze,2004,64.23581
aze,2005,58.687
aze,2006,60.76938
aze,2007,65.52921
aze,2008,70.39448
aze,2009,69.47057
aze,2010,66.32139
aze,2011,75.04874
aze,2012,75.61956
aze,2013,77.98286
aze,2014,78.37206
aze,2015,71.89633
aze,2018,73.21424
bdi,2000,24.29437
bdi,2003,30.77158
bdi,2004,32.23409
bdi,2005,31.52722
bdi,2006,56.07821
bdi,2007,52.29744
bdi,2009,57.68177
bdi,2010,73.61917
bdi,2011,73.0221
bdi,2012,72.4463
bdi,2013,73.89542
bdi,2014,73.3272
bdi,2015,71.13317
bdi,2016,66.91123
bdi,2017,58.1163
bdi,2018,57.68515
ben,2003,43.00192
ben,2004,45.57895
ben,2005,46.72267
ben,2010,58.69958
ben,2011,52.72782
ben,2018,49.27
bfa,1999,16.28899
bfa,2000,17.67588
bfa,2001,18.10503
bfa,2002,16.1085
bfa,2003,19.44122
bfa,2004,24.23821
bfa,2005,27.35723
bfa,2006,25.39465
bfa,2007,30.92103
bfa,2008,41.08282
bfa,2009,33.18713
bfa,2010,19.59893
bfa,2011,16.12039
bfa,2012,27.09216
bfa,2013,28.79122
bfa,2015,26.4346
bfa,2017,45.29137
bfa,2018,43.06499
bgd,2006,87.53197
bgd,2007,93.23756
bgd,2008,94.06333
bgd,2009,97.41588
bgd,2010,93.37419
bgr,2002,86.49525
bgr,2013,85.58678
bgr,2014,84.56054
bgr,2015,81.54595
bgr,2016,80.23964
bgr,2017,83.2536
bhr,1999,88.43106
bhr,2000,82.41438
bhr,2001,81.12823
bhr,2002,74.88873
bhr,2003,75.50241
bhr,2004,74.76428
bhr,2005,74.44519
bhr,2006,80.1572
bhr,2008,74.74595
bhr,2009,76.10609
bhr,2010,82.04312
bhr,2011,82.6108
bhr,2012,82.18586
bhr,2013,79.42111
bhr,2014,80.95711
bhr,2015,84.05721
bhr,2016,84.26361
bhr,2017,87.70508
bhr,2018,84.5687
bhs,1999,81.51848
bhs,2005,69.88786
bhs,2006,68.61102
bhs,2007,65.33762
bhs,2008,62.08668
bhs,2009,60.23055
bhs,2011,63.96736
bhs,2012,58.74016
bhs,2013,59.68354
bhs,2014,62.2208
bhs,2015,66.81789
bhs,2016,61.89684
bhs,2017,18.27323
bhs,2018,57.18464
blr,1999,77.65228
blr,2000,82.51548
blr,2013,82.29045
blr,2014,80.37712
blr,2015,80.69874
blr,2016,83.01978
blr,2017,78.15166
blr,2018,74.87146
blz,2000,70.79179
blz,2001,67.83493
blz,2004,57.86951
blz,2006,62.01811
blz,2007,62.19355
blz,2008,58.43653
blz,2009,59.58161
blz,2010,65.34884
blz,2011,61.8299
blz,2012,64.01042
blz,2013,62.2422
blz,2014,63.42381
blz,2015,61.20532
blz,2016,62.15996
blz,2017,62.90889
blz,2018,60.58745
bmu,2010,74.92958
bmu,2011,74.0634
bmu,2012,70.08798
bol,1999,73.9634
bol,2000,72.2353
bol,2001,72.61064
bol,2002,73.86886
bol,2003,73.84233
bol,2004,73.97826
bol,2005,75.4523
bol,2006,73.9688
bol,2007,68.38394
bol,2008,56.36975
bol,2009,59.91801
bol,2010,60.16946
bol,2011,62.41489
bol,2012,74.48156
bol,2013,79.35824
bol,2014,83.51875
bol,2015,88.14991
bol,2016,91.09415
bol,2017,96.5043
bol,2018,95.63994
brb,1999,76.53575
brb,2000,72.61307
brb,2001,73.03823
brb,2002,73.26834
brb,2003,82.35294
brb,2004,82.87854
brb,2005,85.46603
brb,2006,80.01579
brb,2007,82.70875
brb,2008,85.80044
brb,2009,78.53231
brb,2010,77.75354
brb,2011,76.97763
brb,2014,87.44963
brb,2017,82.02108
brb,2018,91.57626
brn,2005,62.69531
brn,2008,66.72312
brn,2009,64.43188
brn,2010,70.49279
brn,2012,70.52551
brn,2013,74.74243
brn,2014,69.4472
brn,2017,68.06907
brn,2018,68.53104
btn,2005,28.75808
btn,2013,52.0308
btn,2014,62.7098
btn,2018,64.10755
bwa,1998,24.69734
bwa,1999,25.51102
bwa,2000,25.70162
bwa,2001,27.56998
bwa,2012,52.40523
bwa,2013,52.08445
bwa,2014,42.81573
caf,2010,34.73156
che,2003,56.04703
chl,2013,83.46576
chl,2014,83.84844
chl,2015,84.95136
chl,2017,83.20072
chn,2015,77.08119
chn,2016,80.95608
chn,2017,81.97603
chn,2018,82.97871
civ,1998,22.63208
civ,1999,24.20383
civ,2000,22.06425
civ,2002,21.72602
civ,2003,25.1853
civ,2014,39.16644
civ,2015,40.728
civ,2016,64.47168
civ,2017,62.15086
civ,2018,70.16112
cmr,2009,49.82979
cmr,2011,77.75695
cmr,2014,63.24958
cmr,2015,61.95949
cmr,2016,63.38929
cmr,2017,61.82098
cmr,2018,55.75378
cod,1999,26.14781
cod,2007,42.95368
cod,2008,48.68141
cod,2009,52.06885
cod,2010,51.18365
cod,2011,56.70616
cod,2013,65.20804
cod,2014,65.9147
cog,2000,43.66046
cog,2006,51.72894
cog,2010,47.85497
col,2007,62.89961
col,2008,66.06312
col,2009,66.5428
col,2010,65.952
col,2011,68.6061
col,2012,69.15604
col,2013,71.44251
col,2014,68.14957
col,2015,67.06484
col,2016,67.51679
col,2017,65.59636
col,2018,68.34592
com,1999,18.66805
com,2013,45.55113
com,2014,41.82909
cpv,2000,66.84859
cpv,2002,68.73703
cpv,2003,78.2673
cpv,2004,76.24083
cpv,2005,84.45982
cpv,2006,83.49853
cpv,2007,87.30337
cpv,2008,85.86566
cpv,2009,89.07052
cpv,2010,92.52479
cpv,2011,92.24851
cpv,2013,94.80646
cpv,2014,94.05786
cpv,2015,92.71549
cpv,2016,90.13585
cpv,2017,96.1546
cpv,2018,96.61742
cri,2011,93.39158
cri,2012,92.85402
cri,2013,91.29473
cri,2014,92.43578
cri,2015,91.65535
cri,2016,91.41853
cri,2017,90.96389
cri,2018,85.0199
cub,1999,90.6843
cub,2000,93.12853
cub,2001,93.3548
cub,2002,96.25145
cub,2003,91.10741
cub,2004,96.48054
cub,2005,97.49838
cub,2006,97.36733
cub,2007,93.54744
cub,2008,93.97951
cub,2009,98.36174
cub,2010,98.87819
cub,2011,95.04463
cub,2012,92.73696
cub,2013,86.66889
cub,2014,88.91685
cub,2015,97.53789
cub,2016,98.99506
cub,2017,99.00202
cub,2018,97.19284
cyp,2002,91.82224
cyp,2014,93.37597
cze,2013,54.74656
cze,2017,55.32041
dji,1999,18.56661
dji,2000,19.09621
dji,2005,31.11043
dji,2007,40.83081
dji,2012,54.33293
dji,2017,57.86625
dji,2018,56.53169
dji,2019,64.3058
dma,1999,76.43114
dma,2001,62.30769
dma,2003,53.70629
dma,2004,48.50299
dma,2007,74.74804
dma,2008,75.79143
dma,2009,68.20702
dma,2011,66.78317
dma,2014,62.64969
dnk,2000,87.65807
dnk,2005,76.69077
dnk,2009,85.97303
dom,2000,56.01989
dom,2002,55.12461
