geo,time,se_prm_gint_ma_zs
abw,1999,107.70308
abw,2000,105.44959
abw,2003,100.39578
abw,2004,105.31915
abw,2005,97.83784
abw,2006,99.44675
abw,2007,106.41562
abw,2008,105.62588
abw,2009,98.86846
abw,2010,101.69731
abw,2013,103.72493
abw,2014,113.00578
afg,1974,54.15872
afg,1977,49.78861
afg,1978,52.17521
afg,1980,77.09183
afg,1981,96.91067
afg,1982,22.00504
afg,1984,33.08411
afg,1985,36.45432
afg,1993,37.9351
afg,1999,53.78765
afg,2002,229.19072
afg,2003,228.14938
afg,2005,132.9678
afg,2007,109.74353
afg,2009,119.83002
afg,2010,126.01858
afg,2011,128.28115
afg,2012,131.9785
afg,2013,135.51959
afg,2014,131.42271
afg,2015,128.48692
afg,2018,130.19382
ago,1998,80.22225
ago,2008,148.62822
ago,2009,147.60201
ago,2010,153.37827
ago,2011,193.41727
alb,1996,97.20051
alb,2000,99.32564
alb,2001,100.33956
alb,2003,97.96454
alb,2004,95.79639
alb,2005,97.42061
alb,2006,95.1472
alb,2007,96.78653
alb,2008,99.76732
alb,2009,88.21865
alb,2010,96.42998
alb,2011,97.06825
alb,2012,100.20248
alb,2013,105.53005
alb,2014,105.76165
alb,2015,110.29387
alb,2016,106.79031
alb,2017,111.01502
alb,2018,107.25466
are,1974,101.2882
are,1975,98.04505
are,1976,82.96404
are,1977,80.26804
are,1978,74.37087
are,1979,62.94632
are,1980,66.35672
are,1981,67.53477
are,1982,96.77311
are,1983,94.14642
are,1984,100.05786
are,1985,103.66874
are,1986,101.94619
are,1987,105.98554
are,1988,108.45159
are,1989,109.24639
are,1990,109.7986
are,1991,104.69979
are,1992,102.12454
are,1993,99.37982
are,1994,99.32552
are,1995,105.46329
are,1996,98.19071
are,1997,93.4895
are,1998,89.23524
are,2007,106.37198
are,2012,104.19579
are,2013,100.18217
are,2014,104.39267
are,2015,98.28109
arg,1970,120.28156
arg,1971,122.98853
arg,1975,116.68691
arg,1976,118.16658
arg,1991,92.38578
arg,1996,112.9885
arg,1997,111.36707
arg,1998,111.01077
arg,1999,105.29777
arg,2000,105.21547
arg,2001,106.99195
arg,2002,107.80657
arg,2003,106.48515
arg,2004,106.08572
arg,2005,105.37281
arg,2006,106.65662
arg,2007,104.96647
arg,2008,103.74935
arg,2009,105.26675
arg,2010,104.91168
arg,2011,105.34315
arg,2012,102.65506
arg,2013,101.59687
arg,2014,102.81287
arg,2015,105.99185
arg,2016,106.77308
arg,2017,106.36393
arm,1999,96.64072
arm,2000,96.20397
arm,2002,102.71579
arm,2003,92.49686
arm,2004,91.38771
arm,2005,100.69396
arm,2006,104.0373
arm,2008,97.35666
arm,2009,97.62086
arm,2010,104.26625
arm,2011,103.447
arm,2012,98.93369
arm,2013,95.10405
arm,2014,95.02113
arm,2015,96.08285
arm,2016,97.86932
arm,2017,95.88667
arm,2018,91.35214
atg,1975,97.86277
atg,1976,117.74194
atg,1992,123.70031
atg,2007,118.65358
atg,2008,113.96333
atg,2009,99.85694
atg,2011,105.69715
atg,2012,99.40565
atg,2014,119.97106
atg,2015,116.33238
atg,2017,96.87943
atg,2018,97.49652
aut,1971,99.24883
aut,1972,98.74948
aut,1973,97.09542
aut,1998,106.85226
aut,1999,106.60296
aut,2002,100.40534
aut,2004,101.5985
aut,2011,97.90298
aut,2012,99.62462
aut,2013,98.65956
aut,2014,97.56554
aut,2015,99.42133
aut,2016,98.86347
aut,2017,100.93894
aze,1991,99.87517
aze,1992,93.09652
aze,1993,94.05803
aze,1994,109.23449
aze,1995,96.95613
aze,1996,86.86966
aze,1997,87.61454
aze,1998,95.26313
aze,1999,96.63959
aze,2000,95.63805
aze,2001,99.96322
aze,2002,100.75606
aze,2003,94.38698
aze,2004,101.5614
aze,2005,94.07818
aze,2006,96.09134
aze,2007,90.30116
aze,2008,95.06761
aze,2009,95.22881
aze,2010,90.52027
aze,2011,99.6053
aze,2012,105.04427
aze,2013,113.8334
aze,2014,110.25872
aze,2015,100.89099
aze,2016,104.40557
aze,2017,101.17666
aze,2018,94.83458
bdi,1971,44.04566
bdi,1973,24.23739
bdi,1974,21.28757
bdi,1975,24.32968
bdi,1976,25.6819
bdi,1977,27.01325
bdi,1978,29.96621
bdi,1979,27.8835
bdi,1980,31.64518
bdi,1981,33.55599
bdi,1982,37.69688
bdi,1983,70.99598
bdi,1984,64.19421
bdi,1985,63.89304
bdi,1986,65.71791
bdi,1987,74.56609
bdi,1988,82.5331
bdi,1989,68.54139
bdi,1990,68.92298
bdi,1991,69.87137
bdi,1992,60.27798
bdi,1993,62.57183
bdi,2000,71.24565
bdi,2001,77.82775
bdi,2002,84.88324
bdi,2003,85.85253
bdi,2004,91.54917
bdi,2005,88.72248
bdi,2006,167.42605
bdi,2007,147.87648
bdi,2008,130.4881
bdi,2009,130.68487
bdi,2010,136.03075
bdi,2011,136.68204
bdi,2012,133.67224
bdi,2013,130.83411
bdi,2014,133.24319
bdi,2015,140.41274
bdi,2016,140.11878
bdi,2017,127.73903
bdi,2018,129.07338
bel,1974,96.59134
bel,1975,96.34174
bel,1976,98.99422
bel,1977,97.83777
bel,1978,101.00825
bel,1979,102.2001
bel,1980,99.75171
bel,1981,98.23741
bel,1982,94.85713
bel,1983,95.82521
bel,1984,96.07887
bel,1985,98.45554
bel,1986,100.08554
bel,1987,99.59144
bel,1988,99.19681
bel,1991,91.23602
bel,2004,95.84824
bel,2006,96.40862
bel,2007,98.00776
bel,2008,94.83866
bel,2009,93.61508
bel,2010,94.75959
bel,2011,96.43013
bel,2012,95.81548
bel,2013,98.25486
bel,2014,97.20071
bel,2015,98.10329
bel,2016,97.18425
bel,2017,96.72237
ben,1971,61.08706
ben,1972,66.15814
ben,1973,78.45543
ben,1974,63.96298
ben,1975,88.97987
ben,1976,74.3798
ben,1977,86.94371
ben,1978,81.99694
ben,1979,114.57828
ben,1980,85.26905
ben,1981,103.71876
ben,1982,101.55876
ben,1983,90.61616
ben,1984,90.02876
ben,1985,90.29443
ben,1986,87.40905
ben,1987,96.08766
ben,1988,92.99384
ben,1989,90.6459
ben,1990,94.07279
ben,1991,106.40561
ben,1992,95.63075
ben,1993,99.8499
ben,1994,85.29504
ben,1995,91.54692
ben,1996,91.2949
ben,1997,90.92261
ben,1998,101.18073
ben,2000,112.35088
ben,2001,115.08644
ben,2002,116.22368
ben,2003,113.73999
ben,2004,116.98027
ben,2005,114.01886
ben,2006,128.06654
ben,2008,165.94578
ben,2010,151.04047
ben,2011,152.7596
ben,2012,161.64856
ben,2013,160.03881
ben,2014,162.09712
ben,2015,165.86245
ben,2016,161.80362
ben,2017,153.42447
ben,2018,150.23122
bfa,1971,17.5835
bfa,1972,19.93825
bfa,1973,20.22355
bfa,1974,20.32805
bfa,1975,19.8804
bfa,1976,20.58351
bfa,1977,20.18584
bfa,1978,22.538
bfa,1979,22.78164
bfa,1980,24.5907
bfa,1981,27.63691
bfa,1982,28.92744
bfa,1983,32.68356
bfa,1984,32.56406
bfa,1985,40.3179
bfa,1987,39.82923
bfa,1988,36.13116
bfa,1989,40.02142
bfa,1990,40.72875
bfa,1991,40.56018
bfa,1992,38.80073
bfa,1993,44.56382
bfa,1994,42.21829
bfa,1995,55.77928
bfa,1996,55.28519
bfa,1999,53.67593
bfa,2000,54.1274
bfa,2001,56.36332
bfa,2002,58.08758
bfa,2003,65.04788
bfa,2004,75.64735
bfa,2005,80.92553
bfa,2006,81.58709
bfa,2007,88.18197
bfa,2008,93.76374
bfa,2009,87.64244
bfa,2010,93.04386
bfa,2011,93.31308
bfa,2012,95.82937
bfa,2013,98.34788
bfa,2014,104.24473
bfa,2015,108.6318
bfa,2016,109.57798
bfa,2017,111.70716
bfa,2018,113.96378
bgd,1976,145.98424
bgd,1981,131.1411
bgd,2005,120.23848
bgd,2006,121.6297
bgd,2007,104.79625
bgd,2008,106.48229
bgd,2009,109.25808
bgd,2010,114.32137
bgd,2011,130.87991
bgd,2013,125.10199
bgd,2015,116.69252
bgd,2016,101.88656
bgd,2017,96.36066
bgd,2018,101.94605
bgr,1986,102.69341
bgr,1987,106.26391
bgr,1988,96.01168
bgr,1989,93.38062
bgr,1990,87.79826
bgr,1991,91.13122
bgr,1992,93.96857
bgr,1993,94.63014
bgr,1994,99.4769
bgr,1995,101.48828
bgr,1996,107.79759
bgr,1997,106.73769
bgr,1998,110.83365
bgr,1999,100.73465
bgr,2000,102.64349
bgr,2001,104.32708
bgr,2002,102.39811
bgr,2003,105.47109
bgr,2004,107.16262
bgr,2005,99.53664
bgr,2006,105.60128
bgr,2007,117.09047
bgr,2008,114.94279
bgr,2009,105.04785
bgr,2010,102.67787
bgr,2011,100.30167
bgr,2012,99.59464
bgr,2013,96.65345
bgr,2014,96.24042
bgr,2015,92.96636
bgr,2016,90.57892
bgr,2017,90.64485
bhr,1982,96.56593
bhr,1983,95.41203
bhr,1984,98.4276
bhr,1985,105.05678
bhr,1986,108.7811
bhr,1987,103.19644
bhr,1988,102.43191
bhr,1989,101.9238
bhr,1991,103.05263
bhr,1992,80.61936
bhr,1993,100.13356
bhr,1994,104.10324
bhr,1995,103.07156
bhr,1996,105.59311
bhr,1998,101.37688
bhr,1999,100.41096
bhr,2000,95.30804
bhr,2001,88.13963
bhr,2002,88.59603
bhr,2003,87.74974
bhr,2004,88.3329
bhr,2005,86.49351
bhr,2006,89.99533
bhr,2008,85.85265
bhr,2009,88.86591
bhr,2010,94.07902
bhr,2011,95.80347
bhr,2012,95.54439
bhr,2013,93.63965
bhr,2014,99.65446
bhr,2015,102.6612
bhr,2016,102.99528
bhr,2017,97.59457
bhr,2018,88.81982
bhs,1995,98.48271
bhs,1996,100.31634
bhs,1997,88.81239
bhs,1998,95.91973
bhs,1999,121.73489
bhs,2004,101.44642
bhs,2005,102.77687
bhs,2006,102.62232
bhs,2007,107.09265
bhs,2008,105.53423
bhs,2009,99.16747
bhs,2010,86.35783
bhs,2011,92.62425
bhs,2012,88.13828
bhs,2013,85.12397
bhs,2014,84.26428
bhs,2015,86.14244
bhs,2016,81.82714
bhs,2017,83.00034
bhs,2018,82.75255
blr,1993,96.475
blr,1994,97.76756
blr,1995,98.79092
blr,1996,103.74803
blr,1997,105.16918
blr,1998,104.19939
blr,1999,134.91179
blr,2000,103.17371
blr,2001,102.80219
blr,2002,100.52443
blr,2003,99.75952
blr,2004,97.9846
blr,2005,100.10624
blr,2006,105.98091
blr,2007,107.7623
blr,2008,109.30704
blr,2009,104.16229
blr,2010,100.04713
blr,2011,98.91388
blr,2012,97.85873
blr,2013,97.68287
blr,2014,101.18673
blr,2015,102.92758
blr,2016,106.64436
blr,2017,98.26677
blr,2018,94.02399
blz,1992,137.81879
blz,1995,144.47439
blz,1996,150
blz,1999,128.76013
blz,2000,122.33065
blz,2001,99.72315
blz,2003,99.0461
blz,2004,101.6671
blz,2005,105.54273
blz,2006,111.18987
blz,2007,109.83565
blz,2008,107.51899
blz,2009,103.24544
blz,2010,104.66295
blz,2011,102.06601
blz,2012,104.25856
blz,2013,105.39918
blz,2014,104.86039
blz,2015,107.47785
blz,2016,103.52021
blz,2017,103.92514
blz,2018,99.27705
bmu,1975,77.02407
bmu,2001,95.24941
bmu,2002,98.56115
bmu,2003,106.06796
bmu,2010,100.27174
bmu,2011,102.77008
bmu,2012,99.15254
bmu,2013,96.26437
bmu,2015,75.60241
bol,1990,139.75092
bol,1991,133.09691
bol,1992,129.92827
bol,1993,133.31011
bol,1994,135.20972
bol,1995,137.04708
bol,1996,133.81727
bol,1997,134.66692
bol,1998,129.44043
bol,1999,131.57172
bol,2000,128.01124
bol,2001,126.59115
bol,2002,127.0852
bol,2003,122.5292
bol,2004,124.55234
bol,2005,125.24212
bol,2006,125.31422
bol,2007,124.0654
bol,2008,116.20498
bol,2009,96.73226
bol,2010,90.50245
bol,2011,88.00003
bol,2012,92.16413
bol,2013,94.30229
bol,2014,93.55185
bol,2015,94.92202
