geo,time,dc_oda_totl_gn_zs
aus,1960,0.37
aus,1961,0.439
aus,1962,0.426
aus,1963,0.508
aus,1964,0.482
aus,1965,0.529
aus,1966,0.556
aus,1967,0.615
aus,1968,0.565
aus,1969,0.599
aus,1970,0.615
aus,1971,0.561
aus,1972,0.615
aus,1973,0.466
aus,1974,0.551
aus,1975,0.655
aus,1976,0.408
aus,1977,0.419
aus,1978,0.546
aus,1979,0.528
aus,1980,0.484
aus,1981,0.411
aus,1982,0.561
aus,1983,0.49
aus,1984,0.45
aus,1985,0.483
aus,1986,0.466
aus,1987,0.335
aus,1988,0.461
aus,1989,0.376
aus,1990,0.34
aus,1991,0.375
aus,1992,0.366
aus,1993,0.347
aus,1994,0.342
aus,1995,0.343
aus,1996,0.274
aus,1997,0.27
aus,1998,0.271
aus,1999,0.257
aus,2000,0.267
aus,2001,0.252
aus,2002,0.256
aus,2003,0.247
aus,2004,0.245
aus,2005,0.248
aus,2006,0.295
aus,2007,0.323
aus,2008,0.316
aus,2009,0.294
aus,2010,0.323
aus,2011,0.344
aus,2012,0.361
aus,2013,0.331
aus,2014,0.314
aus,2015,0.291
aus,2016,0.266
aut,1960,0.002
aut,1961,0.042
aut,1962,0.031
aut,1963,0.053
aut,1964,0.076
aut,1965,0.114
aut,1966,0.122
aut,1967,0.139
aut,1968,0.141
aut,1969,0.113
aut,1970,0.073
aut,1971,0.073
aut,1972,0.086
aut,1973,0.146
aut,1974,0.181
aut,1975,0.211
aut,1976,0.124
aut,1977,0.227
aut,1978,0.268
aut,1979,0.193
aut,1980,0.233
aut,1981,0.334
aut,1982,0.356
aut,1983,0.236
aut,1984,0.282
aut,1985,0.377
aut,1986,0.211
aut,1987,0.172
aut,1988,0.24
aut,1989,0.225
aut,1990,0.106
aut,1991,0.181
aut,1992,0.111
aut,1993,0.114
aut,1994,0.165
aut,1995,0.268
aut,1996,0.229
aut,1997,0.243
aut,1998,0.219
aut,1999,0.238
aut,2000,0.234
aut,2001,0.342
aut,2002,0.255
aut,2003,0.202
aut,2004,0.233
aut,2005,0.522
aut,2006,0.469
aut,2007,0.498
aut,2008,0.428
aut,2009,0.302
aut,2010,0.322
aut,2011,0.267
aut,2012,0.28
aut,2013,0.274
aut,2014,0.284
aut,2015,0.354
aut,2016,0.424
bel,1960,0.883
bel,1961,0.759
bel,1962,0.539
bel,1963,0.573
bel,1964,0.458
bel,1965,0.598
bel,1966,0.417
bel,1967,0.454
bel,1968,0.421
bel,1969,0.5
bel,1970,0.463
bel,1971,0.502
bel,1972,0.548
bel,1973,0.512
bel,1974,0.503
bel,1975,0.597
bel,1976,0.497
bel,1977,0.467
bel,1978,0.55
bel,1979,0.579
bel,1980,0.497
bel,1981,0.589
bel,1982,0.58
bel,1983,0.587
bel,1984,0.575
bel,1985,0.547
bel,1986,0.476
bel,1987,0.479
bel,1988,0.394
bel,1989,0.458
bel,1990,0.456
bel,1991,0.414
bel,1992,0.391
bel,1993,0.391
bel,1994,0.318
bel,1995,0.383
bel,1996,0.342
bel,1997,0.31
bel,1998,0.352
bel,1999,0.303
bel,2000,0.358
bel,2001,0.368
bel,2002,0.432
bel,2003,0.602
bel,2004,0.41
bel,2005,0.526
bel,2006,0.499
bel,2007,0.426
bel,2008,0.479
bel,2009,0.55
bel,2010,0.64
bel,2011,0.536
bel,2012,0.475
bel,2013,0.453
bel,2014,0.463
bel,2015,0.416
bel,2016,0.483
can,1960,0.164
can,1961,0.155
can,1962,0.104
can,1963,0.152
can,1964,0.167
can,1965,0.188
can,1966,0.337
can,1967,0.317
can,1968,0.289
can,1969,0.291
can,1970,0.41
can,1971,0.417
can,1972,0.441
can,1973,0.417
can,1974,0.474
can,1975,0.541
can,1976,0.457
can,1977,0.502
can,1978,0.525
can,1979,0.475
can,1980,0.434
can,1981,0.43
can,1982,0.414
can,1983,0.451
can,1984,0.5
can,1985,0.491
can,1986,0.482
can,1987,0.469
can,1988,0.498
can,1989,0.439
can,1990,0.441
can,1991,0.455
can,1992,0.459
can,1993,0.451
can,1994,0.427
can,1995,0.377
can,1996,0.317
can,1997,0.342
can,1998,0.296
can,1999,0.277
can,2000,0.255
can,2001,0.217
can,2002,0.279
can,2003,0.238
can,2004,0.268
can,2005,0.337
can,2006,0.294
can,2007,0.289
can,2008,0.325
can,2009,0.303
can,2010,0.336
can,2011,0.32
can,2012,0.316
can,2013,0.275
can,2014,0.241
can,2015,0.28
can,2016,0.261
che,1960,0.041
che,1961,0.082
che,1962,0.046
che,1963,0.053
che,1964,0.072
che,1965,0.085
che,1966,0.087
che,1967,0.082
che,1968,0.141
che,1969,0.159
che,1970,0.14
che,1971,0.11
che,1972,0.205
che,1973,0.154
che,1974,0.138
che,1975,0.185
che,1976,0.191
che,1977,0.188
che,1978,0.197
che,1979,0.214
che,1980,0.239
che,1981,0.24
che,1982,0.25
che,1983,0.314
che,1984,0.297
che,1985,0.311
che,1986,0.298
che,1987,0.306
che,1988,0.319
che,1989,0.299
che,1990,0.3
che,1991,0.341
che,1992,0.433
che,1993,0.309
che,1994,0.348
che,1995,0.326
che,1996,0.319
che,1997,0.319
che,1998,0.306
che,1999,0.339
che,2000,0.324
che,2001,0.331
che,2002,0.317
che,2003,0.362
che,2004,0.386
che,2005,0.422
che,2006,0.375
che,2007,0.371
che,2008,0.422
che,2009,0.442
che,2010,0.393
che,2011,0.458
che,2012,0.468
che,2013,0.459
che,2014,0.505
che,2015,0.514
che,2016,0.531
cze,1998,0.029
cze,1999,0.028
cze,2000,0.033
cze,2001,0.048
cze,2002,0.065
cze,2003,0.111
