geo,time,bm_gsr_tran_zs
abw,1986,10.0442
abw,1987,12.25089
abw,1988,10.91088
abw,1989,7.88065
abw,1990,9.35404
abw,1991,8.90023
abw,1992,11.74415
abw,1993,10.72679
abw,1994,8.40459
abw,1995,1.26991
abw,1996,12.36895
abw,1997,12.54283
abw,1998,14.88038
abw,1999,32.45219
abw,2000,43.37729
abw,2001,43.15223
abw,2002,35.47354
abw,2003,36.52443
abw,2004,28.13339
abw,2005,22.38004
abw,2006,22.33972
abw,2007,21.61605
abw,2008,24.32623
abw,2009,18.74647
abw,2010,16.20888
abw,2011,23.13196
abw,2012,16.28947
abw,2013,14.76949
abw,2014,13.7776
abw,2015,13.05773
abw,2016,12.26142
abw,2017,12.21246
abw,2018,13.23586
abw,2019,13.37855
abw,2020,12.02161
afg,1979,58.50622
afg,1980,72.35049
afg,1981,73.94237
afg,1982,79.42308
afg,1983,79.54183
afg,1984,82.56881
afg,1985,80.4218
afg,1986,84.4898
afg,1987,77.85029
afg,1988,82.05
afg,1989,80.16441
afg,2008,69.19198
afg,2009,62.10677
afg,2010,67.35796
afg,2011,57.77019
afg,2012,62.70742
afg,2013,69.37512
afg,2014,58.66333
afg,2015,73.49767
afg,2016,80.45454
afg,2017,79.86361
afg,2018,70.39912
afg,2019,76.01574
afg,2020,83.78691
ago,1985,41.03588
ago,1986,43.01193
ago,1987,39.94326
ago,1988,30.56085
ago,1989,33.25277
ago,1990,27.28291
ago,1991,29.3685
ago,1992,30.27886
ago,1993,28.11729
ago,1994,20.0581
ago,1995,14.78741
ago,1996,12.821
ago,1997,14.63488
ago,1998,12.02574
ago,1999,15.22802
ago,2000,11.53338
ago,2001,11.15593
ago,2002,14.35249
ago,2003,22.84221
ago,2004,18.26955
ago,2005,19.44089
ago,2006,21.65744
ago,2007,19.8127
ago,2008,16.80667
ago,2009,21.67785
ago,2010,16.46832
ago,2011,15.33331
ago,2012,20.03394
ago,2013,20.62851
ago,2014,22.09902
ago,2015,23.48913
ago,2016,24.64803
ago,2017,22.53608
ago,2018,32.90559
ago,2019,38.23999
ago,2020,36.48272
alb,1980,43.71429
alb,1981,40.82474
alb,1982,43.9819
alb,1983,43.57466
alb,1984,35.81152
alb,1985,27.65363
alb,1986,33.35025
alb,1987,26.55
alb,1988,34.69466
alb,1989,32.90323
alb,1990,26.28866
alb,1991,15.08982
alb,1992,42.55892
alb,1993,31.37122
alb,1994,35.75849
alb,1995,38.53035
alb,1996,43.29461
alb,1997,47.99826
alb,1998,57.98066
alb,1999,55.24218
alb,2000,21.87282
alb,2001,24.13871
alb,2002,21.64823
alb,2003,19.48205
alb,2004,19.35838
alb,2005,16.38734
alb,2006,15.896
alb,2007,12.77313
alb,2008,14.77022
alb,2009,14.6248
alb,2010,15.79627
alb,2011,17.00788
alb,2012,17.60035
alb,2013,11.08787
alb,2014,10.94988
alb,2015,11.46549
alb,2016,13.23139
alb,2017,11.13048
alb,2018,10.92873
alb,2019,10.45209
alb,2020,15.32902
and,2019,16.97242
arg,1976,46.36119
arg,1977,47.5698
arg,1978,32.96632
arg,1979,32.19616
arg,1980,33.55333
arg,1981,33.86721
arg,1982,36.27354
arg,1983,33.13849
arg,1984,39.27479
arg,1985,32.28166
arg,1986,29.8
arg,1987,37.17849
arg,1988,34.12287
arg,1989,30.64805
arg,1990,30.03205
arg,1991,33.61617
arg,1992,29.34639
arg,1993,28.17954
arg,1994,29.7691
arg,1995,29.18211
arg,1996,30.06935
arg,1997,31.31472
arg,1998,30.0962
arg,1999,27.54243
arg,2000,26.6087
arg,2001,25.37708
arg,2002,19.65165
arg,2003,20.6214
arg,2004,24.96891
arg,2005,26.5234
arg,2006,26.24696
arg,2007,27.20327
arg,2008,28.38519
arg,2009,21.27468
arg,2010,25.20914
arg,2011,25.91521
arg,2012,25.64699
arg,2013,26.54485
arg,2014,23.08515
arg,2015,23.56907
arg,2016,20.84896
arg,2017,20.5493
arg,2018,20.23123
arg,2019,19.819
arg,2020,17.98845
arm,1993,73.1434
arm,1994,64.91298
arm,1995,65.07366
arm,1996,63.38173
arm,1997,50.45772
arm,1998,56.63357
arm,1999,48.98637
arm,2000,56.70283
arm,2001,40.88537
arm,2002,43.27085
arm,2003,42.99116
arm,2004,35.76864
arm,2005,36.6666
arm,2006,33.99837
arm,2007,37.80311
arm,2008,40.72347
arm,2009,35.82887
arm,2010,34.97276
arm,2011,33.45591
arm,2012,31.45961
arm,2013,29.13258
arm,2014,26.85871
arm,2015,22.43738
arm,2016,22.96922
arm,2017,23.28637
arm,2018,25.48031
arm,2019,25.91483
arm,2020,41.19218
atg,1977,48.46154
atg,1978,54.05705
atg,1979,59.36239
atg,1980,60.50076
