global,time,dt_nfl_undp_cd
world,1968,232600006.10352
world,1969,168139999.38965
world,1970,197800003.05176
world,1971,236339996.33789
world,1972,263750000
world,1973,256260009.76562
world,1974,268649993.89648
world,1975,394260009.76562
world,1976,353230010.98633
world,1977,319389984.13086
world,1978,414369995.11719
world,1979,511119995.11719
world,1980,651479980.46875
world,1981,780900024.41406
world,1982,706140014.64844
world,1983,612570007.32422
world,1984,591419982.91016
world,1985,628299987.79297
world,1986,752960021.97266
world,1987,769000000
world,1988,890340026.85547
world,1989,957450012.20703
world,1990,912700012.20703
world,1991,934109985.35156
world,1992,794760009.76562
world,1993,683160034.17969
world,1994,556260009.76562
world,1995,507160003.66211
world,1996,558270019.53125
world,1997,671940002.44141
world,1998,608760009.76562
world,1999,513380004.88281
world,2000,395500000
world,2001,286339996.33789
world,2002,277570007.32422
world,2003,301510009.76562
world,2004,388510009.76562
world,2005,397860015.86914
world,2006,435910003.66211
world,2007,439079986.57227
world,2008,495950012.20703
world,2009,630779968.26172
world,2010,601599975.58594
world,2011,488970001.2207
world,2012,483132904.05273
world,2013,465174530.0293
world,2014,458978729.24805
world,2015,419924499.51172
world,2016,376965332.03125
world,2017,346588653.56445
world,2018,301519073.48633
world,2019,370724395.75195
