global,time,ne_imp_gnfs_zs
world,1970,12.81171
world,1971,12.90542
world,1972,13.19735
world,1973,14.71387
world,1974,18.20617
world,1975,17.25855
world,1976,17.88392
world,1977,18.12689
world,1978,17.75226
world,1979,19.33653
world,1980,20.83774
world,1981,20.20491
world,1982,19.4581
world,1983,18.6255
world,1984,18.91712
world,1985,18.2637
world,1986,17.15636
world,1987,17.6958
world,1988,18.23335
world,1989,19.0234
world,1990,19.24034
world,1991,18.77529
world,1992,19.50284
world,1993,18.58697
world,1994,19.06611
world,1995,20.3134
world,1996,20.85242
world,1997,21.62646
world,1998,21.54152
world,1999,21.6746
world,2000,23.48217
world,2001,23.02648
world,2002,23.03164
world,2003,23.80901
world,2004,25.58329
world,2005,26.7978
world,2006,28.29308
world,2007,29.13623
world,2008,30.42759
world,2009,25.79047
world,2010,27.95293
world,2011,29.74974
world,2012,29.44766
world,2013,29.39044
world,2014,29.24053
world,2015,27.58535
world,2016,26.65863
world,2017,27.58496
world,2018,28.55638
world,2019,27.75805
world,2020,25.65932
