global,time,se_prm_tcaq_fe_zs
world,2013,87.87961
world,2014,87.36859
world,2015,86.76365
world,2016,85.36672
world,2017,86.22633
world,2018,86.26799
world,2019,84.92143
world,2020,83.20984
