geo,time,sp_pop_scie_rd_p6
ago,2011,47.48012
ago,2016,18.81599
alb,2008,155.52783
are,2015,1980.47815
are,2016,2383.08382
are,2018,2378.88895
arg,1997,695.61942
arg,1998,704.84088
arg,1999,713.0788
arg,2000,716.55644
arg,2001,688.2777
arg,2002,692.19186
arg,2003,718.52276
arg,2004,765.64017
arg,2005,819.37769
arg,2006,891.83275
arg,2007,974.71808
arg,2008,1035.99886
arg,2009,1035.62531
arg,2010,1123.83311
arg,2011,1180.67303
arg,2012,1203.37119
arg,2013,1198.26439
arg,2014,1206.94193
arg,2015,1230.53948
arg,2016,1259.64008
arg,2017,1210.45658
arg,2018,1211.42035
asm,2002,84.63101
asm,2003,403.33423
asm,2004,150.80176
asm,2005,100.73537
aus,1996,3355.86511
aus,1998,3382.17189
aus,2000,3475.32527
aus,2002,3771.53817
aus,2004,4084.15159
aus,2006,4248.25649
aus,2008,4343.12653
aus,2010,4532.40149
aut,1998,2327.40749
aut,2002,2965.68455
aut,2004,3158.79469
aut,2005,3449.33454
aut,2006,3524.13895
aut,2007,3810.03152
aut,2008,4136.92593
aut,2009,4140.10453
aut,2010,4349.71722
aut,2011,4390.34667
aut,2012,4669.44719
aut,2013,4724.72032
aut,2014,4947.87477
aut,2015,5019.43848
aut,2016,5224.35435
aut,2017,5387.92896
aut,2018,5733.07565
bdi,2012,20.928
bdi,2018,23.43546
bel,1996,2461.70357
bel,1997,2568.80419
bel,1998,2695.24276
bel,1999,2899.1808
bel,2000,2970.19422
bel,2001,3123.98921
bel,2002,2958.84489
bel,2003,2967.37
bel,2004,3091.60518
bel,2005,3142.7299
bel,2006,3284.43073
bel,2007,3395.01749
bel,2008,3411.75263
bel,2009,3519.85499
bel,2010,3732.83127
bel,2011,3875.64397
bel,2012,4113.26364
bel,2013,4155.91094
bel,2014,4528.91488
bel,2015,4711.04559
bel,2016,4780.51719
bel,2017,4729.55358
bel,2018,5023.26301
bfa,2010,47.57672
bgr,1996,1778.95
bgr,1997,1458.87376
bgr,1998,1471.18278
bgr,1999,1311.51638
bgr,2000,1185.17766
bgr,2001,1162.19205
bgr,2002,1172.479
bgr,2003,1228.67973
bgr,2004,1268.87888
bgr,2005,1307.79884
bgr,2006,1354.47304
bgr,2007,1478.61752
bgr,2008,1513.00749
bgr,2009,1601.3888
bgr,2010,1478.65161
bgr,2011,1613.03219
bgr,2012,1540.76839
bgr,2013,1683.79312
bgr,2014,1821.92174
