global,time,vc_ihr_psrc_ma_p5
world,1990,10.89544
world,1991,11.18934
world,1992,11.51479
world,1993,11.84139
world,1994,11.82428
world,1995,11.59946
world,1996,11.23831
world,1997,11.01439
world,1998,10.9472
world,1999,10.76596
world,2000,10.88791
world,2001,11.03673
world,2002,11.02436
world,2003,10.77353
world,2004,10.36356
world,2005,10.07983
world,2006,9.93481
world,2007,9.64563
world,2008,9.73939
world,2009,9.61961
world,2010,9.59537
world,2011,9.82128
world,2012,9.90112
world,2013,9.71426
world,2014,9.76625
world,2015,9.63504
world,2016,9.70146
world,2017,9.67552
world,2018,9.32646
