geo,time,sp_dyn_to65_ma_zs
abw,1960,63.021
abw,1961,63.62625
abw,1962,64.2315
abw,1963,64.78999
abw,1964,65.34847
abw,1965,65.90696
abw,1966,66.46545
abw,1967,67.02393
abw,1968,67.41656
abw,1969,67.80919
abw,1970,68.20182
abw,1971,68.59445
abw,1972,68.98708
abw,1973,69.46744
abw,1974,69.9478
abw,1975,70.42817
abw,1976,70.90853
abw,1977,71.3889
abw,1978,72.02842
abw,1979,72.66794
abw,1980,73.30746
abw,1981,73.94697
abw,1982,74.58649
abw,1983,74.70036
abw,1984,74.81423
abw,1985,74.9281
abw,1986,75.04197
abw,1987,75.15584
abw,1988,75.26979
abw,1989,75.38374
abw,1990,75.49769
abw,1991,75.61163
abw,1992,75.72558
abw,1993,75.76352
abw,1994,75.80147
abw,1995,75.83941
abw,1996,75.87736
abw,1997,75.9153
abw,1998,76.03484
abw,1999,76.15438
abw,2000,76.27392
abw,2001,76.39347
abw,2002,76.51301
abw,2003,76.7652
abw,2004,77.01739
abw,2005,77.26958
abw,2006,77.52177
abw,2007,77.77396
abw,2008,78.02917
abw,2009,78.28437
abw,2010,78.53958
abw,2011,78.79479
abw,2012,79.04999
abw,2013,79.30617
abw,2014,79.56234
abw,2015,79.81852
abw,2016,80.07469
abw,2017,80.33087
abw,2018,80.58383
abw,2019,80.83679
abw,2020,81.08975
afg,1960,17.79829
afg,1961,18.35526
afg,1962,18.91223
afg,1963,19.46195
afg,1964,20.01167
afg,1965,20.56139
afg,1966,21.11111
afg,1967,21.66082
afg,1968,22.28211
afg,1969,22.90339
afg,1970,23.52467
afg,1971,24.14596
afg,1972,24.76724
afg,1973,25.49372
afg,1974,26.2202
afg,1975,26.94668
afg,1976,27.67316
afg,1977,28.39964
afg,1978,29.27739
afg,1979,30.15514
afg,1980,31.03289
afg,1981,31.91064
afg,1982,32.7884
afg,1983,33.74181
afg,1984,34.69522
afg,1985,35.64863
afg,1986,36.60204
afg,1987,37.55546
afg,1988,38.49655
afg,1989,39.43765
afg,1990,40.37875
afg,1991,41.31984
afg,1992,42.26094
afg,1993,43.03472
afg,1994,43.8085
afg,1995,44.58228
afg,1996,45.35606
afg,1997,46.12985
afg,1998,46.8231
afg,1999,47.51636
afg,2000,48.20962
afg,2001,48.90288
afg,2002,49.59613
afg,2003,50.39815
afg,2004,51.20017
afg,2005,52.00219
afg,2006,52.8042
afg,2007,53.60622
afg,2008,54.44343
afg,2009,55.28064
afg,2010,56.11785
afg,2011,56.95505
afg,2012,57.79226
afg,2013,58.42387
afg,2014,59.05548
afg,2015,59.68709
afg,2016,60.31869
afg,2017,60.9503
afg,2018,61.49426
afg,2019,62.03821
afg,2020,62.58217
ago,1960,25.5113
ago,1961,25.80596
ago,1962,26.10062
ago,1963,26.4759
ago,1964,26.85118
ago,1965,27.22646
ago,1966,27.60174
ago,1967,27.97702
ago,1968,28.39457
ago,1969,28.81212
ago,1970,29.22967
ago,1971,29.64722
ago,1972,30.06477
ago,1973,30.44391
ago,1974,30.82305
ago,1975,31.20219
ago,1976,31.58133
ago,1977,31.96047
ago,1978,32.20083
ago,1979,32.44118
ago,1980,32.68154
ago,1981,32.9219
ago,1982,33.16226
ago,1983,33.30737
ago,1984,33.45248
ago,1985,33.59759
ago,1986,33.7427
ago,1987,33.88781
ago,1988,33.75271
ago,1989,33.61761
ago,1990,33.48251
ago,1991,33.34741
ago,1992,33.21231
ago,1993,33.19765
ago,1994,33.183
ago,1995,33.16835
ago,1996,33.1537
