global,time,ic_reg_proc_ma
world,2003,10.22388
world,2004,9.86111
world,2005,9.84663
world,2006,9.7485
world,2007,9.41176
world,2008,8.90058
world,2009,8.48837
world,2010,8.34302
world,2011,7.98276
world,2012,7.94944
world,2013,7.81889
world,2014,7.65984
world,2015,7.47421
world,2016,7.26026
world,2017,7.06832
world,2018,6.82147
world,2019,6.60319
