global,time,en_co2_bldg_zs
world,1960,20.3456
world,1961,20.23281
world,1962,20.76277
world,1963,20.67555
world,1964,19.48226
world,1965,19.22605
world,1966,18.71998
world,1967,18.43811
world,1968,18.09593
world,1969,18.09799
world,1970,19.89445
world,1971,18.61556
world,1972,18.4324
world,1973,17.56572
world,1974,16.9479
world,1975,17.17345
world,1976,17.13704
world,1977,16.51229
world,1978,16.48094
world,1979,15.88546
world,1980,15.11823
world,1981,14.84847
world,1982,15.04377
world,1983,14.81158
world,1984,15.12373
world,1985,15.34856
world,1986,15.23755
world,1987,14.92588
world,1988,14.70635
world,1989,14.1184
world,1990,13.06238
world,1991,13.1181
world,1992,12.63794
world,1993,12.85674
world,1994,12.40883
world,1995,12.4415
world,1996,12.49571
world,1997,12.23995
world,1998,11.46149
world,1999,11.73356
world,2000,11.37644
world,2001,11.30304
world,2002,11.08894
world,2003,10.97654
world,2004,10.66154
world,2005,10.31891
world,2006,9.86239
world,2007,9.47157
world,2008,9.63677
world,2009,9.61584
world,2010,9.20483
world,2011,8.80571
world,2012,8.63235
world,2013,8.80433
world,2014,8.59532
