geo,time,gc_tax_ypkg_zs
afg,2006,17.98461
afg,2007,22.00881
afg,2008,27.47514
afg,2009,30.53128
afg,2010,27.39802
afg,2011,28.37741
afg,2012,32.29654
afg,2013,34.09166
afg,2014,40.88053
afg,2015,42.9053
afg,2016,21.65935
afg,2017,22.02628
ago,1999,79.29377
ago,2000,89.39852
ago,2001,61.73235
ago,2002,74.92739
ago,2003,73.51972
ago,2004,76.48764
ago,2005,79.92095
ago,2006,85.14404
ago,2007,81.82762
ago,2008,81.07838
ago,2009,66.36193
ago,2010,71.99066
ago,2011,76.45727
ago,2012,78.00692
ago,2013,74.85788
ago,2014,69.92512
ago,2015,68.68807
ago,2016,68.50561
ago,2017,69.90996
ago,2018,74.72572
ago,2019,75.06008
alb,1995,13.30593
alb,1996,16.22797
alb,1997,10.94628
alb,1998,11.41443
alb,2002,20.76227
alb,2003,19.30993
alb,2004,20.54048
alb,2011,19.80536
alb,2012,19.09073
alb,2013,19.75387
alb,2014,19.07504
alb,2015,20.5684
alb,2016,16.51652
alb,2017,21.76561
alb,2018,23.38268
alb,2019,26.0064
are,1997,0
are,1998,0
are,1999,0
are,2011,0
are,2012,0
are,2013,0
are,2014,0
are,2015,0
are,2016,0
are,2017,0
are,2018,0
are,2019,0
arg,1990,5.13374
arg,1991,4.98797
arg,1992,6.68777
arg,1993,15.2942
arg,1994,19.43338
arg,1995,17.95042
arg,1996,21.0877
arg,1997,21.32402
arg,1998,24.15008
arg,1999,25.00495
arg,2000,25.10696
arg,2001,26.56162
arg,2002,18.70318
arg,2003,22.04507
arg,2004,24.20235
arg,2005,25.24702
arg,2006,25.02568
arg,2007,20.5627
arg,2008,18.66942
arg,2009,19.2028
arg,2010,19.16405
arg,2011,20.77795
arg,2012,21.47424
arg,2013,23.3333
arg,2014,24.53458
arg,2015,27.22465
arg,2016,21.86487
arg,2017,22.89825
arg,2018,18.51414
arg,2019,14.9087
arm,2004,19.63131
arm,2005,22.7574
arm,2006,26.36031
arm,2007,24.33474
arm,2008,22.64446
arm,2009,27.38863
arm,2010,25.69228
arm,2011,27.52373
arm,2012,28.18281
arm,2013,40.15277
arm,2014,39.17559
arm,2015,40.46733
arm,2016,44.06939
arm,2017,40.60898
arm,2018,43.63978
arm,2019,40.54463
aus,1972,66.68344
aus,1973,67.4372
aus,1974,68.97248
aus,1975,71.71303
aus,1976,69.92317
aus,1977,70.70109
aus,1978,71.54119
aus,1979,67.92606
aus,1980,67.64684
aus,1981,68.49847
aus,1982,69.7637
aus,1983,68.25752
aus,1984,66.03047
aus,1985,66.70442
aus,1986,67.02073
aus,1987,68.35216
aus,1988,68.4214
aus,1989,70.21932
aus,1990,70.8639
aus,1991,71.88932
aus,1992,72.17993
aus,1993,72.37801
aus,1994,71.10937
aus,1995,70.43052
aus,1996,71.40486
aus,1997,72.60612
aus,1998,72.80827
aus,1999,73.40398
aus,2000,75.05751
aus,2001,70.859
aus,2002,68.89501
aus,2003,68.7223
aus,2004,69.37785
aus,2005,71.02654
aus,2006,71.80062
aus,2007,72.21594
aus,2008,72.91612
aus,2009,72.3571
aus,2010,69.87971
aus,2011,70.94909
aus,2012,72.9041
aus,2013,71.67817
aus,2014,70.93398
aus,2015,72.79993
aus,2016,71.79696
aus,2017,72.35471
aus,2018,73.12943
aus,2019,74.32665
aut,1972,32.05437
aut,1973,30.95283
aut,1974,33.75754
aut,1975,33.55085
aut,1976,32.47857
aut,1977,33.06378
aut,1978,36.7435
aut,1979,36.32942
aut,1980,36.73376
aut,1981,37.07435
aut,1982,36.44256
aut,1983,35.7733
aut,1984,35.74447
aut,1985,35.3636
aut,1986,35.53765
aut,1987,33.89532
aut,1988,35.41442
aut,1989,33.18238
aut,1990,34.76332
aut,1991,35.96191
aut,1992,36.86391
aut,1993,38.17462
aut,1994,36.77522
aut,1995,44.94171
aut,1996,46.47959
aut,1997,47.22536
aut,1998,47.46527
aut,1999,46.5329
aut,2000,46.50961
aut,2001,49.31341
aut,2002,47.04136
aut,2003,46.98404
aut,2004,46.73226
aut,2005,46.19124
aut,2006,46.84883
aut,2007,48.03232
aut,2008,48.94233
aut,2009,45.52062
aut,2010,45.78435
aut,2011,45.95085
aut,2012,46.26123
aut,2013,46.70377
aut,2014,47.54115
aut,2015,48.62214
aut,2016,45.98713
aut,2017,46.64143
aut,2018,47.61621
aut,2019,47.93009
aze,1994,17.53552
aze,1995,30.85705
aze,1996,28.41675
aze,1997,28.41833
aze,1998,29.59203
aze,1999,30.18156
aze,2008,53.07844
aze,2009,38.24021
aze,2010,39.25196
aze,2011,44.94495
aze,2012,43.92538
aze,2013,41.68635
aze,2014,39.25412
aze,2015,37.91632
aze,2016,35.57509
aze,2017,35.92172
aze,2018,33.64632
aze,2019,30.04028
bdi,1973,19.60317
bdi,1974,19.84154
bdi,1975,22.88828
bdi,1976,19.87719
bdi,1977,16.71183
bdi,1978,18.79791
bdi,1979,18.37598
bdi,1980,20.62239
bdi,1981,25.9358
bdi,1991,25.19712
bdi,1992,24.54495
bdi,1993,27.01702
bdi,1994,19.20379
bdi,1995,21.6903
bdi,1996,27.46762
bdi,1997,26.36594
bdi,1998,22.88292
bdi,1999,24.41994
bel,1995,57.91268
bel,1996,56.94808
bel,1997,57.19157
bel,1998,58.23285
bel,1999,56.5994
bel,2000,57.48234
bel,2001,58.52052
bel,2002,60.12254
bel,2003,59.40736
bel,2004,58.63879
bel,2005,59.12889
bel,2006,58.82442
bel,2007,58.69091
bel,2008,59.82812
bel,2009,57.23934
bel,2010,57.35611
bel,2011,58.38878
bel,2012,58.06813
bel,2013,59.20353
bel,2014,59.55499
bel,2015,57.73158
bel,2016,54.44308
bel,2017,55.95392
bel,2018,56.15518
bel,2019,54.20227
ben,1976,22.32114
ben,1977,18.47731
ben,1978,21.89361
ben,1979,15.57759
bfa,2002,25.40625
bfa,2003,24.80382
bfa,2004,22.4397
bfa,2005,23.53259
bfa,2006,23.25522
bfa,2007,23.84143
bfa,2008,23.26874
bfa,2009,21.57116
bfa,2010,23.61131
bfa,2011,28.89795
bfa,2012,28.74218
bfa,2013,27.92587
bfa,2014,27.91741
bfa,2015,25.23577
bfa,2016,26.57863
bfa,2017,25.4364
bfa,2018,27.42253
bfa,2019,30.1489
bgd,2001,15.96479
bgd,2002,16.71551
bgd,2003,15.68934
bgd,2004,15.8501
bgd,2005,16.19896
bgd,2006,18.84112
bgd,2007,22.67103
bgd,2008,24.24246
bgd,2009,25.40956
bgd,2010,25.98192
bgd,2011,27.60054
bgd,2012,29.57051
bgd,2013,32.01693
bgd,2014,32.60236
bgd,2015,31.61254
bgd,2016,29.67884
bgr,1990,58.7262
bgr,1991,62.27604
bgr,1992,44.47292
bgr,1993,27.73673
bgr,1994,26.52017
bgr,1995,31.53298
bgr,1996,34.86263
bgr,1997,35.55852
bgr,1998,26.4086
bgr,1999,24.78171
bgr,2000,22.16834
bgr,2001,24.42446
bgr,2002,21.2973
bgr,2003,29.26005
bgr,2004,26.05864
bgr,2005,21.88766
bgr,2006,21.74261
bgr,2007,31.40152
bgr,2008,25.95774
bgr,2009,27.1349
bgr,2010,25.67315
bgr,2011,25.12855
bgr,2012,23.87972
bgr,2013,24.74257
bgr,2014,26.69118
bgr,2015,25.65027
bgr,2016,26.43803
bgr,2017,27.40698
bgr,2018,27.6838
bgr,2019,26.22108
bhr,1974,84.75177
bhr,1975,78.6645
bhr,1976,59.00621
bhr,1977,52.57549
bhr,1978,51.24555
bhr,1979,50
bhr,1980,20.05013
bhr,1981,27.7551
bhr,1982,21.34039
bhr,1983,18.18182
bhr,1984,22.16925
bhr,1985,24.9691
bhr,1986,25.88076
bhr,1987,28.17109
bhr,1988,22.38586
bhr,1989,22.20745
bhr,1990,30.06061
bhr,1991,29.25714
bhr,1992,23.57217
bhr,1993,23.90057
bhr,1994,26.68513
bhr,1995,22.08531
bhr,1996,26.96629
bhr,1997,26.212
bhr,1998,26.11997
bhr,1999,25.64103
bhr,2000,26.80818
bhr,2001,32.05776
bhr,2002,31.60341
bhr,2003,29.70225
bhr,2004,26.23501
bhs,1990,0
bhs,1991,0
bhs,1992,0
bhs,1993,0
bhs,1994,0
bhs,1995,0
bhs,1996,0
bhs,1997,0
bhs,1998,0
bhs,1999,0
bhs,2000,0
bhs,2001,0
bhs,2002,0
bhs,2003,0
bhs,2004,0
bhs,2005,0
bhs,2006,0
bhs,2007,0
bhs,2008,0
bhs,2009,0
bhs,2010,0
bhs,2011,0
bhs,2012,0
bhs,2013,0
bhs,2014,0
bhs,2015,0
bhs,2016,0
bhs,2017,0
bhs,2018,0
bhs,2019,0
bih,2005,3.61268
bih,2006,3.86337
bih,2007,5.99211
bih,2008,4.97947
bih,2009,10.49975
bih,2010,12.52397
bih,2011,12.7325
bih,2012,13.00687
bih,2013,13.43911
bih,2014,13.01078
bih,2015,13.21705
bih,2016,14.31484
bih,2017,15.76228
bih,2018,16.11327
bih,2019,15.73214
blr,1992,17.98942
blr,1993,17.9497
blr,1994,28.09619
blr,1995,24.5765
blr,1996,12.5417
blr,1997,14.77964
blr,1998,17.59145
blr,1999,18.46366
blr,2000,18.90126
blr,2001,17.3205
blr,2002,12.3163
blr,2003,10.63518
blr,2004,12.55759
blr,2005,13.3975
blr,2006,10.60123
blr,2007,9.90689
blr,2008,10.75372
blr,2009,10.88531
blr,2010,12.70672
blr,2011,6.32481
blr,2012,6.83912
blr,2013,5.85777
blr,2014,6.43508
blr,2015,6.4285
blr,2016,5.56863
blr,2017,7.42489
blr,2018,7.18362
blr,2019,7.18686
blz,1990,23.32557
blz,1991,25.01194
blz,1992,29.07931
blz,1993,27.53694
blz,1994,24.46677
blz,1995,19.50307
blz,1996,20.70037
blz,1997,21.68117
blz,1998,23.61213
blz,1999,25.30891
blz,2000,25.72495
blz,2001,23.60761
blz,2002,21.9321
blz,2003,23.46345
blz,2004,23.99205
blz,2005,27.2689
blz,2006,26.05495
blz,2007,30.43839
blz,2008,33.11239
blz,2009,35.49273
blz,2010,36.41877
blz,2011,35.49548
blz,2012,33.11138
blz,2013,32.82497
blz,2014,32.23735
blz,2015,29.57054
blz,2016,28.30266
blz,2017,27.93163
bol,1985,3.17298
bol,1986,2.37588
bol,1987,4.2664
bol,1988,8.27507
bol,1989,10.40417
bol,1990,9.24385
bol,1991,9.54734
bol,1992,9.00367
bol,1993,8.83743
bol,1994,4.9348
bol,1995,4.21506
bol,1996,9.02767
bol,1997,9.97412
bol,1998,9.74018
bol,1999,12.26134
bol,2000,11.29904
bol,2001,10.01961
bol,2002,11.25874
bol,2003,11.12413
bol,2004,11.40952
bol,2005,14.01515
bol,2006,15.23463
bol,2007,14.78396
bra,2010,46.68161
bra,2011,48.31123
bra,2012,47.08707
bra,2013,47.90363
bra,2014,49.02025
bra,2015,49.08497
bra,2016,52.72494
bra,2017,51.19409
bra,2018,50.26177
bra,2019,52.87007
brb,2003,37.32068
brb,2004,33.59428
brb,2005,35.34513
brb,2006,38.34825
brb,2007,38.58156
brb,2008,36.87535
brb,2009,37.00471
brb,2010,34.0646
brb,2011,31.94466
brb,2012,33.07566
brb,2013,29.62208
brb,2014,31.37518
brb,2015,31.4301
brb,2016,32.42022
btn,1982,24.8366
btn,1983,28.7619
btn,1984,23.88167
btn,1985,28.5504
btn,1986,33.5277
btn,1988,30.43663
btn,1989,32.77419
btn,1990,30.72939
btn,1991,25.85227
btn,1992,25.07617
btn,1993,32.25229
btn,1994,32.84323
btn,1995,40.55094
btn,1996,50.47382
btn,1997,56.62332
btn,1998,53.56943
btn,1999,57.27603
btn,2000,53.44697
btn,2001,62.17194
btn,2002,54.04806
btn,2003,46.90101
btn,2004,58.01699
btn,2005,50.75576
btn,2006,49.90687
btn,2007,56.71229
btn,2008,55.28004
btn,2009,58.04373
btn,2010,63.77897
btn,2011,61.26415
btn,2012,52.63154
btn,2013,51.56556
btn,2014,58.64203
btn,2015,56.37555
btn,2016,55.25977
btn,2017,51.98934
btn,2018,44.05368
bwa,1990,71.70883
bwa,1991,58.46056
bwa,1992,53.26573
bwa,1993,59.27958
bwa,1994,60.64372
bwa,1995,51.26211
bwa,1996,51.2567
bwa,2006,43.18801
bwa,2007,36.73006
bwa,2008,39.40355
bwa,2009,39.51179
bwa,2010,45.65862
bwa,2011,45.27346
bwa,2012,33.52263
bwa,2013,42.61962
bwa,2014,42.21588
bwa,2015,38.29137
bwa,2016,47.19612
bwa,2017,34.54672
bwa,2018,39.92559
bwa,2019,40.4266
caf,2004,22.62228
caf,2008,15.42643
caf,2009,17.94534
caf,2010,15.48857
caf,2011,20.40686
caf,2012,13.27472
caf,2014,8.05049
caf,2015,12.26715
caf,2016,12.02798
caf,2017,16.75094
caf,2018,10.06617
can,1990,72.33113
can,1991,69.8938
can,1992,69.81226
can,1993,69.50131
can,1994,70.28588
can,1995,71.57415
can,1996,72.874
can,1997,73.55466
can,1998,74.31829
can,1999,75.55193
can,2000,76.68496
can,2001,75.44421
can,2002,72.88258
can,2003,72.7994
can,2004,73.84389
can,2005,74.29679
can,2006,75.82722
can,2007,77.1538
can,2008,78.71706
can,2009,76.98908
can,2010,76.19172
can,2011,77.37156
can,2012,77.57175
can,2013,77.73848
can,2014,77.95598
can,2015,78.01405
can,2016,77.92487
can,2017,77.96265
can,2018,78.53354
can,2019,79.16358
che,1972,25.39483
che,1973,24.8127
che,1974,30.42861
che,1975,30.24037
che,1976,37.55226
che,1977,32.89139
che,1978,33.07041
che,1979,29.69977
che,1980,31.25
che,1981,31.70505
che,1982,34.11818
che,1983,31.66603
che,1984,33.93374
che,1985,31.1792
che,1986,33.78469
che,1987,30.47869
che,1988,34.95817
che,1989,32.14835
che,1990,37.08366
che,1991,37.12897
che,1992,40.00926
che,1993,33.82276
che,1994,39.05492
che,1995,31.69726
che,1996,35.49902
che,1997,34.28835
che,1998,37.37787
che,1999,30.92681
che,2000,36.04133
che,2001,30.62344
che,2002,32.68379
che,2003,32.51371
che,2004,32.36778
che,2005,34.37825
che,2006,35.98283
che,2007,36.95913
che,2008,40.87391
che,2009,39.6762
che,2010,38.90048
che,2011,38.65358
che,2012,38.54402
che,2013,39.45337
che,2014,39.1096
che,2015,42.04251
che,2016,42.11368
che,2017,44.67815
che,2018,45.0076
che,2019,46.78832
chl,1972,25
chl,1973,23.80952
chl,1974,29.93631
chl,1975,27.62646
chl,1976,19.37173
chl,1977,18.4719
chl,1978,18.76917
