geo,time,sh_sta_hygn_ur_zs
afg,2005,63.65494
afg,2006,63.65494
afg,2007,63.65494
afg,2008,63.65494
afg,2009,63.65494
afg,2010,63.65494
afg,2011,63.65494
afg,2012,63.65494
afg,2013,63.65494
afg,2014,63.65494
afg,2015,63.65494
afg,2016,63.65494
afg,2017,63.65494
afg,2018,63.65494
afg,2019,63.65494
afg,2020,63.65494
ago,2012,33.97459
ago,2013,33.97459
ago,2014,33.97459
ago,2015,33.97459
ago,2016,33.97459
ago,2017,33.97459
ago,2018,33.97459
ago,2019,33.97459
ago,2020,33.97459
arm,2000,92.89997
arm,2001,93.11703
arm,2002,93.3341
arm,2003,93.55117
arm,2004,93.76824
arm,2005,93.9853
arm,2006,94.20237
arm,2007,94.41944
arm,2008,94.63651
arm,2009,94.85357
arm,2010,95.07064
arm,2011,95.28771
arm,2012,95.50478
arm,2013,95.72184
arm,2014,95.93891
arm,2015,96.15598
arm,2016,96.37305
arm,2017,96.59011
arm,2018,96.80718
arm,2019,96.80718
arm,2020,96.80718
aze,2009,90.86326
aze,2010,90.86326
aze,2011,90.86326
aze,2012,90.86326
aze,2013,90.86326
aze,2014,90.86326
aze,2015,90.86326
aze,2016,90.86326
aze,2017,90.86326
bdi,2004,24.44171
bdi,2005,24.44171
bdi,2006,24.44171
bdi,2007,24.44171
bdi,2008,24.44171
bdi,2009,23.98248
bdi,2010,23.52325
bdi,2011,23.06402
bdi,2012,22.6048
bdi,2013,22.14557
bdi,2014,21.68634
bdi,2015,21.22711
bdi,2016,20.76788
bdi,2017,20.30865
bdi,2018,19.84943
bdi,2019,19.3902
bdi,2020,19.3902
ben,2000,4.22806
ben,2001,4.84259
ben,2002,5.45712
ben,2003,6.07165
ben,2004,6.68619
ben,2005,7.30072
ben,2006,7.91525
ben,2007,8.52978
ben,2008,9.14431
ben,2009,9.75885
ben,2010,10.37338
ben,2011,10.98791
ben,2012,11.60244
ben,2013,12.21698
ben,2014,12.83151
ben,2015,13.44604
ben,2016,14.06057
ben,2017,14.6751
ben,2018,15.28964
ben,2019,15.90417
ben,2020,16.5187
bfa,2000,25.23756
bfa,2001,25.23756
bfa,2002,24.80732
bfa,2003,24.37708
bfa,2004,23.94684
bfa,2005,23.5166
bfa,2006,23.08636
bfa,2007,22.65612
bfa,2008,22.22588
bfa,2009,21.79564
bfa,2010,21.3654
bfa,2011,20.93516
bfa,2012,20.50492
bfa,2013,20.07468
bfa,2014,19.64444
bfa,2015,19.2142
bfa,2016,18.78396
bfa,2017,18.35372
bfa,2018,17.92348
bfa,2019,17.49323
bfa,2020,17.06299
bgd,2005,43.06911
bgd,2006,43.06911
bgd,2007,43.06911
bgd,2008,43.06911
bgd,2009,43.06911
bgd,2010,45.13505
bgd,2011,47.20099
bgd,2012,49.26692
bgd,2013,51.33286
bgd,2014,53.3988
bgd,2015,55.46474
bgd,2016,57.53068
bgd,2017,59.59662
bgd,2018,61.66256
bgd,2019,63.7285
bgd,2020,65.79444
bih,2008,98.59891
bih,2009,98.59891
bih,2010,98.59891
bih,2011,98.59891
bih,2012,98.59891
bih,2013,98.59891
bih,2014,98.59891
bih,2015,98.59891
bih,2016,98.59891
blz,2005,78.72276
blz,2006,78.72276
blz,2007,78.72276
blz,2008,78.72276
blz,2009,78.72276
blz,2010,80.21342
blz,2011,81.70408
blz,2012,83.19475
blz,2013,84.68541
blz,2014,86.17607
blz,2015,87.66674
blz,2016,89.1574
blz,2017,90.64806
blz,2018,92.13873
blz,2019,92.13873
blz,2020,92.13873
bol,2010,29.08492
bol,2011,29.08492
bol,2012,29.08492
bol,2013,29.08492
bol,2014,29.08492
bol,2015,29.08492
bol,2016,29.08492
bol,2017,29.08492
bol,2018,29.08492
bol,2019,29.08492
bol,2020,29.08492
btn,2004,86.24328
btn,2005,86.24328
btn,2006,86.24328
btn,2007,86.24328
btn,2008,86.24328
btn,2009,86.50227
btn,2010,86.76125
btn,2011,87.02024
btn,2012,87.27923
btn,2013,87.53821
btn,2014,87.7972
btn,2015,88.05618
btn,2016,88.31517
btn,2017,88.57416
btn,2018,88.83314
btn,2019,89.09213
btn,2020,89.35112
caf,2004,19.94387
caf,2005,19.94387
caf,2006,19.94387
caf,2007,19.94387
caf,2008,19.94387
caf,2009,21.13522
caf,2010,22.32657
caf,2011,23.51793
caf,2012,24.70928
caf,2013,25.90063
caf,2014,27.09199
caf,2015,28.28334
caf,2016,29.47469
caf,2017,30.66605
caf,2018,31.8574
caf,2019,33.04875
caf,2020,34.2401
civ,2006,24.13333
civ,2007,24.13333
civ,2008,24.13333
civ,2009,24.13333
civ,2010,24.13333
civ,2011,24.86108
civ,2012,25.58883
civ,2013,26.31657
civ,2014,27.04432
civ,2015,27.77207
civ,2016,28.49981
civ,2017,29.22756
civ,2018,29.95531
civ,2019,30.68305
civ,2020,31.4108
cmr,2015,47.02749
cmr,2016,47.02749
cmr,2017,47.02749
cmr,2018,47.02749
cmr,2019,47.02749
cmr,2020,47.02749
cod,2014,27.31931
cod,2015,27.31931
cod,2016,27.31931
cod,2017,27.31931
cod,2018,27.31931
cod,2019,27.31931
cod,2020,27.31931
cog,2011,56.1144
cog,2012,56.1144
cog,2013,56.1144
cog,2014,56.1144
cog,2015,56.1144
cog,2016,56.1144
cog,2017,56.1144
cog,2018,56.1144
cog,2019,56.1144
col,2011,76.36067
col,2012,76.36067
col,2013,76.36067
col,2014,76.36067
col,2015,76.36067
col,2016,76.36067
col,2017,76.36067
col,2018,76.36067
col,2019,76.36067
col,2020,76.36067
com,2008,17.86937
com,2009,17.86937
com,2010,17.86937
com,2011,17.86937
com,2012,17.86937
com,2013,17.86937
com,2014,17.86937
com,2015,17.86937
com,2016,17.86937
cri,2005,83.66085
cri,2006,83.66085
cri,2007,83.66085
cri,2008,83.66085
cri,2009,83.66085
cri,2010,83.92233
cri,2011,84.18381
cri,2012,84.44528
cri,2013,84.70676
cri,2014,84.96824
cri,2015,85.22972
cri,2016,85.49119
cri,2017,85.75267
cri,2018,86.01415
cri,2019,86.27563
cri,2020,86.5371
cub,2008,85.91942
cub,2009,85.91942
cub,2010,85.91942
cub,2011,85.91942
cub,2012,85.91942
cub,2013,86.91974
cub,2014,87.92005
cub,2015,88.92036
cub,2016,89.92068
cub,2017,90.92099
cub,2018,91.9213
cub,2019,92.92162
cub,2020,93.92193
dom,2008,49.85299
dom,2009,49.85299
dom,2010,49.85299
dom,2011,49.85299
dom,2012,49.85299
dom,2013,49.85299
dom,2014,49.85299
dom,2015,49.85299
dom,2016,49.85299
dom,2017,49.85299
dom,2018,49.85299
dom,2019,49.85299
dom,2020,49.85299
dza,2007,88.25962
dza,2008,88.25962
dza,2009,88.25962
dza,2010,88.25962
dza,2011,88.25962
dza,2012,88.23362
dza,2013,88.20761
dza,2014,88.1816
dza,2015,88.15559
dza,2016,88.12959
dza,2017,88.10358
dza,2018,88.07757
dza,2019,88.05156
dza,2020,88.02556
ecu,2010,92.01697
ecu,2011,92.01697
ecu,2012,92.01697
ecu,2013,92.01697
ecu,2014,92.01697
ecu,2015,92.01697
ecu,2016,92.01697
ecu,2017,92.01697
ecu,2018,92.01697
ecu,2019,92.01697
ecu,2020,92.01697
egy,2000,86.21834
egy,2001,86.62585
egy,2002,87.03335
egy,2003,87.44086
egy,2004,87.84837
egy,2005,88.25587
egy,2006,88.66338
egy,2007,89.07089
egy,2008,89.47839
egy,2009,89.8859
egy,2010,90.29341
egy,2011,90.70091
egy,2012,91.10842
egy,2013,91.51593
egy,2014,91.92343
egy,2015,92.33094
egy,2016,92.73845
egy,2017,92.73845
egy,2018,92.73845
egy,2019,92.73845
egy,2020,92.73845
eth,2010,20.25519
eth,2011,20.25519
eth,2012,20.25519
eth,2013,20.25519
eth,2014,20.25519
eth,2015,20.25519
eth,2016,20.25519
eth,2017,20.25519
eth,2018,20.25519
eth,2019,20.25519
eth,2020,20.25519
geo,2014,94.59791
geo,2015,94.59791
geo,2016,94.59791
geo,2017,94.59791
geo,2018,94.59791
geo,2019,94.59791
geo,2020,94.59791
gha,2011,46.50018
gha,2012,46.50018
gha,2013,46.50018
gha,2014,46.50018
gha,2015,46.50018
gha,2016,46.50018
gha,2017,46.50018
gha,2018,46.50018
gha,2019,46.50018
gha,2020,46.50018
gin,2014,33.14467
gin,2015,33.14467
gin,2016,33.14467
gin,2017,33.14467
gin,2018,33.14467
gin,2019,33.14467
gin,2020,33.14467
gmb,2014,17.62299
gmb,2015,17.62299
gmb,2016,17.62299
gmb,2017,17.62299
gmb,2018,17.62299
gmb,2019,17.62299
gmb,2020,17.62299
gnb,2004,1.76803
gnb,2005,1.76803
gnb,2006,1.76803
gnb,2007,1.76803
gnb,2008,1.76803
gnb,2009,3.51791
gnb,2010,5.26779
gnb,2011,7.01766
gnb,2012,8.76754
gnb,2013,10.51742
gnb,2014,12.2673
gnb,2015,14.01718
gnb,2016,15.76706
gnb,2017,17.51694
gnb,2018,19.26682
gnb,2019,21.0167
gnb,2020,22.76658
gnq,2007,26.0226
gnq,2008,26.0226
gnq,2009,26.0226
gnq,2010,26.0226
gnq,2011,26.0226
gnq,2012,26.0226
gnq,2013,26.0226
gnq,2014,26.0226
gnq,2015,26.0226
gtm,2011,83.22295
gtm,2012,83.22295
gtm,2013,83.22295
gtm,2014,83.22295
gtm,2015,83.22295
gtm,2016,83.22295
gtm,2017,83.22295
gtm,2018,83.22295
gtm,2019,83.22295
guy,2010,75.42053
guy,2011,75.42053
guy,2012,75.42053
guy,2013,75.42053
guy,2014,75.42053
guy,2015,75.42053
guy,2016,75.42053
guy,2017,75.42053
guy,2018,75.42053
hnd,2008,87.20708
hnd,2009,87.20708
hnd,2010,87.20708
hnd,2011,87.20708
hnd,2012,87.20708
hnd,2013,87.20708
hnd,2014,87.20708
hnd,2015,87.20708
hnd,2016,87.20708
hti,2006,32.3479
hti,2007,32.3479
hti,2008,32.3479
hti,2009,32.3479
hti,2010,32.3479
hti,2011,31.8167
hti,2012,31.2855
hti,2013,30.7543
hti,2014,30.22311
hti,2015,29.69191
hti,2016,29.16071
hti,2017,28.62951
hti,2018,28.09832
hti,2019,27.56712
hti,2020,27.56712
idn,2006,82.92266
idn,2007,82.92266
idn,2008,82.92266
idn,2009,82.92266
idn,2010,82.92266
idn,2011,84.39074
idn,2012,85.85882
idn,2013,87.3269
idn,2014,88.79498
idn,2015,90.26306
idn,2016,91.73114
idn,2017,93.19921
idn,2018,94.66729
idn,2019,96.13537
idn,2020,96.13537
ind,2010,82.28007
ind,2011,82.28007
ind,2012,82.28007
ind,2013,82.28007
ind,2014,82.28007
ind,2015,82.28007
ind,2016,82.28007
ind,2017,82.28007
ind,2018,82.28007
ind,2019,82.28007
ind,2020,82.28007
irq,2005,94.92301
irq,2006,94.92301
irq,2007,94.92301
irq,2008,94.92301
irq,2009,94.92301
irq,2010,95.16644
irq,2011,95.40987
irq,2012,95.6533
irq,2013,95.89672
irq,2014,96.14015
irq,2015,96.38358
irq,2016,96.627
irq,2017,96.87043
irq,2018,97.11386
irq,2019,97.35728
irq,2020,97.60071
jam,2007,69.37298
jam,2008,69.37298
jam,2009,69.37298
jam,2010,69.37298
jam,2011,69.37298
jam,2012,69.37298
jam,2013,69.37298
jam,2014,69.37298
jam,2015,69.37298
kaz,2011,99.2196
kaz,2012,99.2196
kaz,2013,99.2196
kaz,2014,99.2196
kaz,2015,99.2196
kaz,2016,99.2196
kaz,2017,99.2196
kaz,2018,99.2196
kaz,2019,99.2196
ken,2011,33.39669
ken,2012,33.39669
ken,2013,33.39669
ken,2014,33.39669
ken,2015,33.39669
ken,2016,33.39669
ken,2017,33.39669
ken,2018,33.39669
ken,2019,33.39669
ken,2020,33.39669
kgz,2006,90.30096
kgz,2007,90.30096
kgz,2008,90.30096
kgz,2009,90.30096
kgz,2010,90.30096
kgz,2011,91.22995
kgz,2012,92.15895
kgz,2013,93.08794
kgz,2014,94.01693
kgz,2015,94.94592
kgz,2016,95.87491
kgz,2017,96.80391
kgz,2018,97.7329
