geo,time,ag_lnd_totl_ur_k2
abw,1990,172.84775
abw,2000,172.84775
abw,2010,172.84775
ago,1990,1427.02954
ago,2000,1427.02954
ago,2010,1427.02954
alb,1990,1689.40381
alb,2000,1689.40381
alb,2010,1689.40381
are,1990,8568.1582
are,2000,8568.1582
are,2010,8568.1582
arg,1990,55032.20313
arg,2000,55032.20313
arg,2010,55032.20313
asm,1990,116.16687
asm,2000,116.16687
asm,2010,116.16687
atg,1990,266.27756
atg,2000,266.27756
atg,2010,266.27756
aus,1990,36745.70313
aus,2000,36745.70313
aus,2010,36745.70313
bel,1990,12349.22852
bel,2000,12349.22852
bel,2010,12349.22852
ben,1990,1447.18494
ben,2000,1447.18494
ben,2010,1447.18494
bgd,1990,11125.3916
bgd,2000,11125.3916
bgd,2010,11125.3916
bgr,1990,6678.94043
bgr,2000,6678.94043
bgr,2010,6678.94043
bhr,1990,549.27795
bhr,2000,549.27795
bhr,2010,549.27795
bhs,1990,425.89636
bhs,2000,425.89636
bhs,2010,425.89636
bih,1990,1723.14673
bih,2000,1723.14673
bih,2010,1723.14673
blr,1990,7783.03174
blr,2000,7783.03174
blr,2010,7783.03174
blz,1990,508.05646
blz,2000,508.05646
blz,2010,508.05646
bmu,1990,38.61519
bmu,2000,38.61519
bmu,2010,38.61519
bra,1990,134981.375
bra,2000,134981.375
bra,2010,134981.375
brb,1990,420.37543
brb,2000,420.37543
brb,2010,420.37543
brn,1990,1017.0686
brn,2000,1017.0686
brn,2010,1017.0686
can,1990,126511.1641
can,2000,126511.1641
can,2010,126511.1641
che,1990,7898.14893
che,2000,7898.14893
che,2010,7898.14893
chl,1990,12027.5166
chl,2000,12027.5166
chl,2010,12027.5166
chn,1990,380679.3
chn,2000,380679.3
chn,2010,380679.3
civ,1990,3466.16162
civ,2000,3466.16162
civ,2010,3466.16162
cmr,1990,3680.40576
cmr,2000,3680.40576
cmr,2010,3680.40576
cod,1990,9061.72266
cod,2000,9061.72266
cod,2010,9061.72266
cog,1990,1087.16187
cog,2000,1087.16187
cog,2010,1087.16187
col,1990,36132.13672
col,2000,36132.13672
col,2010,36132.13672
com,1990,196.4072
com,2000,196.4072
com,2010,196.4072
cpv,1990,180.38188
cpv,2000,180.38188
cpv,2010,180.38188
cri,1990,4051.56299
cri,2000,4051.56299
cri,2010,4051.56299
cub,1990,9572.44727
cub,2000,9572.44727
cub,2010,9572.44727
cym,1990,160.9671
cym,2000,160.9671
cym,2010,160.9671
cyp,1990,2280.40039
cyp,2000,2280.40039
cyp,2010,2280.40039
deu,1990,62374.19922
deu,2000,62374.19922
deu,2010,62374.19922
dji,1990,149.82884
dji,2000,149.82884
dji,2010,149.82884
dma,1990,251.30295
dma,2000,251.30295
dma,2010,251.30295
dnk,1990,9295.17481
dnk,2000,9295.17481
dnk,2010,9295.17481
dom,1990,5089.37598
dom,2000,5089.37598
dom,2010,5089.37598
dza,1990,30195.79688
dza,2000,30195.79688
dza,2010,30195.79688
ecu,1990,10905.65137
ecu,2000,10905.65137
ecu,2010,10905.65137
egy,1990,24270.23242
egy,2000,24270.23242
egy,2010,24270.23242
eri,1990,366.61493
eri,2000,366.61493
eri,2010,366.61493
esp,1990,69794.58594
esp,2000,69794.58594
esp,2010,69794.58594
est,1990,2614.6814
est,2000,2614.6814
est,2010,2614.6814
eth,1990,5166.71582
eth,2000,5166.71582
eth,2010,5166.71582
fin,1990,20052.17383
fin,2000,20052.17383
fin,2010,20052.17383
fji,1990,1746.58667
fji,2000,1746.58667
fji,2010,1746.58667
fra,1990,86463.0625
fra,2000,86463.0625
fra,2010,86463.0625
fro,1990,335.47583
fro,2000,335.47583
fro,2010,335.47583
fsm,1990,243.11206
fsm,2000,243.11206
fsm,2010,243.11206
gab,1990,836.48291
gab,2000,836.48291
gab,2010,836.48291
gbm,1990,241.86453
gbm,2000,241.86453
gbm,2010,241.86453
gbr,1990,58698.75
gbr,2000,58698.75
gbr,2010,58698.75
geo,1990,3602.76294
geo,2000,3602.76294
geo,2010,3602.76294
gha,1990,6239.43945
gha,2000,6239.43945
gha,2010,6239.43945
gib,1990,4.4736
gib,2000,4.4736
gib,2010,4.4736
gin,1990,1473.5957
gin,2000,1473.5957
gin,2010,1473.5957
gmb,1990,446.18292
gmb,2000,446.18292
gmb,2010,446.18292
gnb,1990,306.34177
gnb,2000,306.34177
gnb,2010,306.34177
gnq,1990,97.47089
gnq,2000,97.47089
gnq,2010,97.47089
grc,1990,18519.16406
grc,2000,18519.16406
grc,2010,18519.16406
grd,1990,169.51561
grd,2000,169.51561
grd,2010,169.51561
grl,1990,33.34839
grl,2000,33.34839
grl,2010,33.34839
gtm,1990,4132.35107
gtm,2000,4132.35107
gtm,2010,4132.35107
gum,1990,515.9566
gum,2000,515.9566
gum,2010,515.9566
guy,1990,626.75696
guy,2000,626.75696
guy,2010,626.75696
hkg,1990,901.54285
hkg,2000,901.54285
hkg,2010,901.54285
hnd,1990,3702.35938
hnd,2000,3702.35938
hnd,2010,3702.35938
hrv,1990,5302.7959
hrv,2000,5302.7959
hrv,2010,5302.7959
hti,1990,764.34509
hti,2000,764.34509
hti,2010,764.34509
idn,1990,42076.82813
idn,2000,42076.82813
idn,2010,42076.82813
ind,1990,222688.2344
ind,2000,222688.2344
ind,2010,222688.2344
irl,1990,5638.35596
irl,2000,5638.35596
irl,2010,5638.35596
irn,1990,69242.76563
irn,2000,69242.76563
irn,2010,69242.76563
irq,1990,12429.91504
irq,2000,12429.91504
irq,2010,12429.91504
isl,1990,1023.83704
isl,2000,1023.83704
isl,2010,1023.83704
isr,1990,6399.01953
isr,2000,6399.01953
isr,2010,6399.01953
ita,1990,73540.88281
ita,2000,73540.88281
ita,2010,73540.88281
jam,1990,3000.63159
jam,2000,3000.63159
jam,2010,3000.63159
jor,1990,3383.97388
jor,2000,3383.97388
jor,2010,3383.97388
jpn,1990,108678.2422
jpn,2000,108678.2422
jpn,2010,108678.2422
ken,1990,4187.61475
ken,2000,4187.61475
ken,2010,4187.61475
khm,1990,1152.06287
khm,2000,1152.06287
khm,2010,1152.06287
kir,1990,3.64323
kir,2000,3.64323
kir,2010,3.64323
kna,1990,230.66464
kna,2000,230.66464
kna,2010,230.66464
kor,1990,21922.01563
kor,2000,21922.01563
kor,2010,21922.01563
kwt,1990,3942.29883
kwt,2000,3942.29883
kwt,2010,3942.29883
lao,1990,1018.75415
lao,2000,1018.75415
lao,2010,1018.75415
lbn,1990,2317.42383
lbn,2000,2317.42383
lbn,2010,2317.42383
lbr,1990,434.2753
lbr,2000,434.2753
lbr,2010,434.2753
lby,1990,10082.89258
lby,2000,10082.89258
lby,2010,10082.89258
lca,1990,351.21039
lca,2000,351.21039
lca,2010,351.21039
lka,1990,4016.14648
lka,2000,4016.14648
lka,2010,4016.14648
ltu,1990,4610.85645
ltu,2000,4610.85645
ltu,2010,4610.85645
lux,1990,801.08337
lux,2000,801.08337
lux,2010,801.08337
lva,1990,3278.51685
lva,2000,3278.51685
lva,2010,3278.51685
mac,1990,17.72437
mac,2000,17.72437
mac,2010,17.72437
mar,1990,12057.44141
mar,2000,12057.44141
mar,2010,12057.44141
