geo,time,per_allsp_adq_pop_tot
afg,2007,22.98631
ago,2018,23.59681
alb,2008,23.89074
alb,2012,27.98992
arg,2006,40.86025
arg,2010,37.01396
arg,2011,29.87671
arg,2012,32.78646
arg,2013,38.15038
arg,2014,38.5856
arg,2016,39.52545
arg,2017,40.43791
arg,2018,39.5781
arg,2019,40.05453
arm,2008,27.90616
arm,2009,33.97587
arm,2010,34.32122
arm,2011,33.34208
arm,2012,34.86953
arm,2013,32.64329
arm,2014,33.63389
arm,2015,33.6157
arm,2016,33.90915
arm,2017,35.96853
arm,2018,36.3734
aze,2015,2.57452
ben,2003,39.49359
bfa,2003,50.20563
bfa,2014,17.14906
bfa,2018,17.21767
bgd,2005,27.67416
bgd,2010,9.12027
bgd,2016,6.09968
bgr,2007,32.19234
bih,2007,17.87328
bih,2015,32.4515
blr,2008,37.20126
blr,2009,36.41749
blr,2010,37.02568
blr,2012,41.12983
blr,2013,48.07505
blr,2014,47.96805
blr,2015,50.89981
blr,2016,72.38497
blr,2017,51.92784
blr,2018,50.48456
blr,2019,53.37402
blz,2009,23.34562
bol,2006,27.63471
bol,2007,26.67476
bol,2008,17.38508
bol,2009,17.23228
bol,2011,13.82412
bol,2012,13.49741
bol,2014,12.81119
bol,2015,12.58753
bol,2016,21.44795
bol,2017,22.4343
bol,2018,38.22419
bol,2019,39.01331
bra,2006,46.6679
bra,2009,40.97068
bra,2011,40.60137
bra,2012,39.47311
bra,2015,44.76089
bra,2016,40.80303
bra,2017,41.31859
bra,2018,41.79016
bra,2019,42.33059
btn,2007,2.10345
btn,2012,27.63649
bwa,2009,9.53291
bwa,2015,26.04801
chl,2006,18.72134
chl,2009,17.538
chl,2011,18.12381
chl,2013,18.76027
chl,2015,15.26222
chl,2017,18.65049
chn,2013,36.82996
civ,2002,14.42626
civ,2008,26.81403
civ,2015,47.54319
cmr,2007,26.92546
cmr,2014,3.12761
cod,2004,16.9666
cod,2012,38.25662
cog,2005,66.99275
col,2010,18.8289
col,2011,16.93901
col,2012,19.40219
col,2014,25.29685
col,2015,28.31695
col,2016,29.62122
col,2017,30.21602
col,2018,31.26426
col,2019,32.11423
com,2004,13.22422
cpv,2007,14.73762
cri,2008,38.09305
cri,2010,27.06431
cri,2011,26.0491
cri,2012,24.65998
cri,2014,28.66651
cri,2015,30.15863
cri,2016,32.24026
cri,2017,32.90278
cri,2018,32.40848
cri,2019,33.22845
dji,2012,28.95343
dma,2002,28.87621
dom,2007,17.64639
dom,2008,14.82998
dom,2009,12.73374
dom,2010,12.35402
dom,2011,12.87232
dom,2012,12.49129
dom,2013,13.39123
dom,2014,12.72058
dom,2015,13.4116
dom,2016,12.75374
dom,2017,10.06744
dom,2018,12.24576
dom,2019,16.08897
ecu,2008,20.84364
ecu,2010,24.15431
ecu,2011,26.29765
ecu,2012,24.52998
ecu,2014,22.37179
ecu,2015,24.14735
ecu,2016,32.34577
ecu,2017,25.12014
ecu,2018,28.44479
ecu,2019,29.71809
egy,2008,21.02798
eth,2015,11.63662
eth,2018,8.25349
fji,2008,24.19742
fji,2013,11.27594
fsm,2000,27.8978
gab,2005,20.75547
gab,2017,4.02446
geo,2011,29.24756
geo,2016,37.64054
geo,2018,34.06253
gha,2005,0.704
gha,2012,96.40502
gha,2016,4.79529
gin,2012,10.26851
gmb,1998,8.27217
gmb,2010,5.21697
gmb,2015,28.85609
gtm,2006,11.89423
gtm,2011,4.79648
gtm,2014,22.3203
hnd,2008,5.55066
hnd,2009,21.67374
hnd,2010,8.94492
hnd,2011,11.18899
hnd,2013,13.33027
hnd,2015,10.15052
hnd,2016,12.17436
hnd,2017,11.64917
hrv,2008,32.66967
hrv,2010,39.52181
hrv,2011,43.75655
hrv,2014,41.82742
hti,2001,0.56783
hti,2012,34.59822
hun,2007,50.4019
idn,2015,15.94331
idn,2017,3.16717
idn,2018,3.51801
idn,2019,4.27414
ind,2011,5.19932
irq,2006,7.54538
irq,2012,9.52488
jam,2002,0.84929
jam,2010,11.61867
jam,2017,27.68729
jor,2006,19.18008
jor,2010,18.49205
kaz,2007,9.06473
kaz,2010,17.91398
kaz,2014,35.22995
kaz,2015,37.66742
kaz,2017,32.56181
ken,2005,18.88157
ken,2015,5.9271
kgz,2006,27.83609
kgz,2011,32.92113
kgz,2012,42.003
kgz,2013,42.1551
khm,2008,6.39455
khm,2013,12.53881
kir,2006,5.61756
kos,2006,21.9665
kos,2011,18.87962
kos,2012,15.05951
kos,2013,17.8119
lao,2007,29.84061
lao,2018,133.02744
lbr,2007,39.87923
lbr,2014,4.75702
lbr,2016,3.39597
lka,2006,15.25106
lka,2009,15.96134
lka,2012,15.46473
lka,2016,17.33174
lso,2017,12.95345
ltu,2008,33.18743
lva,2008,27.88354
lva,2009,32.36937
mda,2010,32.76136
mda,2012,34.50392
mda,2013,34.32589
mda,2018,50.61544
mdv,2004,5.05131
mdv,2009,24.18122
mdv,2016,7.84958
mex,2008,28.59708
mex,2010,28.45627
mex,2012,28.58977
mex,2014,28.46642
mex,2016,24.1688
mex,2018,25.69824
mhl,1999,8.33333
mli,2009,15.51393
mmr,2017,24.85648
mne,2011,53.41953
mne,2012,51.69597
mne,2013,55.99569
mne,2014,50.77745
mng,2007,17.23507
mng,2009,19.57415
mng,2010,15.64896
mng,2011,20.1556
mng,2012,20.71394
mng,2014,17.64241
mng,2016,23.26969
moz,2008,43.09778
moz,2014,26.85412
mrt,2008,45.33907
mus,2006,26.43098
mus,2012,45.86568
mus,2017,43.45477
mwi,2004,7.34548
mwi,2010,6.96226
mwi,2013,1.91762
mwi,2016,4.71527
mys,2008,4.51274
mys,2012,2.08421
mys,2014,5.66018
mys,2016,7.60969
nam,2015,12.77437
ner,2011,16.74399
ner,2014,3.37669
nga,2010,2.64931
nga,2012,7.57087
nga,2015,18.34504
nga,2018,9.57786
nic,2005,10.71695
nic,2009,22.45787
nic,2014,17.14214
npl,2010,5.95494
pak,2007,24.128
pak,2009,16.50515
pak,2013,19.53402
pak,2015,21.46435
pak,2018,25.42713
pan,2008,33.17117
pan,2009,23.07634
pan,2010,23.92154
pan,2011,22.95723
pan,2012,21.1692
pan,2013,20.56368
pan,2014,19.72249
pan,2015,17.50955
pan,2016,18.94704
pan,2017,18.49884
pan,2018,17.46044
pan,2019,16.7397
per,2008,22.25831
per,2009,22.47236
per,2010,22.05567
per,2011,20.65082
per,2012,19.57325
per,2013,18.26467
per,2014,17.83276
per,2015,18.79947
