global,time,dc_dac_czel_cd
world,2005,64309997.55859
world,2006,77489997.86377
world,2007,80730003.35693
world,2008,116939994.81201
world,2009,100809997.55859
world,2010,79180000.30518
world,2011,76889999.38965
world,2012,66409996.03271
world,2013,57029998.7793
world,2014,62579998.01636
world,2015,70129997.25342
world,2016,71419998.16895
world,2017,80660003.66211
world,2018,100150001.52588
world,2019,95819999.69482
